ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2010,2010-11-01,7,22.248,IND,,HOU,W 30-17,,0,0,,0,0.0,0,0
2,2010,2010-11-07,8,22.254,IND,@,PHI,L 24-26,,3,58,19.33,0,0.0,0,2
3,2010,2010-11-14,9,22.261,IND,,CIN,W 23-17,,2,44,22.00,0,0.0,0,0
4,2010,2010-11-21,10,22.268,IND,@,NWE,L 28-31,,0,0,,0,0.0,0,0
5,2010,2010-11-28,11,22.275,IND,,SDG,L 14-36,,,,,,,,
6,2010,2010-12-05,12,22.282,IND,,DAL,L 35-38,,0,0,,0,0.0,3,0
7,2010,2010-12-09,13,22.286,IND,@,TEN,W 30-28,,0,0,,0,0.0,3,0
8,2010,2010-12-19,14,22.296,IND,,JAX,W 34-24,,0,0,,0,0.0,2,2
9,2010,2010-12-26,15,22.303,IND,@,OAK,W 31-26,,0,0,,0,0.0,2,1
10,2010,2011-01-02,16,22.310,IND,,TEN,W 23-20,,0,0,,0,0.0,2,0
