ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2000,2000-09-03,1,25.238,DAL,,PHI,L 14-41,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,7,312,44.57,0
2,2000,2000-09-10,2,25.245,DAL,@,ARI,L 31-32,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,114,57.00,0
3,2000,2000-09-18,3,25.253,DAL,@,WAS,W 27-21,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,232,46.40,0
4,2000,2000-09-24,4,25.259,DAL,,SFO,L 24-41,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,136,45.33,0
5,2000,2000-10-01,5,25.266,DAL,@,CAR,W 16-13,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,176,44.00,0
6,2000,2000-10-15,6,25.280,DAL,@,NYG,L 14-19,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,130,43.33,0
7,2000,2000-10-22,7,25.287,DAL,,ARI,W 48-7,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,125,41.67,0
8,2000,2000-10-29,8,25.294,DAL,,JAX,L 17-23,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,122,40.67,0
9,2000,2000-11-05,9,25.301,DAL,@,PHI,L 13-16,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,181,36.20,0
10,2000,2000-11-12,10,25.308,DAL,,CIN,W 23-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2000,2000-12-03,13,25.329,DAL,@,TAM,L 7-27,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,208,41.60,0
12,2000,2000-12-10,14,25.336,DAL,,WAS,W 32-13,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,135,45.00,0
13,2000,2000-12-17,15,25.343,DAL,,NYG,L 13-17,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,212,42.40,0
14,2000,2000-12-25,16,25.351,DAL,@,TEN,L 0-31,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,10,402,40.20,0
15,2001,2001-09-09,1,26.243,DAL,,TAM,L 6-10,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,5,184,36.80,0
16,2001,2001-09-23,2,26.257,DAL,,SDG,L 21-32,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,4,170,42.50,0
17,2001,2001-09-30,3,26.264,DAL,@,PHI,L 18-40,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,6,244,40.67,1
18,2001,2001-10-07,4,26.271,DAL,@,OAK,L 21-28,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,3,128,42.67,0
19,2001,2001-10-15,5,26.279,DAL,,WAS,W 9-7,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,4,145,36.25,0
20,2001,2001-10-28,6,26.292,DAL,,ARI,W 17-3,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,5,215,43.00,0
21,2001,2001-11-04,7,26.299,DAL,@,NYG,L 24-27,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,5,221,44.20,1
22,2001,2001-11-11,8,26.306,DAL,@,ATL,L 13-20,,1,0,0.00,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,4,173,43.25,0
23,2001,2001-11-18,9,26.313,DAL,,PHI,L 3-36,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,5,169,33.80,0
24,2001,2001-11-22,10,26.317,DAL,,DEN,L 24-26,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,8,364,45.50,0
25,2001,2001-12-02,11,26.327,DAL,@,WAS,W 20-14,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,3,115,38.33,0
26,2001,2001-12-09,12,26.334,DAL,,NYG,W 20-13,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,6,249,41.50,0
27,2001,2001-12-16,13,26.341,DAL,@,SEA,L 3-29,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,7,250,35.71,0
28,2001,2001-12-23,14,26.348,DAL,@,ARI,L 10-17,,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,0,0,4,164,41.00,0
29,2001,2001-12-30,15,26.355,DAL,,SFO,W 27-21,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,3,102,34.00,1
30,2001,2002-01-06,16,26.362,DAL,@,DET,L 10-15,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,6,242,40.33,0
31,2002,2002-09-08,1,27.242,DAL,@,HOU,L 10-19,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,9,340,37.78,0
32,2002,2002-09-15,2,27.249,DAL,,TEN,W 21-13,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,8,336,42.00,0
33,2002,2002-09-22,3,27.256,DAL,@,PHI,L 13-44,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,230,46.00,0
