ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2010,2010-11-28,11,22.095,WAS,,MIN,L 13-17,,,,,,,0.0%,,,,,,,,
2,2010,2010-12-05,12,22.102,WAS,@,NYG,L 7-31,,0,0,0,,0,0.0%,,1,15,15.00,0,0.0,0,0
3,2010,2010-12-19,14,22.116,WAS,@,DAL,L 30-33,,,0,0,,0,0.0%,,0,0,,0,0.0,1,0
4,2010,2010-12-26,15,22.123,WAS,@,JAX,W 20-17,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0.0,0,0
5,2010,2011-01-02,16,22.130,WAS,,NYG,L 14-17,,3,2,41,20.50,0,66.7%,13.67,0,0,,0,0.0,0,1
6,2011,2011-09-11,1,23.017,WAS,,NYG,W 28-14,,,,,,,0.0%,,,,,,,,
7,2011,2011-09-26,3,23.032,WAS,@,DAL,L 16-18,,4,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
8,2011,2011-10-02,4,23.038,WAS,@,STL,W 17-10,,,,,,,0.0%,,,,,,,,
9,2011,2011-10-16,5,23.052,WAS,,PHI,L 13-20,,1,1,32,32.00,0,100.0%,32.00,0,0,,0,0.0,0,0
10,2011,2011-10-23,6,23.059,WAS,@,CAR,L 20-33,,6,3,26,8.67,0,50.0%,4.33,0,0,,0,0.0,1,0
11,2011,2011-10-30,7,23.066,WAS,@,BUF,L 0-23,,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0.0,0,0
12,2011,2011-11-06,8,23.073,WAS,,SFO,L 11-19,,5,2,14,7.00,0,40.0%,2.80,0,0,,0,0.0,0,0
13,2011,2011-11-13,9,23.080,WAS,@,MIA,L 9-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
14,2011,2011-11-20,10,23.087,WAS,,DAL,L 24-27,,0,,,,,0.0%,,,,,,,,
15,2011,2011-11-27,11,23.094,WAS,@,SEA,W 23-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,1
16,2011,2011-12-18,14,23.115,WAS,@,NYG,W 23-10,,,,,,,0.0%,,,,,,,,
17,2011,2011-12-24,15,23.121,WAS,,MIN,L 26-33,,3,3,39,13.00,0,100.0%,13.00,0,0,,0,0.0,0,0
18,2011,2012-01-01,16,23.129,WAS,@,PHI,L 10-34,,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0.0,0,0
