ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1959,1959-09-27,1,22.017,DET,@,BAL,L 9-21,8,48,6.00,0,2,9,4.50,0,0,0,,0,0,,,,,,,,,,,0,
2,1959,1959-10-04,2,22.024,DET,@,GNB,L 10-28,11,43,3.91,1,3,27,9.00,0,0,0,,0,0,,,,,,,,,,,1,
3,1959,1959-10-11,3,22.031,DET,,BAL,L 24-31,5,40,8.00,0,1,9,9.00,0,0,0,,0,0,,,,,,,,,,,0,
4,1959,1959-10-18,4,22.038,DET,,SFO,L 13-34,11,31,2.82,1,4,26,6.50,0,0,0,,0,0,,,,,,,,,,,1,
5,1959,1959-11-01,6,22.052,DET,@,SFO,L 7-33,3,35,11.67,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,
6,1959,1959-11-08,7,22.059,DET,@,PIT,T 10-10,10,69,6.90,0,1,20,20.00,0,0,0,,0,0,,,,,,,,,,,0,
7,1959,1959-11-15,8,22.066,DET,,RAM,W 23-17,2,8,4.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,
8,1959,1959-11-22,9,22.073,DET,,CHI,L 14-24,5,15,3.00,1,1,17,17.00,0,0,0,,0,0,,,,,,,,,,,1,
9,1959,1959-11-26,10,22.077,DET,,GNB,L 17-24,17,134,7.88,0,1,3,3.00,0,0,0,,0,0,,,,,,,,,,,0,
10,1959,1959-12-06,11,22.087,DET,,CRD,W 45-21,4,24,6.00,0,3,29,9.67,0,0,0,,0,0,,,,,,,,,,,0,
11,1960,1960-10-02,1,23.022,DET,@,GNB,L 9-28,10,35,3.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
