ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1993,1993-11-21,10,24.101,DAL,@,ATL,L 14-27,0,0,,0,,0,0,,0,0.0%,,0,
2,1993,1993-11-25,11,24.105,DAL,,MIA,L 14-16,10,57,5.70,0,1,1,10,10.00,0,100.0%,10.00,0,0
3,1993,1993-12-06,12,24.116,DAL,,PHI,W 23-17,3,7,2.33,0,2,2,11,5.50,0,100.0%,5.50,0,0
4,1993,1993-12-12,13,24.122,DAL,@,MIN,W 37-20,10,33,3.30,1,,0,0,,0,0.0%,,1,6
5,1993,1993-12-18,14,24.128,DAL,@,NYJ,W 28-7,3,10,3.33,0,,0,0,,0,0.0%,,0,0
6,1993,1993-12-26,15,24.136,DAL,,WAS,W 38-3,6,19,3.17,1,,0,0,,0,0.0%,,1,6
7,1993,1994-01-02,16,24.143,DAL,@,NYG,W 16-13,2,6,3.00,0,1,1,3,3.00,0,100.0%,3.00,0,0
8,1994,1994-09-04,1,25.023,DAL,@,PIT,W 26-9,1,8,8.00,0,0,0,0,,0,0.0%,,0,0
9,1994,1994-09-11,2,25.030,DAL,,HOU,W 20-17,0,0,,0,,0,0,,0,0.0%,,0,
10,1994,1994-09-19,3,25.038,DAL,,DET,L 17-20,0,0,,0,1,1,7,7.00,0,100.0%,7.00,0,0
11,1994,1994-10-02,4,25.051,DAL,@,WAS,W 34-7,22,74,3.36,1,2,2,7,3.50,0,100.0%,3.50,1,6
12,1994,1994-10-09,5,25.058,DAL,,ARI,W 38-3,20,48,2.40,0,4,4,28,7.00,0,100.0%,7.00,0,0
13,1994,1994-10-16,6,25.065,DAL,,PHI,W 24-13,3,4,1.33,0,0,0,0,,0,0.0%,,0,0
14,1994,1994-10-23,7,25.072,DAL,@,ARI,W 28-21,0,0,,0,,0,0,,0,0.0%,,0,
15,1994,1994-11-07,9,25.087,DAL,,NYG,W 38-10,6,23,3.83,0,0,0,0,,0,0.0%,,0,0
16,1994,1994-11-20,11,25.100,DAL,,WAS,W 31-7,9,21,2.33,0,1,1,4,4.00,0,100.0%,4.00,0,0
17,1994,1994-11-24,12,25.104,DAL,,GNB,W 42-31,1,1,1.00,0,0,0,0,,0,0.0%,,0,0
18,1994,1994-12-04,13,25.114,DAL,@,PHI,W 31-19,2,1,0.50,0,0,0,0,,0,0.0%,,0,0
