ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2008,2008-10-26,7,22.198,KAN,@,NYJ,L 24-28,,3,3,100.0,1,1,100.0,0,6,0,0,,0
2,2008,2008-11-02,8,22.205,KAN,,TAM,L 27-30,,3,3,100.0,2,2,100.0,0,9,0,0,,0
3,2008,2008-11-09,9,22.212,KAN,@,SDG,L 19-20,,1,1,100.0,,,,0,1,0,0,,0
4,2008,2008-11-16,10,22.219,KAN,,NOR,L 20-30,,2,2,100.0,2,2,100.0,0,8,0,0,,0
5,2008,2008-11-23,11,22.226,KAN,,BUF,L 31-54,,4,4,100.0,1,1,100.0,0,7,0,0,,0
6,2008,2008-11-30,12,22.233,KAN,@,OAK,W 20-13,,2,2,100.0,2,2,100.0,0,8,0,0,,0
7,2008,2008-12-07,13,22.240,KAN,@,DEN,L 17-24,,2,2,100.0,1,1,100.0,0,5,0,0,,0
8,2008,2008-12-14,14,22.247,KAN,,SDG,L 21-22,,3,3,100.0,,2,0.0,0,3,0,0,,0
9,2008,2008-12-21,15,22.254,KAN,,MIA,L 31-38,,4,4,100.0,1,1,100.0,0,7,0,0,,0
10,2009,2009-11-08,8,23.211,TAM,,GNB,W 38-28,,3,3,100.0,1,2,50.0,0,6,0,0,,0
11,2009,2009-11-15,9,23.218,TAM,@,MIA,L 23-25,,2,2,100.0,3,3,100.0,0,11,0,0,,0
12,2009,2009-11-22,10,23.225,TAM,,NOR,L 7-38,,1,1,100.0,,,,0,1,0,0,,0
13,2009,2009-11-29,11,23.232,TAM,@,ATL,L 17-20,,2,2,100.0,1,2,50.0,0,5,1,46,46.00,0
14,2009,2009-12-06,12,23.239,TAM,@,CAR,L 6-16,,,,,2,4,50.0,0,6,0,0,,0
15,2009,2009-12-13,13,23.246,TAM,,NYJ,L 3-26,,,,,1,1,100.0,0,3,0,0,,0
16,2009,2009-12-20,14,23.253,TAM,@,SEA,W 24-7,,1,1,100.0,3,4,75.0,0,10,0,0,,0
17,2009,2009-12-27,15,23.260,TAM,@,NOR,W 20-17,,2,2,100.0,2,2,100.0,0,8,0,0,,0
18,2009,2010-01-03,16,23.267,TAM,,ATL,L 10-20,,1,1,100.0,1,1,100.0,0,4,0,0,,0
19,2010,2010-09-12,1,24.154,TAM,,CLE,W 17-14,,2,2,100.0,1,1,100.0,0,5,0,0,,0
20,2010,2010-09-19,2,24.161,TAM,@,CAR,W 20-7,,2,2,100.0,2,2,100.0,0,8,1,33,33.00,0
21,2010,2010-09-26,3,24.168,TAM,,PIT,L 13-38,,1,1,100.0,2,2,100.0,0,7,0,0,,0
22,2010,2010-10-10,4,24.182,TAM,@,CIN,W 24-21,,3,3,100.0,1,1,100.0,0,6,0,0,,0
23,2010,2010-10-17,5,24.189,TAM,,NOR,L 6-31,,,,,,2,0.0,0,0,0,0,,0
24,2010,2010-10-24,6,24.196,TAM,,STL,W 18-17,,,,,4,4,100.0,0,12,0,0,,0
25,2010,2010-10-31,7,24.203,TAM,@,ARI,W 38-35,,5,5,100.0,1,2,50.0,0,8,0,0,,0
26,2010,2010-11-07,8,24.210,TAM,@,ATL,L 21-27,,3,3,100.0,,,,0,3,0,0,,0
27,2010,2010-11-14,9,24.217,TAM,,CAR,W 31-16,,4,4,100.0,1,1,100.0,0,7,0,0,,0
28,2010,2010-11-21,10,24.224,TAM,@,SFO,W 21-0,,3,3,100.0,,1,0.0,0,3,0,0,,0
29,2010,2010-11-28,11,24.231,TAM,@,BAL,L 10-17,,1,1,100.0,1,1,100.0,0,4,0,0,,0
30,2010,2010-12-05,12,24.238,TAM,,ATL,L 24-28,,3,3,100.0,1,1,100.0,0,6,0,0,,0
31,2010,2010-12-12,13,24.245,TAM,@,WAS,W 17-16,,,,,3,3,100.0,0,9,0,0,,0
32,2010,2010-12-19,14,24.252,TAM,,DET,L 20-23,,2,2,100.0,2,2,100.0,0,8,0,0,,0
33,2010,2010-12-26,15,24.259,TAM,,SEA,W 38-15,,5,5,100.0,1,2,50.0,0,8,0,0,,0
34,2010,2011-01-02,16,24.266,TAM,@,NOR,W 23-13,,2,2,100.0,3,3,100.0,0,11,0,0,,0
35,2011,2011-09-11,1,25.153,TAM,,DET,L 20-27,,2,2,100.0,2,2,100.0,0,8,0,0,,0
36,2011,2011-09-18,2,25.160,TAM,@,MIN,W 24-20,,3,3,100.0,1,1,100.0,0,6,0,0,,0
37,2011,2011-09-25,3,25.167,TAM,,ATL,W 16-13,,1,1,100.0,3,3,100.0,0,10,0,0,,0
38,2011,2011-10-03,4,25.175,TAM,,IND,W 24-17,,3,3,100.0,1,2,50.0,0,6,0,0,,0
39,2011,2011-10-09,5,25.181,TAM,@,SFO,L 3-48,,,,,1,1,100.0,0,3,0,0,,0
40,2011,2011-10-16,6,25.188,TAM,,NOR,W 26-20,,2,2,100.0,4,5,80.0,0,14,0,0,,0
41,2011,2011-10-23,7,25.195,TAM,,CHI,L 18-24,,1,1,100.0,1,1,100.0,0,4,0,0,,0
42,2011,2011-11-06,8,25.209,TAM,@,NOR,L 16-27,,1,1,100.0,3,3,100.0,0,10,0,0,,0
43,2011,2011-11-13,9,25.216,TAM,,HOU,L 9-37,,,,,1,1,100.0,0,3,0,0,,0
44,2011,2011-11-20,10,25.223,TAM,@,GNB,L 26-35,,2,2,100.0,2,2,100.0,0,8,0,0,,0
45,2011,2011-11-27,11,25.230,TAM,@,TEN,L 17-23,,2,2,100.0,1,1,100.0,0,5,0,0,,0
46,2011,2011-12-04,12,25.237,TAM,,CAR,L 19-38,,1,1,100.0,4,4,100.0,0,13,0,0,,0
47,2011,2011-12-11,13,25.244,TAM,@,JAX,L 14-41,,2,2,100.0,,,,0,2,0,0,,0
48,2011,2011-12-17,14,25.250,TAM,,DAL,L 15-31,,1,1,100.0,,,,0,1,0,0,,0
49,2011,2011-12-24,15,25.257,TAM,@,CAR,L 16-48,,1,1,100.0,1,1,100.0,0,4,0,0,,0
50,2011,2012-01-01,16,25.265,TAM,@,ATL,L 24-45,,1,1,100.0,1,1,100.0,0,4,0,0,,0
51,2012,2012-09-09,1,26.151,TAM,,CAR,W 16-10,,1,1,100.0,3,3,100.0,0,10,0,0,,0
52,2012,2012-09-16,2,26.158,TAM,@,NYG,L 34-41,,4,4,100.0,2,2,100.0,0,10,0,0,,0
53,2012,2012-09-23,3,26.165,TAM,@,DAL,L 10-16,,1,1,100.0,1,1,100.0,0,4,0,0,,0
54,2012,2012-09-30,4,26.172,TAM,,WAS,L 22-24,,1,1,100.0,3,3,100.0,0,10,0,0,,0
55,2012,2012-10-14,5,26.186,TAM,,KAN,W 38-10,,5,5,100.0,1,2,50.0,0,8,0,0,,0
56,2012,2012-10-21,6,26.193,TAM,,NOR,L 28-35,,4,4,100.0,,1,0.0,0,4,0,0,,0
57,2012,2012-10-25,7,26.197,TAM,@,MIN,W 36-17,,3,3,100.0,3,3,100.0,0,12,0,0,,0
58,2012,2012-11-04,8,26.207,TAM,@,OAK,W 42-32,,6,6,100.0,,2,0.0,0,6,0,0,,0
59,2012,2012-11-11,9,26.214,TAM,,SDG,W 34-24,,4,4,100.0,2,2,100.0,0,10,0,0,,0
60,2012,2012-11-18,10,26.221,TAM,@,CAR,W 27-21,,1,1,100.0,2,2,100.0,0,7,0,0,,0
61,2012,2012-11-25,11,26.228,TAM,,ATL,L 23-24,,2,2,100.0,3,4,75.0,0,11,0,0,,0
62,2012,2012-12-02,12,26.235,TAM,@,DEN,L 23-31,,2,2,100.0,3,3,100.0,0,11,0,0,,0
63,2012,2012-12-09,13,26.242,TAM,,PHI,L 21-23,,3,3,100.0,,,,0,3,0,0,,0
64,2012,2012-12-23,15,26.256,TAM,,STL,L 13-28,,1,1,100.0,2,2,100.0,0,7,0,0,,0
65,2012,2012-12-30,16,26.263,TAM,@,ATL,W 22-17,,1,1,100.0,3,3,100.0,0,10,0,0,,0
66,2014,2014-11-30,12,28.233,DEN,@,KAN,W 29-16,,2,2,100.0,5,5,100.0,0,17,0,0,,0
67,2014,2014-12-07,13,28.240,DEN,,BUF,W 24-17,,3,3,100.0,1,1,100.0,0,6,0,0,,0
68,2014,2014-12-14,14,28.247,DEN,@,SDG,W 22-10,,1,1,100.0,5,5,100.0,0,16,0,0,,0
69,2014,2014-12-22,15,28.255,DEN,@,CIN,L 28-37,,4,4,100.0,,1,0.0,0,4,0,0,,0
70,2014,2014-12-28,16,28.261,DEN,,OAK,W 47-14,,5,5,100.0,4,4,100.0,0,17,0,0,,0
71,2015,2015-10-11,5,29.183,TAM,,JAX,W 38-31,,3,3,100.0,3,3,100.0,0,12,0,0,,0
72,2015,2015-10-25,6,29.197,TAM,@,WAS,L 30-31,,3,3,100.0,3,3,100.0,0,12,0,0,,0
73,2015,2015-11-01,7,29.204,TAM,@,ATL,W 23-20,,2,2,100.0,3,3,100.0,0,11,0,0,,0
74,2015,2015-11-08,8,29.211,TAM,,NYG,L 18-32,,,,,4,5,80.0,0,12,0,0,,0
75,2015,2015-11-15,9,29.218,TAM,,DAL,W 10-6,,1,1,100.0,1,2,50.0,0,4,0,0,,0
76,2015,2015-11-22,10,29.225,TAM,@,PHI,W 45-17,,6,6,100.0,1,1,100.0,0,9,0,0,,0
77,2015,2015-11-29,11,29.232,TAM,@,IND,L 12-25,,,1,0.0,2,3,66.7,0,6,0,0,,0
78,2015,2015-12-06,12,29.239,TAM,,ATL,W 23-19,,2,2,100.0,1,1,100.0,0,5,0,0,,0
79,2015,2015-12-13,13,29.246,TAM,,NOR,L 17-24,,2,2,100.0,1,2,50.0,0,5,0,0,,0
80,2015,2015-12-17,14,29.250,TAM,@,STL,L 23-31,,2,2,100.0,3,3,100.0,0,11,0,0,,0
81,2015,2015-12-27,15,29.260,TAM,,CHI,L 21-26,,3,3,100.0,,1,0.0,0,3,0,0,,0
82,2015,2016-01-03,16,29.267,TAM,@,CAR,L 10-38,,1,1,100.0,1,1,100.0,0,4,0,0,,0
83,2016,2016-09-11,1,30.153,CHI,@,HOU,L 14-23,,2,2,100.0,,,,0,2,0,0,,0
84,2016,2016-09-19,2,30.161,CHI,,PHI,L 14-29,,2,2,100.0,,1,0.0,0,2,0,0,,0
85,2016,2016-09-25,3,30.167,CHI,@,DAL,L 17-31,,2,2,100.0,1,1,100.0,0,5,0,0,,0
86,2016,2016-10-02,4,30.174,CHI,,DET,W 17-14,,2,2,100.0,1,2,50.0,0,5,0,0,,0
87,2016,2016-10-09,5,30.181,CHI,@,IND,L 23-29,,2,2,100.0,3,4,75.0,0,11,0,0,,0
88,2016,2016-10-16,6,30.188,CHI,,JAX,L 16-17,,1,1,100.0,3,3,100.0,0,10,0,0,,0
89,2016,2016-10-20,7,30.192,CHI,@,GNB,L 10-26,,1,1,100.0,1,1,100.0,0,4,0,0,,0
90,2016,2016-10-31,8,30.203,CHI,,MIN,W 20-10,,2,2,100.0,2,2,100.0,0,8,0,0,,0
91,2016,2016-11-13,9,30.216,CHI,@,TAM,L 10-36,,1,1,100.0,1,1,100.0,0,4,0,0,,0
92,2016,2016-11-20,10,30.223,CHI,@,NYG,L 16-22,,1,2,50.0,1,2,50.0,0,4,0,0,,0
93,2016,2016-11-27,11,30.230,CHI,,TEN,L 21-27,,3,3,100.0,,,,0,3,0,0,,0
94,2016,2016-12-04,12,30.237,CHI,,SFO,W 26-6,,3,3,100.0,1,1,100.0,0,6,0,0,,0
95,2016,2016-12-11,13,30.244,CHI,@,DET,L 17-20,,2,2,100.0,1,1,100.0,0,5,0,0,,0
96,2016,2016-12-18,14,30.251,CHI,,GNB,L 27-30,,3,3,100.0,2,2,100.0,0,9,0,0,,0
97,2016,2016-12-24,15,30.257,CHI,,WAS,L 21-41,,3,3,100.0,,1,0.0,0,3,0,0,,0
98,2016,2017-01-01,16,30.265,CHI,@,MIN,L 10-38,,1,1,100.0,1,1,100.0,0,4,0,0,,0
99,2017,2017-09-10,1,31.152,CHI,,ATL,L 17-23,,2,2,100.0,1,1,100.0,0,5,0,0,,0
100,2017,2017-09-17,2,31.159,CHI,@,TAM,L 7-29,,1,1,100.0,,,,0,1,0,0,,0
101,2017,2017-09-24,3,31.166,CHI,,PIT,W 23-17,,2,2,100.0,1,2,50.0,0,5,0,0,,0
102,2017,2017-09-28,4,31.170,CHI,@,GNB,L 14-35,,2,2,100.0,,1,0.0,0,2,0,0,,0
103,2017,2017-10-09,5,31.181,CHI,,MIN,L 17-20,,1,1,100.0,,,,0,1,0,0,,0
104,2017,2017-10-15,6,31.187,CHI,@,BAL,W 27-24,,3,3,100.0,2,2,100.0,0,9,0,0,,0
105,2017,2017-10-22,7,31.194,CHI,,CAR,W 17-3,,2,2,100.0,1,2,50.0,0,5,0,0,,0
106,2017,2017-10-29,8,31.201,CHI,@,NOR,L 12-20,,,,,2,3,66.7,0,6,0,0,,0
107,2017,2017-11-12,9,31.215,CHI,,GNB,L 16-23,,1,1,100.0,3,3,100.0,0,10,0,0,,0
108,2017,2017-11-19,10,31.222,CHI,,DET,L 24-27,,3,3,100.0,1,2,50.0,0,6,0,0,,0
