ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,2002,2002-09-08,1,22.347,DEN,,STL,W 23-16,,,,,,,,
2,2002,2002-09-15,2,22.354,DEN,@,SFO,W 24-14,,,,,,,,
3,2002,2002-09-22,3,22.361,DEN,,BUF,W 28-23,,,,,,,,
4,2002,2002-09-30,4,23.004,DEN,@,BAL,L 23-34,,,,,,,,
5,2002,2002-10-06,5,23.010,DEN,,SDG,W 26-9,,,,,,,,
6,2002,2002-10-13,6,23.017,DEN,,MIA,L 22-24,,,,,,,,
7,2002,2002-10-20,7,23.024,DEN,@,KAN,W 37-34,,,,,,,,
8,2002,2002-10-27,8,23.031,DEN,@,NWE,W 24-16,,,,,,,,
9,2002,2002-11-11,9,23.046,DEN,,OAK,L 10-34,,,,,,,,
10,2002,2002-11-17,10,23.052,DEN,@,SEA,W 31-9,,,,,,,,
11,2002,2002-11-24,11,23.059,DEN,,IND,L 20-23,,,,,,,,
12,2002,2002-12-01,12,23.066,DEN,@,SDG,L 27-30,,,,,,,,
13,2002,2002-12-22,15,23.087,DEN,@,OAK,L 16-28,,,,,,,,
14,2003,2003-09-07,1,23.346,DEN,@,CIN,W 30-10,*,,,,,,,
15,2003,2003-09-14,2,23.353,DEN,@,SDG,W 37-13,*,,,,,,,
16,2003,2003-09-22,3,23.361,DEN,,OAK,W 31-10,*,,,,,,,
17,2003,2003-09-28,4,24.002,DEN,,DET,W 20-16,*,,,,,,,
18,2003,2003-10-05,5,24.009,DEN,@,KAN,L 23-24,*,,,,,,,
19,2003,2003-10-12,6,24.016,DEN,,PIT,W 17-14,*,,,,,,,
20,2003,2003-10-19,7,24.023,DEN,@,MIN,L 20-28,*,,,,,,,
21,2003,2003-10-26,8,24.030,DEN,@,BAL,L 6-26,*,,,,,,,
22,2003,2003-11-03,9,24.038,DEN,,NWE,L 26-30,*,,,,,,,
23,2003,2003-11-16,10,24.051,DEN,,SDG,W 37-8,*,,,,,,,
24,2003,2003-11-23,11,24.058,DEN,,CHI,L 10-19,*,,,,,,,
25,2003,2003-11-30,12,24.065,DEN,@,OAK,W 22-8,*,,,,,,,
26,2003,2003-12-07,13,24.072,DEN,,KAN,W 45-27,*,,,,,,,
27,2003,2003-12-14,14,24.079,DEN,,CLE,W 23-20,*,0,0,,0,1,0,0
28,2003,2003-12-21,15,24.086,DEN,@,IND,W 31-17,*,,,,,,,
29,2003,2003-12-28,16,24.093,DEN,@,GNB,L 3-31,*,,,,,,,
30,2004,2004-09-12,1,24.352,DEN,,KAN,W 34-24,,,,,,,,
31,2004,2004-10-10,5,25.014,DEN,,CAR,W 20-17,,,,,,,,
32,2004,2004-10-17,6,25.021,DEN,@,OAK,W 31-3,,,,,,,,
33,2004,2004-10-31,8,25.035,DEN,,ATL,L 28-41,,,,,,,,
34,2004,2004-11-07,9,25.042,DEN,,HOU,W 31-13,,,,,,,,
35,2004,2004-11-21,10,25.056,DEN,@,NOR,W 34-13,,,,,,,,
36,2004,2004-11-28,11,25.063,DEN,,OAK,L 24-25,*,,,,,,,
37,2005,2005-09-11,1,25.350,DEN,@,MIA,L 10-34,*,,,,,,,
38,2005,2005-09-18,2,25.357,DEN,,SDG,W 20-17,*,,,,,,,
39,2005,2005-09-26,3,26.000,DEN,,KAN,W 30-10,,,,,,,,
40,2005,2005-10-02,4,26.006,DEN,@,JAX,W 20-7,*,,,,,,,
41,2005,2005-10-09,5,26.013,DEN,,WAS,W 21-19,,,,,,,,
42,2005,2005-10-16,6,26.020,DEN,,NWE,W 28-20,,,,,,,,
43,2005,2005-10-23,7,26.027,DEN,@,NYG,L 23-24,,,,,,,,
44,2006,2006-09-10,1,26.349,KAN,,CIN,L 10-23,,,,,,,,
45,2006,2006-09-17,2,26.356,KAN,@,DEN,L 6-9,,,,,,,,
46,2006,2006-10-01,3,27.005,KAN,,SFO,W 41-0,,,,,,,,
47,2006,2006-10-08,4,27.012,KAN,@,ARI,W 23-20,*,,,,,,,
48,2006,2006-10-15,5,27.019,KAN,@,PIT,L 7-45,,,,,,,,
49,2006,2006-10-22,6,27.026,KAN,,SDG,W 30-27,,,,,,,,
50,2006,2006-10-29,7,27.033,KAN,,SEA,W 35-28,*,,,,,,,
51,2006,2006-11-05,8,27.040,KAN,@,STL,W 31-17,,,,,,,,
52,2006,2006-11-12,9,27.047,KAN,@,MIA,L 10-13,,,,,,,,
53,2006,2006-11-19,10,27.054,KAN,,OAK,W 17-13,,1,0,0.00,0,0,0,0
54,2006,2006-11-23,11,27.058,KAN,,DEN,W 19-10,,,,,,,,
55,2006,2006-12-03,12,27.068,KAN,@,CLE,L 28-31,,,,,,,,
56,2006,2006-12-10,13,27.075,KAN,,BAL,L 10-20,,,,,,,,
57,2006,2006-12-17,14,27.082,KAN,@,SDG,L 9-20,,1,6,6.00,0,0,0,0
58,2006,2006-12-23,15,27.088,KAN,@,OAK,W 20-9,,,,,,,,
59,2006,2006-12-31,16,27.096,KAN,,JAX,W 35-30,,,,,,,,
60,2007,2007-09-09,1,27.348,STL,,CAR,L 13-27,,,,,,,,
61,2007,2007-09-16,2,27.355,STL,,SFO,L 16-17,*,,,,,,,
62,2007,2007-09-23,3,27.362,STL,@,TAM,L 3-24,*,,,,,,,
63,2007,2007-09-30,4,28.004,STL,@,DAL,L 7-35,*,,,,,,,
64,2007,2007-10-07,5,28.011,STL,,ARI,L 31-34,,,,,,,,
