ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1989,1989-09-11,1,23.134,NYG,@,WAS,W 27-24,2,17,8.50,0,,1,62,62.00,1,,,0,0,,0,0,0,,,,,,4,85,21.25,0,3,41,13.67,0,1,6
2,1989,1989-09-17,2,23.140,NYG,,DET,W 24-14,1,2,2.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,1,16,16.00,0,3,41,13.67,0,0,0
3,1989,1989-09-24,3,23.147,NYG,,PHO,W 35-7,1,0,0.00,0,,2,17,8.50,0,,,0,0,,0,0,0,,,,,,1,14,14.00,0,4,49,12.25,0,0,0
4,1989,1989-10-01,4,23.154,NYG,@,DAL,W 30-13,1,-1,-1.00,0,,2,38,19.00,1,,,0,0,,0,0,0,,,,,,1,34,34.00,0,2,16,8.00,0,1,6
5,1989,1989-10-08,5,23.161,NYG,@,PHI,L 19-21,7,29,4.14,0,,6,89,14.83,0,,,0,0,,0,0,0,,,,,,1,19,19.00,0,4,29,7.25,0,0,0
6,1989,1989-10-15,6,23.168,NYG,,WAS,W 20-17,0,0,,0,,2,29,14.50,0,,,0,0,,0,0,0,,,,,,3,62,20.67,0,2,26,13.00,0,0,0
7,1989,1989-10-22,7,23.175,NYG,@,SDG,W 20-13,1,3,3.00,0,,1,11,11.00,0,,,0,0,,0,0,0,,,,,,2,37,18.50,0,0,0,,0,0,0
8,1989,1989-10-30,8,23.183,NYG,,MIN,W 24-14,1,5,5.00,0,,1,23,23.00,0,,,0,0,,0,0,0,,,,,,1,17,17.00,0,4,8,2.00,0,0,0
9,1989,1989-11-05,9,23.189,NYG,@,PHO,W 20-13,4,22,5.50,0,,1,16,16.00,0,,,0,0,,0,0,0,,,,,,3,65,21.67,0,5,46,9.20,0,0,0
10,1989,1989-11-12,10,23.196,NYG,@,RAM,L 10-31,0,0,,0,,5,51,10.20,0,,,0,0,,0,0,0,,,,,,1,10,10.00,0,2,10,5.00,0,0,0
11,1989,1989-11-19,11,23.203,NYG,,SEA,W 15-3,1,5,5.00,0,,2,14,7.00,0,,,0,0,,0,0,0,,,,,,3,58,19.33,0,3,98,32.67,0,0,0
12,1989,1989-11-27,12,23.211,NYG,@,SFO,L 24-34,5,29,5.80,0,,4,72,18.00,1,,,0,0,,0,0,0,,,,,,2,43,21.50,0,2,27,13.50,0,1,6
13,1989,1989-12-03,13,23.217,NYG,,PHI,L 17-24,1,1,1.00,0,,2,18,9.00,0,,,0,0,,0,0,0,,,,,,3,74,24.67,0,2,19,9.50,0,0,0
