ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2006,2006-10-08,4,22.283,KAN,@,ARI,W 23-20,,,,,,,,,
2,2006,2006-10-15,5,22.290,KAN,@,PIT,L 7-45,,3,8,2.67,0,0,0,,0
3,2006,2006-11-12,9,22.318,KAN,@,MIA,L 10-13,,0,0,,0,0,0,,0
4,2006,2006-12-03,12,22.339,KAN,@,CLE,L 28-31,,0,0,,0,0,0,,0
5,2006,2006-12-10,13,22.346,KAN,,BAL,L 10-20,,0,0,,0,0,0,,0
6,2006,2006-12-17,14,22.353,KAN,@,SDG,L 9-20,,0,0,,0,1,0,0.00,0
7,2006,2006-12-23,15,22.359,KAN,@,OAK,W 20-9,,0,0,,0,0,0,,0
