ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,def_int,def_int_yds,def_int_td
1,1995,1995-09-03,1,24.024,GNB,,STL,L 14-17,,,,
2,1995,1995-09-11,2,24.032,GNB,@,CHI,W 27-24,,,,
3,1995,1995-09-17,3,24.038,GNB,,NYG,W 14-6,,,,
4,1995,1995-09-24,4,24.045,GNB,@,JAX,W 24-14,,,,
5,1995,1995-10-08,5,24.059,GNB,@,DAL,L 24-34,,,,
6,1995,1995-10-15,6,24.066,GNB,,DET,W 30-21,,0,3,0
7,1995,1995-10-22,7,24.073,GNB,,MIN,W 38-21,,,,
8,1995,1995-10-29,8,24.080,GNB,@,DET,L 16-24,,,,
9,1995,1995-11-05,9,24.087,GNB,@,MIN,L 24-27,,,,
10,1995,1995-11-12,10,24.094,GNB,,CHI,W 35-28,,,,
11,1995,1995-11-19,11,24.101,GNB,@,CLE,W 31-20,,,,
12,1995,1995-11-26,12,24.108,GNB,,TAM,W 35-13,,,,
13,1995,1995-12-03,13,24.115,GNB,,CIN,W 24-10,,,,
14,1995,1995-12-10,14,24.122,GNB,@,TAM,L 10-13,,,,
15,1995,1995-12-16,15,24.128,GNB,@,NOR,W 34-23,,1,0,0
16,1995,1995-12-24,16,24.136,GNB,,PIT,W 24-19,,,,
17,1996,1996-09-01,1,25.022,GNB,@,TAM,W 34-3,,,,
18,1996,1996-09-09,2,25.030,GNB,,PHI,W 39-13,,,,
19,1996,1996-09-15,3,25.036,GNB,,SDG,W 42-10,,,,
20,1996,1996-09-22,4,25.043,GNB,@,MIN,L 21-30,,,,
21,1996,1996-09-29,5,25.050,GNB,@,SEA,W 31-10,,1,2,0
22,1996,1996-10-06,6,25.057,GNB,@,CHI,W 37-6,,,,
23,1996,1996-10-14,7,25.065,GNB,,SFO,W 23-20,,,,
24,1996,1996-10-27,8,25.078,GNB,,TAM,W 13-7,,,,
25,1996,1996-11-03,9,25.085,GNB,,DET,W 28-18,,,,
26,1996,1996-11-10,10,25.092,GNB,@,KAN,L 20-27,,,,
27,1996,1996-11-18,11,25.100,GNB,@,DAL,L 6-21,,,,
28,1996,1996-11-24,12,25.106,GNB,@,STL,W 24-9,,,,
29,1996,1996-12-01,13,25.113,GNB,,CHI,W 28-17,,,,
30,1996,1996-12-08,14,25.120,GNB,,DEN,W 41-6,,,,
31,1996,1996-12-15,15,25.127,GNB,@,DET,W 31-3,,,,
32,1996,1996-12-22,16,25.134,GNB,,MIN,W 38-10,,1,20,0
33,1997,1997-09-01,1,26.022,GNB,,CHI,W 38-24,,,,
34,1998,1998-09-06,1,27.027,GNB,,DET,W 38-19,,,,
35,1998,1998-09-13,2,27.034,GNB,,TAM,W 23-15,,,,
36,1998,1998-09-20,3,27.041,GNB,@,CIN,W 13-6,,,,
37,1998,1998-09-27,4,27.048,GNB,@,CAR,W 37-30,,1,26,0
38,1998,1998-10-05,5,27.056,GNB,,MIN,L 24-37,,,,
39,1998,1998-10-15,6,27.066,GNB,@,DET,L 20-27,,,,
40,1998,1998-11-01,8,27.083,GNB,,SFO,W 36-22,,,,
41,1998,1998-11-09,9,27.091,GNB,@,PIT,L 20-27,,,,
42,1998,1998-11-15,10,27.097,GNB,@,NYG,W 37-3,,,,
43,1998,1998-11-22,11,27.104,GNB,@,MIN,L 14-28,,,,
44,1998,1998-12-07,13,27.119,GNB,@,TAM,L 22-24,,,,
45,1998,1998-12-13,14,27.125,GNB,,CHI,W 26-20,,,,
46,1999,1999-09-12,1,28.033,SFO,@,JAX,L 3-41,,,,
47,1999,1999-09-19,2,28.040,SFO,,NOR,W 28-21,,,,
48,1999,1999-09-27,3,28.048,SFO,@,ARI,W 24-10,,,,
49,1999,1999-10-03,4,28.054,SFO,,TEN,W 24-22,*,,,
50,1999,1999-10-10,5,28.061,SFO,@,STL,L 20-42,,,,
51,1999,1999-10-24,7,28.075,SFO,@,MIN,L 16-40,*,,,
52,1999,2000-01-03,16,28.146,SFO,@,ATL,L 29-34,,,,
