ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1985,1985-09-08,1,23.151,HOU,,MIA,W 26-23,,0,0,,0,,,0,0,,0,4,95,23.75,0,0,0,,0,0,0
2,1985,1985-09-15,2,23.158,HOU,@,WAS,L 13-16,,0,0,,0,,,0,0,,0,2,102,51.00,0,0,0,,0,0,0
3,1985,1985-09-22,3,23.165,HOU,@,PIT,L 0-20,,0,0,,0,,,0,0,,0,2,47,23.50,0,0,0,,0,0,0
4,1985,1985-09-29,4,23.172,HOU,,DAL,L 10-17,,1,5,5.00,0,,,0,0,,0,3,63,21.00,0,0,0,,0,0,0
5,1985,1985-10-06,5,23.179,HOU,@,DEN,L 20-31,,1,14,14.00,0,,,1,13,13.00,0,2,45,22.50,0,0,0,,0,0,0
6,1985,1985-10-13,6,23.186,HOU,,CLE,L 6-21,,0,0,,0,,,1,3,3.00,0,2,54,27.00,0,0,0,,0,0,0
7,1985,1985-10-20,7,23.193,HOU,,CIN,W 44-27,,0,0,,0,,,0,0,,0,2,41,20.50,0,0,0,,0,0,0
8,1986,1986-09-07,1,24.150,HOU,@,GNB,W 31-3,,0,0,,0,,,0,0,,0,1,24,24.00,0,0,0,,0,0,0
9,1986,1986-09-14,2,24.157,HOU,,CLE,L 20-23,,0,0,,0,,,0,0,,0,2,41,20.50,0,0,0,,0,0,0
10,1986,1986-11-09,10,24.213,BUF,,PIT,W 16-12,,,,,,,,,,,,0,0,,0,,,,,,
11,1986,1986-11-16,11,24.220,BUF,,MIA,L 24-34,,0,0,,0,,,0,0,,0,3,41,13.67,0,0,0,,0,0,0
12,1986,1986-11-23,12,24.227,BUF,@,NWE,L 19-22,,0,0,,0,,,0,0,,0,1,15,15.00,0,0,0,,0,0,0
13,1986,1986-11-30,13,24.234,BUF,@,KAN,W 17-14,,0,0,,0,,,0,0,,0,1,23,23.00,0,0,0,,0,0,0
14,1986,1986-12-07,14,24.241,BUF,,CLE,L 17-21,,0,0,,0,,,0,0,,0,2,23,11.50,0,0,0,,0,0,0
15,1986,1986-12-14,15,24.248,BUF,@,IND,L 14-24,,0,0,,0,,,0,0,,0,2,46,23.00,0,0,0,,0,0,0
16,1986,1986-12-21,16,24.255,BUF,@,HOU,L 7-16,,,,,,,,,,,,0,0,,0,,,,,,
17,1987,1987-09-13,1,25.156,BUF,,NYJ,L 28-31,,,,,,,,,,,,0,0,,0,,,,,,
18,1987,1987-09-20,2,25.163,BUF,,HOU,W 34-30,,,,,,,,,,,,0,0,,0,,,,,,
19,1987,1987-10-25,6,25.198,BUF,@,MIA,W 34-31,,0,0,,0,,,0,0,,0,2,43,21.50,0,0,0,,0,0,0
20,1987,1987-11-01,7,25.205,BUF,,WAS,L 7-27,,0,0,,0,,,0,0,,0,1,21,21.00,0,0,0,,0,0,0
21,1987,1987-11-08,8,25.212,BUF,,DEN,W 21-14,,0,0,,0,,,0,0,,0,3,32,10.67,0,0,0,,0,0,0
