ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1975,1975-09-21,1,21.313,MIN,,SFO,W 27-17,,,,,,,
2,1975,1975-09-28,2,21.320,MIN,@,CLE,W 42-10,,,,,,,
3,1975,1975-10-05,3,21.327,MIN,,CHI,W 28-3,,,,,,,
4,1975,1975-10-12,4,21.334,MIN,,NYJ,W 29-21,,,,,,,
5,1975,1975-10-19,5,21.341,MIN,,DET,W 25-19,,,,,,,
6,1975,1975-10-27,6,21.349,MIN,@,CHI,W 13-9,0,0,,0,1,0,0
7,1975,1975-11-02,7,21.355,MIN,@,GNB,W 28-17,,,,,,,
8,1975,1975-11-09,8,21.362,MIN,,ATL,W 38-0,,,,,,,
9,1975,1975-11-16,9,22.004,MIN,@,NOR,W 20-7,1,0,0.00,0,0,0,0
10,1975,1975-11-23,10,22.011,MIN,,SDG,W 28-13,,,,,,,
11,1975,1975-11-30,11,22.018,MIN,@,WAS,L 30-31,,,,,,,
12,1975,1975-12-07,12,22.025,MIN,,GNB,W 24-3,,,,,,,
13,1975,1975-12-14,13,22.032,MIN,@,DET,L 10-17,,,,,,,
14,1975,1975-12-20,14,22.038,MIN,@,BUF,W 35-13,,,,,,,
15,1976,1976-09-12,1,22.305,MIN,@,NOR,W 40-9,1,2,2.00,0,0,0,0
16,1976,1976-09-19,2,22.312,MIN,,RAM,T 10-10,0,0,,0,1,41,0
17,1976,1976-09-26,3,22.319,MIN,@,DET,W 10-9,,,,,,,
18,1976,1976-10-04,4,22.327,MIN,,PIT,W 17-6,,,,,,,
19,1976,1976-10-10,5,22.333,MIN,,CHI,W 20-19,,,,,,,
20,1976,1976-10-17,6,22.340,MIN,,NYG,W 24-7,,,,,,,
21,1976,1976-10-24,7,22.347,MIN,@,PHI,W 31-12,,,,,,,
22,1976,1976-10-31,8,22.354,MIN,@,CHI,L 13-14,1,0,0.00,0,0,0,0
23,1976,1976-11-07,9,22.361,MIN,,DET,W 31-23,1,0,0.00,0,0,0,0
24,1976,1976-11-14,10,23.002,MIN,,SEA,W 27-21,,,,,,,
25,1976,1976-11-21,11,23.009,MIN,@,GNB,W 17-10,1,0,0.00,0,0,0,0
26,1976,1976-11-29,12,23.017,MIN,@,SFO,L 16-20,1,14,14.00,0,0,0,0
27,1976,1976-12-05,13,23.023,MIN,,GNB,W 20-9,1,4,4.00,0,0,0,0
28,1976,1976-12-11,14,23.029,MIN,@,MIA,W 29-7,1,-1,-1.00,0,0,0,0
29,1977,1977-09-18,1,23.310,SEA,,BAL,L 14-29,,,,,,,
30,1977,1977-09-25,2,23.317,SEA,@,CIN,L 20-42,,,,,,,
31,1977,1977-10-02,3,23.324,SEA,,DEN,L 13-24,,,,,,,
32,1977,1977-10-09,4,23.331,SEA,@,NWE,L 0-31,0,0,,0,1,0,0
33,1977,1977-10-16,5,23.338,SEA,,TAM,W 30-23,0,0,,0,2,0,0
34,1977,1977-10-23,6,23.345,SEA,@,MIA,L 13-31,,,,,,,
35,1977,1977-10-30,7,23.352,SEA,,BUF,W 56-17,,,,,,,
36,1977,1977-11-06,8,23.359,SEA,@,OAK,L 7-44,,,,,,,
37,1977,1977-11-13,9,24.001,SEA,@,NYJ,W 17-0,0,0,,0,1,16,0
38,1977,1977-11-20,10,24.008,SEA,,HOU,L 10-22,,,,,,,
39,1977,1977-11-27,11,24.015,SEA,,SDG,L 28-30,0,0,,0,1,0,0
40,1977,1977-12-04,12,24.022,SEA,@,PIT,L 20-30,,,,,,,
41,1977,1977-12-11,13,24.029,SEA,@,KAN,W 34-31,,,,,,,
42,1977,1977-12-18,14,24.036,SEA,,CLE,W 20-19,0,0,,0,1,20,0
43,1978,1978-09-03,1,24.295,SEA,,SDG,L 20-24,0,0,,0,1,0,0
44,1978,1978-09-10,2,24.302,SEA,@,PIT,L 10-21,,,,,,,
45,1978,1978-09-17,3,24.309,SEA,@,NYJ,W 24-17,,,,,,,
46,1978,1978-09-24,4,24.316,SEA,,DET,W 28-16,,,,,,,
47,1978,1978-10-01,5,24.323,SEA,@,DEN,L 7-28,0,0,,0,1,2,0
48,1978,1978-10-08,6,24.330,SEA,,MIN,W 29-28,,,,,,,
49,1978,1978-10-15,7,24.337,SEA,@,GNB,L 28-45,0,0,,0,1,15,0
50,1978,1978-10-22,8,24.344,SEA,,OAK,W 27-7,0,0,,0,1,0,0
51,1978,1978-10-29,9,24.351,SEA,,DEN,L 17-20,,,,,,,
52,1978,1978-11-05,10,24.358,SEA,@,CHI,W 31-29,,,,,,,
53,1978,1978-11-12,11,25.000,SEA,,BAL,L 14-17,,,,,,,
54,1978,1978-11-19,12,25.007,SEA,@,KAN,W 13-10,,,,,,,
55,1978,1978-11-26,13,25.014,SEA,@,OAK,W 17-16,,,,,,,
56,1978,1978-12-03,14,25.021,SEA,,CLE,W 47-24,,,,,,,
57,1978,1978-12-10,15,25.028,SEA,@,SDG,L 10-37,,,,,,,
58,1978,1978-12-17,16,25.035,SEA,,KAN,W 23-19,,,,,,,
59,1979,1979-09-02,1,25.294,SEA,,SDG,L 16-33,,,,,,,
60,1979,1979-09-09,2,25.301,SEA,@,MIA,L 10-19,,,,,,,
61,1979,1979-09-16,3,25.308,SEA,,OAK,W 27-10,,,,,,,
62,1979,1979-09-23,4,25.315,SEA,@,DEN,L 34-37,,,,,,,
63,1979,1979-10-07,6,25.329,SEA,@,SFO,W 35-24,,,,,,,
64,1979,1979-10-14,7,25.336,SEA,@,SDG,L 10-20,,,,,,,
65,1979,1979-10-21,8,25.343,SEA,,HOU,W 34-14,,,,,,,
66,1979,1979-10-29,9,25.351,SEA,@,ATL,W 31-28,,,,,,,
67,1979,1979-11-04,10,25.357,SEA,,RAM,L 0-24,,,,,,,
68,1979,1979-11-11,11,25.364,SEA,@,CLE,W 29-24,0,0,,0,1,38,0
69,1979,1979-11-18,12,26.006,SEA,,NOR,W 38-24,,,,,,,
70,1979,1979-11-26,13,26.014,SEA,,NYJ,W 30-7,,,,,,,
71,1979,1979-12-02,14,26.020,SEA,@,KAN,L 21-37,,,,,,,
72,1979,1979-12-08,15,26.026,SEA,,DEN,W 28-23,,,,,,,
73,1979,1979-12-16,16,26.034,SEA,@,OAK,W 29-24,,,,,,,
74,1980,1980-09-28,4,26.321,CLE,@,TAM,W 34-27,,,,,,,
75,1980,1980-10-05,5,26.328,CLE,,DEN,L 16-19,,,,,,,
76,1980,1980-10-12,6,26.335,CLE,@,SEA,W 27-3,,,,,,,
77,1980,1980-10-19,7,26.342,CLE,,GNB,W 26-21,,,,,,,
78,1980,1980-10-26,8,26.349,CLE,,PIT,W 27-26,,,,,,,
79,1980,1980-11-03,9,26.357,CLE,,CHI,W 27-21,,,,,,,
80,1980,1980-11-09,10,26.363,CLE,@,BAL,W 28-27,,,,,,,
81,1980,1980-11-16,11,27.004,CLE,@,PIT,L 13-16,,,,,,,
82,1980,1980-11-23,12,27.011,CLE,,CIN,W 31-7,,,,,,,
83,1980,1980-11-30,13,27.018,CLE,@,HOU,W 17-14,,,,,,,
84,1980,1980-12-07,14,27.025,CLE,,NYJ,W 17-14,,,,,,,
85,1980,1980-12-14,15,27.032,CLE,@,MIN,L 23-28,,,,,,,
86,1980,1980-12-21,16,27.039,CLE,@,CIN,W 27-24,,,,,,,
87,1981,1981-09-20,3,27.312,CLE,@,CIN,W 20-17,,,,,,,
88,1981,1981-09-27,4,27.319,CLE,,ATL,W 28-17,,,,,,,
89,1981,1981-10-04,5,27.326,CLE,@,RAM,L 16-27,,,,,,,
90,1981,1981-10-11,6,27.333,CLE,@,PIT,L 7-13,,,,,,,
91,1981,1981-10-18,7,27.340,CLE,,NOR,W 20-17,,,,,,,
92,1981,1981-10-25,8,27.347,CLE,,BAL,W 42-28,,,,,,,
93,1981,1981-11-01,9,27.354,CLE,@,BUF,L 13-22,,,,,,,
94,1981,1981-11-08,10,27.361,CLE,@,DEN,L 20-23,,,,,,,
95,1981,1981-11-15,11,28.003,CLE,@,SFO,W 15-12,,,,,,,
