ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1960,1960-09-25,1,25.348,SFO,,NYG,L 19-21,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,5,20.0,0,5,3,129,43.00,0
2,1960,1960-10-02,2,25.355,SFO,,RAM,W 13-9,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,2,4,50.0,0,7,0,0,,0
3,1960,1960-10-09,3,25.362,SFO,@,DET,W 14-10,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2,0,0,,0
4,1960,1960-10-16,4,26.003,SFO,@,CHI,L 10-27,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,5,225,45.00,0
5,1960,1960-10-23,5,26.010,SFO,@,GNB,L 14-41,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2,7,322,46.00,0
6,1960,1960-10-30,6,26.017,SFO,,CHI,W 25-7,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11,7,296,42.29,0
7,1960,1960-11-06,7,26.024,SFO,,DET,L 0-24,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,7,296,42.29,0
8,1960,1960-11-20,8,26.038,SFO,@,DAL,W 26-14,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,4,6,66.7,0,14,2,80,40.00,0
9,1960,1960-11-27,9,26.045,SFO,@,BAL,W 30-22,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,3,3,100.0,0,12,7,337,48.14,0
10,1960,1960-12-04,10,26.052,SFO,@,RAM,W 23-7,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,3,5,60.0,0,11,4,208,52.00,0
11,1960,1960-12-10,11,26.058,SFO,,GNB,L 0-13,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,9,342,38.00,0
12,1960,1960-12-18,12,26.066,SFO,,BAL,W 34-10,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,2,3,66.7,0,10,7,328,46.86,0
13,1961,1961-09-17,1,26.339,SFO,,WAS,W 35-3,0,0,,0,0,0,,0,0,,,,,,,5,5,100.0,,,,0,5,,,,
14,1961,1961-09-24,2,26.346,SFO,@,GNB,L 10-30,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0,0,,0
15,1961,1961-10-01,3,26.353,SFO,@,DET,W 49-0,0,0,,0,0,0,,0,0,,,,,,,7,7,100.0,,,,0,7,,,,
16,1961,1961-10-08,4,26.360,SFO,,RAM,W 35-0,0,0,,0,0,0,,0,0,0,,0,0,,,5,5,100.0,,1,0.0,0,5,3,133,44.33,0
17,1961,1961-10-15,5,27.002,SFO,@,MIN,W 38-24,0,0,,0,0,0,,0,0,0,,0,0,,,5,5,100.0,1,1,100.0,0,8,1,45,45.00,0
18,1961,1961-10-29,7,27.016,SFO,@,PIT,L 10-20,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4,6,322,53.67,0
19,1961,1961-11-05,8,27.023,SFO,,DET,T 20-20,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,2,4,50.0,0,8,5,211,42.20,0
20,1961,1961-11-12,9,27.030,SFO,@,RAM,L 7-17,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1,6,293,48.83,0
21,1961,1961-11-19,10,27.037,SFO,,CHI,W 41-31,0,0,,0,0,0,,0,0,0,,0,0,,,5,5,100.0,2,4,50.0,0,11,4,217,54.25,0
22,1961,1961-11-26,11,27.044,SFO,,MIN,W 38-28,0,0,,0,0,0,,0,0,0,,0,0,,,5,5,100.0,1,3,33.3,0,8,3,146,48.67,0
23,1961,1961-12-03,12,27.051,SFO,@,BAL,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5,2,88,44.00,0
24,1961,1961-12-10,13,27.058,SFO,,GNB,W 22-21,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,2,70,35.00,0
25,1961,1961-12-16,14,27.064,SFO,,BAL,L 24-27,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,3,114,38.00,0
26,1962,1962-09-16,1,27.338,SFO,,CHI,L 14-30,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,8,343,42.88,0
27,1962,1962-09-23,2,27.345,SFO,@,DET,L 24-45,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6,2,95,47.50,0
28,1962,1962-09-30,3,27.352,SFO,,MIN,W 21-7,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,,,,0,3,5,268,53.60,0
29,1962,1962-10-07,4,27.359,SFO,@,BAL,W 21-13,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,,,,0,3,2,71,35.50,0
30,1962,1962-10-14,5,28.001,SFO,@,CHI,W 34-27,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,2,5,40.0,0,10,4,201,50.25,0
31,1962,1962-10-21,6,28.008,SFO,@,GNB,L 13-31,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,2,3,66.7,0,7,1,29,29.00,0
32,1962,1962-10-28,7,28.015,SFO,,RAM,L 14-28,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,3,137,45.67,0
33,1962,1962-11-04,8,28.022,SFO,,BAL,L 3-22,0,0,,0,0,0,,0,0,0,,0,0,,,,,,1,3,33.3,0,3,3,124,41.33,0
34,1962,1962-11-11,9,28.029,SFO,,DET,L 24-38,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6,3,156,52.00,0
35,1962,1962-11-18,10,28.036,SFO,@,RAM,W 24-17,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6,3,127,42.33,0
36,1962,1962-11-25,11,28.043,SFO,@,STL,W 24-17,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6,6,315,52.50,0
37,1962,1962-12-02,12,28.050,SFO,@,MIN,W 35-12,0,0,,0,0,0,,0,0,0,,0,0,,,5,5,100.0,,1,0.0,0,5,4,158,39.50,0
