ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-27,3,23.078,GNB,@,STL,W 36-17,,,,,,,,,,
2,2009,2009-10-05,4,23.086,GNB,@,MIN,L 23-30,,0,0,,0,0,0,0.0,2,2
3,2009,2009-10-18,5,23.099,GNB,,DET,W 26-0,,0,0,,0,0,0,0.0,1,0
4,2009,2009-10-25,6,23.106,GNB,@,CLE,W 31-3,,0,0,,0,0,0,0.0,1,0
5,2009,2009-11-01,7,23.113,GNB,,MIN,L 26-38,,0,0,,0,0,0,0.0,2,0
6,2009,2009-11-08,8,23.120,GNB,@,TAM,L 28-38,,0,0,,0,0,0,0.0,2,1
7,2009,2009-11-15,9,23.127,GNB,,DAL,W 17-7,,0,0,,0,0,0,0.0,1,0
8,2009,2009-11-22,10,23.134,GNB,,SFO,W 30-24,,0,0,,0,0,0,1.0,1,0
9,2009,2009-11-26,11,23.138,GNB,@,DET,W 34-12,,0,0,,0,0,0,0.0,2,0
10,2009,2009-12-07,12,23.149,GNB,,BAL,W 27-14,,0,0,,0,0,0,0.0,2,0
11,2009,2009-12-13,13,23.155,GNB,@,CHI,W 21-14,,0,0,,0,0,0,0.0,2,0
12,2009,2009-12-20,14,23.162,GNB,@,PIT,L 36-37,,0,0,,0,0,0,0.0,0,2
13,2009,2009-12-27,15,23.169,GNB,,SEA,W 48-10,*,0,0,,0,0,0,0.0,1,1
14,2009,2010-01-03,16,23.176,GNB,@,ARI,W 33-7,,0,0,,0,0,0,0.0,2,0
15,2010,2010-09-12,1,24.063,GNB,@,PHI,W 27-20,*,0,0,,0,0,0,1.0,2,0
16,2010,2010-09-19,2,24.070,GNB,,BUF,W 34-7,*,0,0,,0,0,0,0.0,1,1
17,2010,2010-09-27,3,24.078,GNB,@,CHI,L 17-20,*,0,0,,0,0,0,0.0,1,0
18,2010,2010-10-03,4,24.084,GNB,,DET,W 28-26,*,0,0,,0,0,0,1.0,2,0
19,2010,2010-10-10,5,24.091,GNB,@,WAS,L 13-16,*,0,0,,0,0,0,0.5,2,2
20,2010,2010-10-17,6,24.098,GNB,,MIA,L 20-23,*,0,0,,0,0,0,0.0,6,1
21,2010,2010-10-24,7,24.105,GNB,,MIN,W 28-24,*,0,0,,0,0,0,0.0,3,1
22,2010,2010-10-31,8,24.112,GNB,@,NYJ,W 9-0,*,0,0,,0,0,0,0.0,2,0
23,2010,2010-11-07,9,24.119,GNB,,DAL,W 45-7,*,0,0,,0,0,0,0.0,1,0
24,2010,2010-11-21,10,24.133,GNB,@,MIN,W 31-3,*,0,0,,0,0,0,0.0,2,0
25,2010,2010-11-28,11,24.140,GNB,@,ATL,L 17-20,*,0,0,,0,0,0,0.0,0,1
26,2010,2010-12-05,12,24.147,GNB,,SFO,W 34-16,*,0,0,,0,0,0,1.0,1,0
27,2010,2010-12-12,13,24.154,GNB,@,DET,L 3-7,*,0,0,,0,0,0,0.0,0,2
28,2010,2010-12-19,14,24.161,GNB,@,NWE,L 27-31,*,0,0,,0,0,0,2.0,4,0
29,2010,2010-12-26,15,24.168,GNB,,NYG,W 45-17,*,0,0,,0,0,0,1.0,1,2
30,2010,2011-01-02,16,24.175,GNB,,CHI,W 10-3,*,0,0,,0,0,0,0.0,1,0
31,2011,2011-09-08,1,25.059,GNB,,NOR,W 42-34,*,0,0,,0,0,0,0.0,2,0
32,2011,2011-09-18,2,25.069,GNB,@,CAR,W 30-23,*,0,0,,0,0,0,1.0,4,0
33,2011,2011-09-25,3,25.076,GNB,@,CHI,W 27-17,*,,,,,,,,,
34,2011,2011-10-02,4,25.083,GNB,,DEN,W 49-23,*,0,0,,0,0,0,0.0,0,2
35,2011,2011-10-09,5,25.090,GNB,@,ATL,W 25-14,*,0,0,,0,0,0,0.0,1,2
36,2011,2011-10-16,6,25.097,GNB,,STL,W 24-3,*,0,0,,0,0,0,0.0,1,1
37,2011,2011-10-23,7,25.104,GNB,@,MIN,W 33-27,*,0,0,,0,0,0,1.0,1,2
38,2011,2011-11-06,8,25.118,GNB,@,SDG,W 45-38,*,,,,,,,,,
39,2011,2011-11-14,9,25.126,GNB,,MIN,W 45-7,*,,,,,,,,,
40,2011,2011-11-20,10,25.132,GNB,,TAM,W 35-26,*,1,1,1.00,1,1,6,0.0,0,0
41,2011,2011-11-24,11,25.136,GNB,@,DET,W 27-15,*,0,0,,0,0,0,1.0,1,0
42,2011,2011-12-04,12,25.146,GNB,@,NYG,W 38-35,*,0,0,,0,0,0,0.0,1,0
43,2011,2011-12-11,13,25.153,GNB,,OAK,W 46-16,*,,,,,,,,,
44,2011,2011-12-18,14,25.160,GNB,@,KAN,L 14-19,*,0,0,,0,0,0,0.0,2,0
45,2011,2011-12-25,15,25.167,GNB,,CHI,W 35-21,*,0,0,,0,0,0,0.0,0,1
46,2011,2012-01-01,16,25.174,GNB,,DET,W 45-41,*,0,0,,0,0,0,0.0,1,0
47,2012,2012-09-09,1,26.060,GNB,,SFO,L 22-30,*,0,0,,0,0,0,0.0,0,1
48,2012,2012-09-13,2,26.064,GNB,,CHI,W 23-10,*,0,0,,0,0,0,0.0,1,1
49,2012,2012-09-24,3,26.075,GNB,@,SEA,L 12-14,*,0,0,,0,0,0,0.0,1,2
50,2012,2012-09-30,4,26.081,GNB,,NOR,W 28-27,*,0,0,,0,0,0,0.0,0,1
51,2012,2012-10-07,5,26.088,GNB,@,IND,L 27-30,*,,,,,,,,,
