ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
52,2012,2012-10-28,8,26.109,GNB,,JAX,W 24-15,*,0,0,,0,0,0,0.0,1,1
53,2012,2012-11-04,9,26.116,GNB,,ARI,W 31-17,*,,,,,,,,,
54,2012,2012-11-18,10,26.130,GNB,@,DET,W 24-20,*,0,0,,0,0,0,0.0,0,1
55,2012,2012-11-25,11,26.137,GNB,@,NYG,L 10-38,*,0,0,,0,0,0,0.0,3,0
56,2012,2012-12-02,12,26.144,GNB,,MIN,W 23-14,*,0,0,,0,0,0,0.0,0,3
57,2012,2012-12-09,13,26.151,GNB,,DET,W 27-20,*,0,0,,0,0,0,0.0,4,0
58,2012,2012-12-16,14,26.158,GNB,@,CHI,W 21-13,*,0,0,,0,0,0,0.0,1,0
59,2012,2012-12-23,15,26.165,GNB,,TEN,W 55-7,*,0,0,,0,0,0,0.0,1,0
60,2012,2012-12-30,16,26.172,GNB,@,MIN,L 34-37,*,0,0,,0,0,0,0.0,4,0
61,2013,2013-09-08,1,27.059,GNB,@,SFO,L 28-34,*,0,0,,0,0,0,0.0,3,0
62,2013,2013-09-15,2,27.066,GNB,,WAS,W 38-20,*,0,0,,0,0,0,0.0,1,1
63,2013,2013-09-22,3,27.073,GNB,@,CIN,L 30-34,*,,,,,,,,,
64,2013,2013-10-06,4,27.087,GNB,,DET,W 22-9,*,,,,,,,,,
65,2013,2013-10-13,5,27.094,GNB,@,BAL,W 19-17,*,0,0,,0,0,0,0.0,1,1
66,2013,2013-10-20,6,27.101,GNB,,CLE,W 31-13,*,0,0,,0,0,0,0.0,1,0
67,2013,2013-10-27,7,27.108,GNB,@,MIN,W 44-31,*,0,0,,0,0,0,0.0,1,0
68,2013,2013-11-04,8,27.116,GNB,,CHI,L 20-27,*,0,0,,0,0,0,0.0,3,0
69,2013,2013-11-10,9,27.122,GNB,,PHI,L 13-27,*,,,,,,,,,
70,2013,2013-11-17,10,27.129,GNB,@,NYG,L 13-27,*,,,,,,,,,
71,2013,2013-11-24,11,27.136,GNB,,MIN,T 26-26,*,0,0,,0,0,0,0.0,1,0
72,2013,2013-11-28,12,27.140,GNB,@,DET,L 10-40,*,,,,,,,,,
73,2013,2013-12-08,13,27.150,GNB,,ATL,W 22-21,*,0,0,,0,0,0,0.0,0,1
74,2013,2013-12-15,14,27.157,GNB,@,DAL,W 37-36,*,0,0,,0,0,0,0.0,0,1
75,2013,2013-12-22,15,27.164,GNB,,PIT,L 31-38,*,,,,,,,,,
76,2013,2013-12-29,16,27.171,GNB,@,CHI,W 33-28,*,0,0,,0,0,0,0.0,1,1
77,2015,2015-09-13,1,29.064,GNB,@,CHI,W 31-23,*,0,0,,0,0,0,0.5,2,2
78,2015,2015-09-20,2,29.071,GNB,,SEA,W 27-17,*,0,0,,0,0,0,0.0,2,0
79,2015,2015-09-28,3,29.079,GNB,,KAN,W 38-28,*,0,0,,0,0,0,0.0,0,1
80,2015,2015-10-04,4,29.085,GNB,@,SFO,W 17-3,*,0,0,,0,0,0,0.0,3,0
81,2015,2015-10-11,5,29.092,GNB,,STL,W 24-10,*,0,0,,0,0,0,0.0,2,1
82,2015,2015-11-01,7,29.113,GNB,@,DEN,L 10-29,*,0,0,,0,0,0,0.0,1,1
83,2015,2015-11-08,8,29.120,GNB,@,CAR,L 29-37,*,0,0,,0,0,0,0.0,0,0
84,2015,2015-11-15,9,29.127,GNB,,DET,L 16-18,*,0,0,,0,0,0,0.0,0,1
85,2015,2015-11-22,10,29.134,GNB,@,MIN,W 30-13,*,0,0,,0,0,0,0.0,0,0
86,2015,2015-11-26,11,29.138,GNB,,CHI,L 13-17,*,0,0,,0,0,0,0.0,1,0
87,2015,2015-12-03,12,29.145,GNB,@,DET,W 27-23,*,0,0,,0,0,0,0.0,0,1
88,2015,2015-12-13,13,29.155,GNB,,DAL,W 28-7,*,0,0,,0,0,0,0.0,0,1
89,2015,2015-12-20,14,29.162,GNB,@,OAK,W 30-20,*,0,0,,0,0,0,0.0,2,0
90,2015,2015-12-27,15,29.169,GNB,@,ARI,L 8-38,*,0,0,,0,0,0,0.0,0,0
91,2015,2016-01-03,16,29.176,GNB,,MIN,L 13-20,*,0,0,,0,0,0,0.0,0,1
