ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1958,1958-10-19,4,22.266,BAL,@,DET,W 40-14,1,27,27.00,1,0,0,,0,,,,,1,,,,
2,1958,1958-10-26,5,22.273,BAL,,WAS,W 35-10,4,-10,-2.50,0,2,16,8.00,0,,,,,0,,,,
3,1958,1958-11-02,6,22.280,BAL,,GNB,W 56-0,13,34,2.62,0,3,8,2.67,1,,,,,1,,,,
4,1958,1958-11-23,9,22.301,BAL,,RAM,W 34-7,3,-10,-3.33,0,0,0,,0,,,,,0,,,,
5,1958,1958-12-06,11,22.314,BAL,@,RAM,L 28-30,1,0,0.00,0,0,0,,0,,,,,0,,,,
6,1959,1959-10-11,3,23.258,SFO,@,GNB,L 20-21,1,3,3.00,0,1,8,8.00,0,,,,,0,,,,
7,1959,1959-10-18,4,23.265,SFO,@,DET,W 34-13,1,2,2.00,0,0,0,,0,,,,,0,,,,
8,1959,1959-10-25,5,23.272,SFO,,CHI,W 20-17,2,16,8.00,1,1,18,18.00,0,,,,,1,,,,
9,1959,1959-11-01,6,23.279,SFO,,DET,W 33-7,2,3,1.50,0,0,0,,0,,,,,0,,,,
10,1959,1959-12-05,11,23.313,SFO,,BAL,L 14-34,7,4,0.57,0,1,7,7.00,0,,,,,0,,,,
11,1960,1960-10-09,3,24.257,SFO,@,DET,W 14-10,0,0,,0,0,0,,0,2,42,21.00,0,0,0,0,0,0
12,1960,1960-10-16,4,24.264,SFO,@,CHI,L 10-27,0,0,,0,0,0,,0,1,30,30.00,0,0,0,0,0,0
13,1960,1960-10-23,5,24.271,SFO,@,GNB,L 14-41,0,0,,0,0,0,,0,5,106,21.20,0,0,0,0,0,0
14,1960,1960-10-30,6,24.278,SFO,,CHI,W 25-7,0,0,,0,0,0,,0,1,15,15.00,0,0,0,0,0,0
15,1960,1960-11-27,9,24.306,SFO,@,BAL,W 30-22,0,0,,0,0,0,,0,2,67,33.50,0,0,0,0,0,0
16,1960,1960-12-10,11,24.319,SFO,,GNB,L 0-13,0,0,,0,0,0,,0,3,64,21.33,0,0,0,0,0,0
17,1960,1960-12-18,12,24.327,SFO,,BAL,W 34-10,0,0,,0,0,0,,0,3,202,67.33,1,1,6,0,0,0
18,1961,1961-09-17,1,25.234,BAL,,RAM,W 27-24,0,0,,0,0,0,,0,4,104,26.00,0,0,0,0,0,0
19,1961,1961-09-24,2,25.241,BAL,,DET,L 15-16,0,0,,0,0,0,,0,2,46,23.00,0,0,0,0,0,0
20,1961,1961-10-01,3,25.248,BAL,,MIN,W 34-33,0,0,,0,0,0,,0,1,20,20.00,0,0,0,0,0,0
21,1961,1961-10-08,4,25.255,BAL,@,GNB,L 7-45,0,0,,0,0,0,,0,4,77,19.25,0,0,0,0,0,0
22,1961,1961-10-15,5,25.262,BAL,@,CHI,L 10-24,0,0,,0,0,0,,0,3,67,22.33,0,0,0,0,0,0
23,1961,1961-10-29,7,25.276,BAL,,CHI,L 20-21,0,0,,0,0,0,,0,3,55,18.33,0,0,0,0,0,0
24,1961,1961-11-05,8,25.283,BAL,,GNB,W 45-21,0,0,,0,0,0,,0,3,100,33.33,0,0,0,0,0,0
25,1961,1961-11-12,9,25.290,BAL,@,MIN,L 20-28,0,0,,0,0,0,,0,2,55,27.50,0,0,0,0,0,0
26,1961,1961-11-26,11,25.304,BAL,@,WAS,W 27-6,0,0,,0,0,0,,0,1,26,26.00,0,0,0,0,0,0
27,1961,1961-12-03,12,25.311,BAL,,SFO,W 20-17,0,0,,0,0,0,,0,2,45,22.50,0,0,0,0,0,0
28,1961,1961-12-09,13,25.317,BAL,@,RAM,L 17-34,0,0,,0,0,0,,0,3,77,25.67,0,0,0,0,0,0
29,1963,1963-09-15,1,27.232,BAL,,NYG,L 28-37,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
30,1963,1963-12-08,13,27.316,BAL,,MIN,W 41-10,0,0,,0,0,0,,0,0,0,,0,1,6,1,36,1
31,1964,1964-09-20,2,28.238,BAL,@,GNB,W 21-20,0,0,,0,0,0,,0,0,0,,0,0,0,1,23,0
32,1964,1964-11-29,12,28.308,BAL,@,SFO,W 14-3,0,0,,0,0,0,,0,0,0,,0,0,0,1,17,0
33,1965,1965-12-12,13,29.320,BAL,,GNB,L 27-42,0,0,,0,0,0,,0,0,0,,0,0,0,1,28,0
34,1966,1966-10-16,5,30.263,BAL,,DET,W 45-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,6,0
35,1967,1967-09-24,2,31.241,BAL,@,PHI,W 38-6,0,0,,0,0,0,,0,0,0,,0,0,0,1,1,0
36,1967,1967-10-08,4,31.255,BAL,@,CHI,W 24-3,0,0,,0,0,0,,0,0,0,,0,0,0,1,2,0
37,1967,1967-11-19,10,31.297,BAL,,DET,W 41-7,0,0,,0,0,0,,0,0,0,,0,0,0,1,20,0
38,1967,1967-11-26,11,31.304,BAL,@,SFO,W 26-9,0,0,,0,0,0,,0,0,0,,0,1,6,2,36,1
39,1968,1968-09-15,1,32.233,BAL,,SFO,W 27-10,0,0,,0,0,0,,0,0,0,,0,0,0,1,11,0
40,1968,1968-11-17,10,32.296,BAL,,STL,W 27-0,0,0,,0,0,0,,0,0,0,,0,0,0,2,12,0
41,1968,1968-12-01,12,32.310,BAL,,ATL,W 44-0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
42,1968,1968-12-07,13,32.316,BAL,@,GNB,W 16-3,0,0,,0,0,0,,0,0,0,,0,0,0,1,9,0
