ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1979,1979-09-02,1,22.302,DAL,@,STL,W 22-21,15,30,2.00,0,2,10,5.00,0,1,1,100.00,30,1,0,158.3,0,0,30.00,50.00,0,0,,0,0,0,0,0,,0
2,1979,1979-09-09,2,22.309,DAL,@,SFO,W 21-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,84,28.00,0,0,0,0,0,,0
3,1979,1979-09-16,3,22.316,DAL,,CHI,W 24-20,0,0,,0,3,20,6.67,0,0,0,,0,0,0,,0,0,,,3,83,27.67,0,0,0,0,0,,0
4,1979,1979-09-24,4,22.324,DAL,@,CLE,L 7-26,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,51,17.00,0,0,0,0,0,,0
5,1979,1979-09-30,5,22.330,DAL,,CIN,W 38-13,7,30,4.29,1,0,0,,0,0,0,,0,0,0,,0,0,,,3,50,16.67,0,1,6,0,0,,0
6,1979,1979-10-07,6,22.337,DAL,@,MIN,W 36-20,2,19,9.50,0,2,4,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
7,1979,1979-10-14,7,22.344,DAL,,RAM,W 30-6,6,10,1.67,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,70,70.00,0,0,0,0,0,,0
8,1979,1979-10-21,8,22.351,DAL,,STL,W 22-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,0,0,0,0,,0
9,1979,1979-10-28,9,22.358,DAL,@,PIT,L 3-14,0,0,,0,3,44,14.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
10,1979,1979-11-04,10,23.000,DAL,@,NYG,W 16-14,0,0,,0,3,32,10.67,0,0,0,,0,0,0,,0,0,,,2,26,13.00,0,0,0,0,0,,0
11,1979,1979-11-12,11,23.008,DAL,,PHI,L 21-31,1,6,6.00,0,2,22,11.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,4,78,19.50,0,0,0,0,0,,0
12,1979,1979-11-18,12,23.014,DAL,@,WAS,L 20-34,2,6,3.00,0,2,18,9.00,0,0,0,,0,0,0,,0,0,,,6,119,19.83,0,0,0,0,0,,0
13,1979,1979-11-22,13,23.018,DAL,,HOU,L 24-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,64,21.33,0,0,0,0,0,,0
14,1979,1979-12-02,14,23.028,DAL,,NYG,W 28-7,2,6,3.00,0,1,27,27.00,0,0,0,,0,0,0,,0,0,,,2,45,22.50,0,0,0,0,0,,0
15,1979,1979-12-08,15,23.034,DAL,@,PHI,W 24-17,12,62,5.17,0,1,16,16.00,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,0,0,0,0,,0
16,1979,1979-12-16,16,23.042,DAL,,WAS,W 35-34,20,79,3.95,1,6,58,9.67,1,0,0,,0,0,0,,0,0,,,6,71,11.83,0,2,12,0,0,,0
17,1980,1980-09-08,1,23.309,DAL,@,WAS,W 17-3,14,50,3.57,1,2,29,14.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
18,1980,1980-09-14,2,23.315,DAL,@,DEN,L 20-41,10,36,3.60,0,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
19,1980,1980-09-21,3,23.322,DAL,,TAM,W 28-17,2,7,3.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
20,1980,1980-10-05,5,23.336,DAL,,NYG,W 24-3,11,44,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
21,1980,1980-10-12,6,23.343,DAL,,SFO,W 59-14,18,81,4.50,2,2,17,8.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0,0,,0
22,1980,1980-10-19,7,23.350,DAL,@,PHI,L 10-17,7,7,1.00,0,2,27,13.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
23,1980,1980-10-26,8,23.357,DAL,,SDG,W 42-31,13,61,4.69,1,2,16,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
24,1980,1980-11-02,9,23.364,DAL,@,STL,W 27-24,3,6,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
25,1980,1980-11-09,10,24.005,DAL,@,NYG,L 35-38,0,0,,0,1,58,58.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
26,1980,1980-11-16,11,24.012,DAL,,STL,W 31-21,0,0,,0,2,26,13.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
27,1980,1980-11-23,12,24.019,DAL,,WAS,W 14-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1980,1980-11-27,13,24.023,DAL,,SEA,W 51-7,3,11,3.67,1,1,14,14.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
29,1980,1980-12-07,14,24.033,DAL,@,OAK,W 19-13,5,14,2.80,1,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
30,1980,1980-12-15,15,24.041,DAL,@,RAM,L 14-38,1,1,1.00,0,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
31,1980,1980-12-21,16,24.047,DAL,,PHI,W 35-27,2,8,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
32,1981,1981-09-06,1,24.306,DAL,@,WAS,W 26-10,15,58,3.87,0,2,3,1.50,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,0,,0
33,1981,1981-09-13,2,24.313,DAL,,STL,W 30-17,15,45,3.00,3,4,23,5.75,0,0,0,,0,0,0,,0,,,,0,0,,0,3,18,0,0,,0
34,1981,1981-09-21,3,24.321,DAL,@,NWE,W 35-21,14,62,4.43,0,11,72,6.55,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,0,,0
35,1981,1981-09-27,4,24.327,DAL,,NYG,W 18-10,10,17,1.70,0,2,2,1.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,0,,0
36,1981,1981-10-04,5,24.334,DAL,@,STL,L 17-20,10,39,3.90,0,1,6,6.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,0,,0
37,1981,1981-10-11,6,24.341,DAL,@,SFO,L 14-45,5,14,2.80,0,3,9,3.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,0,,0
38,1981,1981-10-18,7,24.348,DAL,,RAM,W 29-17,12,41,3.42,1,1,5,5.00,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0,0,,0
