ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring
1,2010,2010-10-03,4,24.273,TEN,,DEN,L 20-26,,,,
2,2010,2010-10-10,5,24.280,TEN,@,DAL,W 34-27,,,,
3,2010,2010-10-18,6,24.288,TEN,@,JAX,W 30-3,,,0,0
4,2010,2010-10-24,7,24.294,TEN,,PHI,W 37-19,,,,
5,2010,2010-10-31,8,24.301,TEN,@,SDG,L 25-33,,1,0,2
6,2010,2010-11-14,9,24.315,TEN,@,MIA,L 17-29,,,0,0
7,2010,2010-11-21,10,24.322,TEN,,WAS,L 16-19,,,,
8,2010,2010-11-28,11,24.329,TEN,@,HOU,L 0-20,,,,
9,2010,2010-12-05,12,24.336,TEN,,JAX,L 6-17,,,,
10,2010,2010-12-09,13,24.340,TEN,,IND,L 28-30,,,0,0
11,2010,2010-12-19,14,24.350,TEN,,HOU,W 31-17,,,,
12,2010,2010-12-26,15,24.357,TEN,@,KAN,L 14-34,,,,
13,2010,2011-01-02,16,24.364,TEN,@,IND,L 20-23,,,,
