ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1967,1967-10-22,6,23.076,PIT,,DAL,L 21-24,1,16,16.00,0,0,0,,0
2,1967,1967-12-17,14,23.132,PIT,@,GNB,W 24-17,0,0,,0,1,2,2.00,0
