ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1999,1999-11-07,9,21.212,BUF,@,WAS,W 34-17,,,,,,,,,
2,1999,1999-11-14,10,21.219,BUF,,MIA,W 23-3,,5,15,3.00,0,0,0,,0
3,1999,1999-11-21,11,21.226,BUF,@,NYJ,L 7-17,,,,,,,,,
4,1999,1999-11-28,12,21.233,BUF,,NWE,W 17-7,,3,18,6.00,0,0,0,,0
5,1999,1999-12-12,13,21.247,BUF,,NYG,L 17-19,,,,,,,,,
6,1999,1999-12-19,14,21.254,BUF,@,ARI,W 31-21,,,,,,,,,
7,1999,1999-12-26,15,21.261,BUF,@,NWE,W 13-10,,0,0,,0,1,11,11.00,0
8,1999,2000-01-02,16,21.268,BUF,,IND,W 31-6,,3,5,1.67,0,0,0,,0
9,2000,2000-10-01,4,22.175,IND,@,BUF,W 18-16,,,,,,,,,
10,2000,2000-10-22,7,22.196,IND,,NWE,W 30-23,,,,,,,,,
11,2000,2000-10-29,8,22.203,IND,,DET,W 30-18,,,,,,,,,
12,2000,2000-11-05,9,22.210,IND,@,CHI,L 24-27,,,,,,,,,
13,2000,2000-11-12,10,22.217,IND,,NYJ,W 23-15,,,,,,,,,
14,2000,2000-11-19,11,22.224,IND,@,GNB,L 24-26,,,,,,,,,
15,2000,2000-12-11,14,22.246,IND,,BUF,W 44-20,,2,12,6.00,0,0,0,,0
16,2000,2000-12-17,15,22.252,IND,@,MIA,W 20-13,,,,,,,,,
17,2000,2000-12-24,16,22.259,IND,,MIN,W 31-10,,2,1,0.50,0,0,0,,0
