ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1973,1973-10-07,4,22.239,CIN,@,CLE,L 10-17,,,,,,,,,,,,
2,1973,1973-10-28,7,22.260,CIN,@,PIT,L 13-20,,,,,,,,,,,,
3,1973,1973-11-04,8,22.267,CIN,@,DAL,L 10-38,,,,,,,,,,,,
4,1973,1973-11-11,9,22.274,CIN,@,BUF,W 16-13,,,,,,,,,,,,
5,1973,1973-11-18,10,22.281,CIN,,NYJ,W 20-14,,,,,,,,,,,,
6,1973,1973-11-25,11,22.288,CIN,,STL,W 42-24,,,,,,,,,,,,
7,1973,1973-12-02,12,22.295,CIN,,MIN,W 27-0,,,,,,,,,,,,
8,1973,1973-12-09,13,22.302,CIN,,CLE,W 34-17,,,,,,,,,,,,
9,1973,1973-12-16,14,22.309,CIN,@,HOU,W 27-24,,,,,,,,,,,,
10,1974,1974-09-15,1,23.217,CIN,,CLE,W 33-7,,,,,,,,,,,,
11,1974,1974-09-22,2,23.224,CIN,,SDG,L 17-20,,,,,,,,,,,,
12,1974,1974-09-29,3,23.231,CIN,@,SFO,W 21-3,,,,,,,,,,,,
13,1974,1974-10-06,4,23.238,CIN,,WAS,W 28-17,,,,,,,,,,,,
14,1974,1974-10-13,5,23.245,CIN,@,CLE,W 34-24,,,,,,,,,,,,
15,1974,1974-10-20,6,23.252,CIN,@,OAK,L 27-30,,,,,,,,,,,,
16,1974,1974-10-27,7,23.259,CIN,,HOU,L 21-34,,,,,,,,,,,,
17,1974,1974-11-03,8,23.266,CIN,@,BAL,W 24-14,,,,,,,,,,,,
18,1974,1974-11-10,9,23.273,CIN,,PIT,W 17-10,,,,,,,,,,,,
19,1974,1974-11-17,10,23.280,CIN,@,HOU,L 3-20,,,,,,,,,,,,
20,1974,1974-11-24,11,23.287,CIN,,KAN,W 33-6,,,,,,,,,,,,
21,1974,1974-12-02,12,23.295,CIN,@,MIA,L 3-24,,,,,,,,,,,,
22,1974,1974-12-08,13,23.301,CIN,,DET,L 19-23,,,,,,,,,,,,
23,1974,1974-12-14,14,23.307,CIN,@,PIT,L 3-27,,,,,,,,,,,,
24,1975,1975-09-21,1,24.223,ATL,@,STL,L 20-23,,,,,,,,,,,,
25,1975,1975-09-28,2,24.230,ATL,,DET,L 14-17,,,,,,,,,,,,
26,1975,1975-10-05,3,24.237,ATL,,NOR,W 14-7,,,,,,,,,,,,
27,1975,1975-10-12,4,24.244,ATL,@,SFO,W 17-3,,,,,,,,,,,,
28,1975,1975-10-19,5,24.251,ATL,@,RAM,L 7-22,,,,,,,,,,,,
29,1975,1975-10-26,6,24.258,ATL,,CIN,L 14-21,,,,,,,,,,,,
30,1975,1975-11-02,7,24.265,ATL,@,NOR,L 7-23,,,,,,,,,,,,
31,1975,1975-11-09,8,24.272,ATL,@,MIN,L 0-38,,,,,,,,,,,,
32,1975,1975-11-16,9,24.279,ATL,,RAM,L 7-16,,,,,,,,,,,,
33,1975,1975-11-23,10,24.286,ATL,,DEN,W 35-21,,,,,,,,,,,,
34,1975,1975-11-30,11,24.293,ATL,@,OAK,L 34-37,,,,,,,,,,,,
35,1975,1975-12-07,12,24.300,ATL,,WAS,L 27-30,,,,,,,,,,,,
36,1975,1975-12-14,13,24.307,ATL,,SFO,W 31-9,1,25,25.00,0,0,0,,0,0,0,,0
37,1975,1975-12-21,14,24.314,ATL,@,GNB,L 13-22,,,,,,,,,,,,
38,1976,1976-09-12,1,25.215,ATL,,RAM,L 14-30,,,,,,,,,,,,
39,1976,1976-09-19,2,25.222,ATL,@,DET,L 10-24,,,,,,,,,,,,
40,1976,1976-09-26,3,25.229,ATL,@,CHI,W 10-0,,,,,,,,,,,,
41,1976,1976-10-03,4,25.236,ATL,,PHI,L 13-14,,,,,,,,,,,,
42,1976,1976-10-10,5,25.243,ATL,@,NOR,L 0-30,,,,,,,,,,,,
43,1976,1976-10-17,6,25.250,ATL,,CLE,L 17-20,,,,,,,,,,,,
44,1976,1976-10-23,7,25.256,ATL,@,SFO,L 0-15,,,,,,,,,,,,
45,1976,1976-10-31,8,25.264,ATL,,NOR,W 23-20,,,,,,,,,,,,
46,1976,1976-11-07,9,25.271,ATL,@,SEA,L 13-30,,,,,,,,,,,,
47,1976,1976-11-14,10,25.278,ATL,,SFO,W 21-16,,,,,,,,,,,,
48,1976,1976-11-21,11,25.285,ATL,,DAL,W 17-10,,,,,,,,,,,,
49,1976,1976-11-28,12,25.292,ATL,@,HOU,L 14-20,0,0,,0,0,0,,0,1,-1,-1.00,0
50,1976,1976-12-04,13,25.298,ATL,@,RAM,L 0-59,,,,,,,,,,,,
51,1976,1976-12-12,14,25.306,ATL,,GNB,L 20-24,0,0,,0,1,22,22.00,0,0,0,,0
