ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,24.143,NWE,@,BUF,W 23-21,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,1,0
2,2013,2013-09-22,3,24.157,NWE,,TAM,W 23-3,,2,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
3,2013,2013-09-29,4,24.164,NWE,@,ATL,W 30-23,,,,,,,0.0%,,,,,,,,
4,2013,2013-10-13,6,24.178,NYJ,,PIT,L 6-19,,,,,,,0.0%,,,,,,,,
5,2013,2013-10-20,7,24.185,NYJ,,NWE,W 30-27,,,,,,,0.0%,,,,,,,,
6,2013,2013-10-27,8,24.192,NYJ,@,CIN,L 9-49,*,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0.0,0,0
7,2013,2013-11-03,9,24.199,NYJ,,NOR,W 26-20,*,4,2,46,23.00,0,50.0%,11.50,0,0,,0,0.0,0,0
8,2013,2013-11-17,10,24.213,NYJ,@,BUF,L 14-37,,,,,,,0.0%,,,,,,,,
9,2013,2013-11-24,11,24.220,NYJ,@,BAL,L 3-19,,,,,,,0.0%,,,,,,,,
10,2013,2013-12-01,12,24.227,NYJ,,MIA,L 3-23,,,,,,,0.0%,,,,,,,,
11,2013,2013-12-08,13,24.234,NYJ,,OAK,W 37-27,,,,,,,0.0%,,,,,,,,
12,2013,2013-12-15,14,24.241,NYJ,@,CAR,L 20-30,,,,,,,0.0%,,,,,,,,
13,2013,2013-12-22,15,24.248,NYJ,,CLE,W 24-13,,,,,,,0.0%,,,,,,,,
14,2013,2013-12-29,16,24.255,NYJ,@,MIA,W 20-7,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0.0,0,0
15,2014,2014-09-07,1,25.142,NYJ,,OAK,W 19-14,,,0,0,,0,0.0%,,0,0,,0,0.0,0,1
16,2014,2014-09-14,2,25.149,NYJ,@,GNB,L 24-31,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,2,1
17,2014,2014-09-22,3,25.157,NYJ,,CHI,L 19-27,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0.0,0,0
18,2014,2014-09-28,4,25.163,NYJ,,DET,L 17-24,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
19,2014,2014-10-05,5,25.170,NYJ,@,SDG,L 0-31,*,,,,,,0.0%,,,,,,,,
20,2014,2014-10-12,6,25.177,NYJ,,DEN,L 17-31,,,0,0,,0,0.0%,,0,0,,0,0.0,0,1
21,2014,2014-10-16,7,25.181,NYJ,@,NWE,L 25-27,,,,,,,0.0%,,,,,,,,
22,2014,2014-10-26,8,25.191,NYJ,,BUF,L 23-43,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1
23,2014,2014-11-02,9,25.198,NYJ,@,KAN,L 10-24,,0,0,0,,0,0.0%,,1,9,9.00,0,0.0,0,0
24,2014,2014-11-09,10,25.205,NYJ,,PIT,W 20-13,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,1
25,2014,2014-11-24,11,25.220,NYJ,@,BUF,L 3-38,,,,,,,0.0%,,,,,,,,
26,2014,2014-12-01,12,25.227,NYJ,,MIA,L 13-16,,1,1,20,20.00,0,100.0%,20.00,0,0,,0,0.0,1,0
27,2014,2014-12-07,13,25.233,NYJ,@,MIN,L 24-30,*,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0
28,2014,2014-12-14,14,25.240,NYJ,@,TEN,W 16-11,*,0,0,0,,0,0.0%,,0,0,,0,0.0,2,0
29,2014,2014-12-21,15,25.247,NYJ,,NWE,L 16-17,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0.0,2,0
30,2014,2014-12-28,16,25.254,NYJ,@,MIA,W 37-24,,2,2,44,22.00,0,100.0%,22.00,0,0,,0,0.0,1,0
