ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1976,1976-09-12,1,25.300,RAM,@,ATL,W 30-14,0,0,,0,7,307,43.86,0
2,1976,1976-09-19,2,25.307,RAM,@,MIN,T 10-10,0,0,,0,5,206,41.20,0
3,1976,1976-09-26,3,25.314,RAM,,NYG,W 24-10,0,0,,0,7,258,36.86,0
4,1976,1976-10-03,4,25.321,RAM,@,MIA,W 31-28,0,0,,0,2,79,39.50,0
5,1976,1976-10-11,5,25.329,RAM,,SFO,L 0-16,0,0,,0,6,252,42.00,0
6,1976,1976-10-17,6,25.335,RAM,,CHI,W 20-12,0,0,,0,5,164,32.80,1
7,1976,1976-10-24,7,25.342,RAM,@,NOR,W 16-10,0,0,,0,8,330,41.25,0
8,1976,1976-10-31,8,25.349,RAM,,SEA,W 45-6,0,0,,0,4,133,33.25,0
9,1976,1976-11-08,9,25.357,RAM,@,CIN,L 12-20,0,0,,0,6,226,37.67,0
10,1976,1976-11-14,10,25.363,RAM,,STL,L 28-30,0,0,,0,4,176,44.00,1
11,1976,1976-11-21,11,26.004,RAM,@,SFO,W 23-3,0,0,,0,12,433,36.08,0
12,1976,1976-11-28,12,26.011,RAM,,NOR,W 33-14,0,0,,0,4,152,38.00,0
13,1976,1976-12-04,13,26.017,RAM,,ATL,W 59-0,0,0,,0,2,76,38.00,0
14,1976,1976-12-11,14,26.024,RAM,@,DET,W 20-17,0,0,,0,5,214,42.80,0
15,1978,1978-09-03,1,27.290,BUF,,PIT,L 17-28,0,0,,0,6,258,43.00,0
16,1978,1978-09-10,2,27.297,BUF,,NYJ,L 20-21,0,0,,0,9,329,36.56,0
17,1978,1978-09-17,3,27.304,BUF,@,MIA,L 24-31,0,0,,0,6,206,34.33,0
18,1978,1978-09-24,4,27.311,BUF,,BAL,W 24-17,0,0,,0,7,279,39.86,1
19,1978,1978-10-01,5,27.318,BUF,,KAN,W 28-13,0,0,,0,5,208,41.60,0
20,1978,1978-10-08,6,27.325,BUF,@,NYJ,L 14-45,0,0,,0,4,145,36.25,1
21,1978,1978-10-15,7,27.332,BUF,@,HOU,L 10-17,0,0,,0,6,257,42.83,0
22,1978,1978-10-22,8,27.339,BUF,,CIN,W 5-0,0,0,,0,10,447,44.70,0
23,1978,1978-10-29,9,27.346,BUF,@,CLE,L 20-41,0,0,,0,4,175,43.75,0
24,1978,1978-11-05,10,27.353,BUF,,NWE,L 10-14,0,0,,0,4,178,44.50,0
25,1978,1978-11-12,11,27.360,BUF,,MIA,L 24-25,0,0,,0,5,158,31.60,0
26,1978,1978-11-19,12,28.002,BUF,@,TAM,L 10-31,0,0,,0,5,207,41.40,0
27,1978,1978-11-26,13,28.009,BUF,,NYG,W 41-17,0,0,,0,3,114,38.00,0
28,1978,1978-12-03,14,28.016,BUF,@,KAN,L 10-14,0,0,,0,2,49,24.50,0
29,1978,1978-12-10,15,28.023,BUF,@,NWE,L 24-26,1,-13,-13.00,0,4,129,32.25,0
30,1978,1978-12-17,16,28.030,BUF,@,BAL,W 21-14,0,0,,0,7,234,33.43,0
31,1979,1979-09-02,1,28.289,BUF,,MIA,L 7-9,0,0,,0,6,238,39.67,0
32,1979,1979-09-09,2,28.296,BUF,,CIN,W 51-24,0,0,,0,4,133,33.25,0
33,1979,1979-09-16,3,28.303,BUF,@,SDG,L 19-27,0,0,,0,7,336,48.00,0
34,1979,1979-09-23,4,28.310,BUF,,NYJ,W 46-31,0,0,,0,3,104,34.67,0
35,1979,1979-09-30,5,28.317,BUF,@,BAL,W 31-13,0,0,,0,6,225,37.50,0
36,1979,1979-10-07,6,28.324,BUF,,CHI,L 0-7,0,0,,0,9,309,34.33,0
37,1979,1979-10-14,7,28.331,BUF,@,MIA,L 7-17,0,0,,0,5,170,34.00,0
38,1979,1979-10-21,8,28.338,BUF,,BAL,L 13-14,0,0,,0,5,186,37.20,0
39,1979,1979-10-28,9,28.345,BUF,@,DET,W 20-17,0,0,,0,3,130,43.33,0
40,1979,1979-11-04,10,28.352,BUF,,NWE,L 6-26,0,0,,0,6,226,37.67,0
41,1979,1979-11-11,11,28.359,BUF,@,NYJ,W 14-12,0,0,,0,6,201,33.50,0
42,1979,1979-11-18,12,29.001,BUF,,GNB,W 19-12,0,0,,0,3,133,44.33,0
43,1979,1979-11-25,13,29.008,BUF,@,NWE,W 16-13,0,0,,0,8,343,42.88,0
44,1979,1979-12-02,14,29.015,BUF,,DEN,L 16-19,0,0,,0,5,158,31.60,0
45,1979,1979-12-09,15,29.022,BUF,@,MIN,L 3-10,0,0,,0,10,377,37.70,0
46,1979,1979-12-16,16,29.029,BUF,@,PIT,L 0-28,0,0,,0,10,402,40.20,0
