ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1976,1976-09-19,2,22.298,NYG,@,PHI,L 7-20,,,,,,,,,,,,,,
2,1976,1976-09-26,3,22.305,NYG,@,RAM,L 10-24,,,,,,,,,,,,,,
3,1976,1976-10-03,4,22.312,NYG,@,STL,L 21-27,,,,,,,,,,,,,,
4,1976,1976-10-10,5,22.319,NYG,,DAL,L 14-24,,,,,,,,,,,,,,
5,1976,1976-10-17,6,22.326,NYG,@,MIN,L 7-24,0,0,,0,1,5,5.00,0,0,0,0.0,0,0,0
6,1976,1976-10-24,7,22.333,NYG,,PIT,L 0-27,,,,,,,,,,,,,,
7,1976,1976-10-31,8,22.340,NYG,,PHI,L 0-10,,,,,,,,,,,,,,
8,1976,1976-11-07,9,22.347,NYG,@,DAL,L 3-9,,,,,,,,,,,,,,
9,1976,1976-11-14,10,22.354,NYG,,WAS,W 12-9,,,,,,,,,,,,,,
10,1976,1976-11-21,11,22.361,NYG,@,DEN,L 13-14,,,,,,,,,,,,,,
11,1976,1976-11-28,12,23.002,NYG,,SEA,W 28-16,,,,,,,,,,,,,,
12,1976,1976-12-05,13,23.009,NYG,,DET,W 24-10,,,,,,,,,,,,,,
13,1977,1977-09-18,1,23.296,NYG,,WAS,W 20-17,,,,,,,,,,,,,,
14,1977,1977-09-25,2,23.303,NYG,@,DAL,L 21-41,,,,,,,,,,,,,,
15,1977,1977-10-02,3,23.310,NYG,@,ATL,L 3-17,,,,,,,,,,,,,,
16,1977,1977-10-09,4,23.317,NYG,,PHI,L 10-28,,,,,,,,,,,,,,
17,1977,1977-10-16,5,23.324,NYG,,SFO,W 20-17,,,,,,,,,,,,,,
18,1977,1977-10-23,6,23.331,NYG,@,WAS,W 17-6,,,,,,,,,,,,,,
19,1977,1977-10-31,7,23.339,NYG,@,STL,L 0-28,,,,,,,,,,,,,,
20,1977,1977-11-06,8,23.345,NYG,,DAL,L 10-24,,,,,,,,,,,,,,
21,1977,1977-11-13,9,23.352,NYG,@,TAM,W 10-0,,,,,,,,,,,,,,
22,1977,1977-11-20,10,23.359,NYG,,CLE,L 7-21,,,,,,,,,,,,,,
23,1977,1977-11-27,11,24.001,NYG,@,CIN,L 13-30,,,,,,,,,,,,,,
24,1977,1977-12-04,12,24.008,NYG,,STL,W 27-7,,,,,,,,,,,,,,
25,1977,1977-12-11,13,24.015,NYG,@,PHI,L 14-17,,,,,,,,,,,,,,
26,1977,1977-12-18,14,24.022,NYG,,CHI,L 9-12,,,,,,,,,,,,,,
27,1978,1978-09-02,1,24.280,NYG,@,TAM,W 19-13,0,0,,0,0,0,,0,0,0,0.0,1,14,0
28,1978,1978-09-10,2,24.288,NYG,,DAL,L 24-34,,,,,,,,,,,,,,
29,1978,1978-09-17,3,24.295,NYG,,KAN,W 26-10,,,,,,,,,,,,,,
30,1978,1978-09-24,4,24.302,NYG,,SFO,W 27-10,,,,,,,,,,,,,,
31,1978,1978-10-01,5,24.309,NYG,@,ATL,L 20-23,,,,,,,,,,,,,,
32,1978,1978-10-08,6,24.316,NYG,@,DAL,L 3-24,,,,,,,,,,,,,,
33,1978,1978-10-15,7,24.323,NYG,,TAM,W 17-14,0,0,,0,0,0,,0,0,0,0.0,1,30,0
34,1978,1978-10-22,8,24.330,NYG,,WAS,W 17-6,0,0,,0,0,0,,0,0,0,0.0,1,42,0
35,1978,1978-10-29,9,24.337,NYG,@,NOR,L 17-28,,,,,,,,,,,,,,
36,1978,1978-11-05,10,24.344,NYG,@,STL,L 10-20,,,,,,,,,,,,,,
37,1978,1978-11-12,11,24.351,NYG,@,WAS,L 13-16,,,,,,,,,,,,,,
38,1978,1978-11-19,12,24.358,NYG,,PHI,L 17-19,,,,,,,,,,,,,,
39,1978,1978-11-26,13,25.000,NYG,@,BUF,L 17-41,,,,,,,,,,,,,,
40,1978,1978-12-03,14,25.007,NYG,,RAM,L 17-20,,,,,,,,,,,,,,
41,1978,1978-12-10,15,25.014,NYG,,STL,W 17-0,,,,,,,,,,,,,,
42,1978,1978-12-17,16,25.021,NYG,@,PHI,L 3-20,,,,,,,,,,,,,,
43,1979,1979-09-02,1,25.280,NYG,@,PHI,L 17-23,,,,,,,,,,,,,,
44,1979,1979-09-09,2,25.287,NYG,,STL,L 14-27,,,,,,,,,,,,,,
45,1979,1979-09-17,3,25.295,NYG,@,WAS,L 0-27,,,,,,,,,,,,,,
46,1979,1979-09-23,4,25.301,NYG,,PHI,L 13-17,,,,,,,,,,,,,,
47,1979,1979-09-30,5,25.308,NYG,@,NOR,L 14-24,0,0,,0,0,0,,0,0,0,0.0,1,13,0
48,1979,1979-10-07,6,25.315,NYG,,TAM,W 17-14,,,,,,,,,,,,,,
49,1979,1979-10-14,7,25.322,NYG,,SFO,W 32-16,,,,,,,,,,,,,,
50,1979,1979-10-21,8,25.329,NYG,@,KAN,W 21-17,0,0,,0,0,0,,0,0,0,0.0,1,1,0
51,1979,1979-10-28,9,25.336,NYG,@,RAM,W 20-14,0,0,,0,0,0,,0,0,0,0.0,1,14,0
52,1979,1979-11-04,10,25.343,NYG,,DAL,L 14-16,,,,,,,,,,,,,,
53,1979,1979-11-11,11,25.350,NYG,,ATL,W 24-3,,,,,,,,,,,,,,
54,1979,1979-11-18,12,25.357,NYG,@,TAM,L 3-31,,,,,,,,,,,,,,
55,1979,1979-11-25,13,25.364,NYG,,WAS,W 14-6,,,,,,,,,,,,,,
56,1979,1979-12-02,14,26.006,NYG,@,DAL,L 7-28,,,,,,,,,,,,,,
57,1979,1979-12-09,15,26.013,NYG,@,STL,L 20-29,,,,,,,,,,,,,,
58,1979,1979-12-16,16,26.020,NYG,,BAL,L 7-31,,,,,,,,,,,,,,
59,1980,1980-09-07,1,26.286,NYG,@,STL,W 41-35,,,,,,,,,,,,,,
60,1980,1980-09-14,2,26.293,NYG,,WAS,L 21-23,,,,,,,,,,,,,,
61,1980,1980-09-22,3,26.301,NYG,@,PHI,L 3-35,,,,,,,,,,,,,,
62,1980,1980-09-28,4,26.307,NYG,,RAM,L 7-28,,,,,,,,,,,,,,
63,1980,1980-10-05,5,26.314,NYG,@,DAL,L 3-24,,,,,,,,,,,,,,
64,1980,1980-10-12,6,26.321,NYG,,PHI,L 16-31,,,,,,,,,,,,,,
65,1980,1980-11-16,11,26.356,NYG,,GNB,W 27-21,,,,,,,,,,,,,,
66,1980,1980-11-23,12,26.363,NYG,@,SFO,L 0-12,,,,,,,,,,,,,,
67,1981,1981-09-06,1,27.284,NYG,,PHI,L 10-24,,,,,,,,,,,,,,
68,1981,1981-09-13,2,27.291,NYG,@,WAS,W 17-7,,,,,,,,,,,,,,
69,1981,1981-09-20,3,27.298,NYG,,NOR,W 20-7,,,,,,,,,,,,,,
70,1981,1981-09-27,4,27.305,NYG,@,DAL,L 10-18,,,,,,,,,,,,,,
71,1981,1981-10-04,5,27.312,NYG,,GNB,L 14-27,,,,,,,,,,,,,,
72,1981,1981-10-11,6,27.319,NYG,,STL,W 34-14,,,,,,,,,,,,,,
73,1981,1981-10-18,7,27.326,NYG,@,SEA,W 32-0,,,,,,,,,,,,,,
74,1981,1981-10-25,8,27.333,NYG,@,ATL,W 27-24,,,,,,,,,,,,,,
75,1981,1981-11-01,9,27.340,NYG,,NYJ,L 7-26,,,,,,,,,,,,,,
76,1981,1981-11-08,10,27.347,NYG,@,GNB,L 24-26,,,,,,,,,,,,,,
77,1981,1981-11-15,11,27.354,NYG,,WAS,L 27-30,,,,,,,,,,,,,,
78,1981,1981-11-22,12,27.361,NYG,@,PHI,W 20-10,,,,,,,,,,,,,,
79,1981,1981-11-29,13,28.003,NYG,@,SFO,L 10-17,,,,,,,,,,,,,,
80,1981,1981-12-06,14,28.010,NYG,,RAM,W 10-7,,,,,,,,,,,,,,
81,1981,1981-12-13,15,28.017,NYG,@,STL,W 20-10,,,,,,,,,,,,,,
82,1981,1981-12-19,16,28.023,NYG,,DAL,W 13-10,,,,,,,,,,,,,,
83,1982,1982-09-12,1,28.290,NYG,,ATL,L 14-16,0,0,,0,0,0,,0,0,0,1.0,0,0,0
84,1982,1982-09-20,2,28.298,NYG,,GNB,L 19-27,0,0,,0,0,0,,0,0,0,1.0,0,0,0
85,1982,1982-11-21,3,28.360,NYG,,WAS,L 17-27,,,,,,,,,,,,,,
86,1982,1982-11-25,4,28.364,NYG,@,DET,W 13-6,0,0,,0,0,0,,0,0,0,0.0,1,6,0
87,1982,1982-12-05,5,29.009,NYG,,HOU,W 17-14,0,0,,0,0,0,,0,0,0,1.0,0,0,0
88,1982,1982-12-11,6,29.015,NYG,,PHI,W 23-7,,,,,,,,,,,,,,
89,1982,1982-12-19,7,29.023,NYG,@,WAS,L 14-15,,,,,,,,,,,,,,
90,1982,1982-12-26,8,29.030,NYG,@,STL,L 21-24,,,,,,,,,,,,,,
91,1982,1983-01-02,9,29.037,NYG,@,PHI,W 26-24,,,,,,,,,,,,,,
92,1983,1983-09-11,2,29.289,NYG,@,ATL,W 16-13,,,,,,,,,,,,,,
93,1983,1983-09-18,3,29.296,NYG,@,DAL,L 13-28,,,,,,,,,,,,,,
94,1983,1983-10-30,9,29.338,NYG,,DAL,L 20-38,,,,,,,,,,,,,,
95,1983,1983-11-07,10,29.346,NYG,@,DET,L 9-15,,,,,,,,,,,,,,
96,1983,1983-11-13,11,29.352,NYG,,WAS,L 17-33,,,,,,,,,,,,,,
97,1983,1983-11-20,12,29.359,NYG,@,PHI,W 23-0,0,0,,0,0,0,,0,0,0,1.0,0,0,0
98,1983,1983-11-27,13,30.001,NYG,@,RAI,L 12-27,,,,,,,,,,,,,,
99,1983,1983-12-04,14,30.008,NYG,,STL,L 6-10,,,,,,,,,,,,,,
100,1983,1983-12-11,15,30.015,NYG,,SEA,L 12-17,,,,,,,,,,,,,,
101,1983,1983-12-17,16,30.021,NYG,@,WAS,L 22-31,,,,,,,,,,,,,,
102,1984,1984-09-02,1,30.281,NYG,,PHI,W 28-27,,,,,,,,,,,,,,
103,1984,1984-09-09,2,30.288,NYG,,DAL,W 28-7,,,,,,,,,,,,,,
104,1984,1984-09-16,3,30.295,NYG,@,WAS,L 14-30,,,,,,,,,,,,,,
105,1984,1984-09-23,4,30.302,NYG,,TAM,W 17-14,,,,,,,,,,,,,,
106,1984,1984-09-30,5,30.309,NYG,@,RAM,L 12-33,,,,,,,,,,,,,,
107,1984,1984-10-08,6,30.317,NYG,,SFO,L 10-31,,,,,,,,,,,,,,
108,1984,1984-10-14,7,30.323,NYG,@,ATL,W 19-7,,,,,,,,,,,,,,
109,1984,1984-10-21,8,30.330,NYG,@,PHI,L 10-24,,,,,,,,,,,,,,
110,1984,1984-10-28,9,30.337,NYG,,WAS,W 37-13,,,,,,,,,,,,,,
111,1984,1984-11-04,10,30.344,NYG,@,DAL,W 19-7,,,,,,,,,,,,,,
112,1984,1984-11-11,11,30.351,NYG,@,TAM,L 17-20,0,0,,0,0,0,,0,0,0,0.0,1,6,0
113,1984,1984-11-18,12,30.358,NYG,,STL,W 16-10,,,,,,,,,,,,,,
114,1984,1984-11-25,13,30.365,NYG,,KAN,W 28-27,,,,,,,,,,,,,,
115,1984,1984-12-02,14,31.006,NYG,@,NYJ,W 20-10,,,,,,,,,,,,,,
116,1984,1984-12-09,15,31.013,NYG,@,STL,L 21-31,,,,,,,,,,,,,,
117,1984,1984-12-15,16,31.019,NYG,,NOR,L 3-10,,,,,,,,,,,,,,
118,1985,1985-09-08,1,31.286,NYG,,PHI,W 21-0,,,,,,,,,,,,,,
119,1985,1985-09-15,2,31.293,NYG,@,GNB,L 20-23,,,,,,,,,,,,,,
120,1985,1985-09-22,3,31.300,NYG,,STL,W 27-17,,,,,,,,,,,,,,
121,1985,1985-09-29,4,31.307,NYG,@,PHI,W 16-10,0,0,,0,0,0,,0,0,0,1.0,0,0,0
122,1985,1985-10-06,5,31.314,NYG,,DAL,L 29-30,,,,,,,,,,,,,,
123,1985,1985-10-13,6,31.321,NYG,@,CIN,L 30-35,,,,,,,,,,,,,,
124,1985,1985-10-20,7,31.328,NYG,,WAS,W 17-3,,,,,,,,,,,,,,
125,1985,1985-10-27,8,31.335,NYG,@,NOR,W 21-13,,,,,,,,,,,,,,
126,1985,1985-11-03,9,31.342,NYG,,TAM,W 22-20,,,,,,,,,,,,,,
127,1985,1985-11-10,10,31.349,NYG,,RAM,W 24-19,,,,,,,,,,,,,,
128,1985,1985-11-18,11,31.357,NYG,@,WAS,L 21-23,,,,,,,,,,,,,,
129,1985,1985-11-24,12,31.363,NYG,@,STL,W 34-3,,,,,,,,,,,,,,
130,1985,1985-12-01,13,32.005,NYG,,CLE,L 33-35,,,,,,,,,,,,,,
131,1985,1985-12-08,14,32.012,NYG,@,HOU,W 35-14,,,,,,,,,,,,,,
132,1985,1985-12-15,15,32.019,NYG,@,DAL,L 21-28,,,,,,,,,,,,,,
133,1985,1985-12-21,16,32.025,NYG,,PIT,W 28-10,,,,,,,,,,,,,,
134,1986,1986-09-08,1,32.286,NYG,@,DAL,L 28-31,0,0,,0,,,,,,,,,,
135,1986,1986-09-14,2,32.292,NYG,,SDG,W 20-7,0,0,,0,,,,,,,,,,
136,1986,1986-09-21,3,32.299,NYG,@,RAI,W 14-9,0,0,,0,,,,,,,,,,
137,1986,1986-09-28,4,32.306,NYG,,NOR,W 20-17,0,0,,0,,,,,,,,,,
138,1986,1986-10-05,5,32.313,NYG,@,STL,W 13-6,0,0,,0,,,,,,,,,,
139,1986,1986-10-12,6,32.320,NYG,,PHI,W 35-3,1,13,13.00,1,0,0,,0,1,6,0.0,0,0,0
140,1986,1986-10-19,7,32.327,NYG,@,SEA,L 12-17,0,0,,0,,,,,,,,,,
141,1986,1986-10-27,8,32.335,NYG,,WAS,W 27-20,0,0,,0,,,,,,,,,,
142,1986,1986-11-02,9,32.341,NYG,,DAL,W 17-14,0,0,,0,,,,,,,,,,
143,1986,1986-11-09,10,32.348,NYG,@,PHI,W 17-14,0,0,,0,0,0,,0,0,0,1.0,0,0,0
144,1986,1986-11-16,11,32.355,NYG,@,MIN,W 22-20,0,0,,0,,,,,,,,,,
145,1986,1986-11-23,12,32.362,NYG,,DEN,W 19-16,0,0,,0,,,,,,,,,,
146,1986,1986-12-01,13,33.005,NYG,@,SFO,W 21-17,0,0,,0,,,,,,,,,,
147,1986,1986-12-07,14,33.011,NYG,@,WAS,W 24-14,0,0,,0,0,0,,0,0,0,0.0,1,20,0
148,1986,1986-12-14,15,33.018,NYG,,STL,W 27-7,0,0,,0,0,0,,0,0,0,1.0,0,0,0
149,1986,1986-12-20,16,33.024,NYG,,GNB,W 55-24,0,0,,0,,,,,,,,,,
150,1987,1987-09-14,1,33.292,NYG,@,CHI,L 19-34,,,,,,,,,,,,,,
151,1987,1987-09-20,2,33.298,NYG,,DAL,L 14-16,,,,,,,,,,,,,,
152,1987,1987-10-25,6,33.333,NYG,,STL,W 30-7,,,,,,,,,,,,,,
153,1987,1987-11-02,7,33.341,NYG,@,DAL,L 24-33,,,,,,,,,,,,,,
154,1987,1987-11-08,8,33.347,NYG,,NWE,W 17-10,,,,,,,,,,,,,,
155,1987,1987-11-15,9,33.354,NYG,@,PHI,W 20-17,,,,,,,,,,,,,,
156,1987,1987-11-22,10,33.361,NYG,@,NOR,L 14-23,,,,,,,,,,,,,,
157,1987,1987-11-29,11,34.003,NYG,@,WAS,L 19-23,0,0,,0,0,0,,0,0,0,1.0,0,0,0
158,1987,1987-12-06,12,34.010,NYG,,PHI,W 23-20,,,,,,,,,,,,,,
159,1987,1987-12-13,13,34.017,NYG,@,STL,L 24-27,,,,,,,,,,,,,,
