ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1958,1958-10-05,2,22.009,DET,@,GNB,T 13-13,2,18,9.00,0,,,,,0,
2,1958,1958-10-12,3,22.016,DET,,RAM,L 28-42,2,27,13.50,0,,,,,0,
3,1958,1958-10-26,5,22.030,DET,@,RAM,W 41-24,1,15,15.00,0,,,,,0,
4,1958,1958-11-02,6,22.037,DET,@,SFO,L 21-24,4,41,10.25,0,,,,,0,
5,1958,1958-11-09,7,22.044,DET,@,CLE,W 30-10,3,35,11.67,1,,,,,1,
6,1958,1958-11-16,8,22.051,DET,,SFO,W 35-21,4,86,21.50,1,,,,,1,
7,1958,1958-11-23,9,22.058,DET,,CHI,L 7-20,4,57,14.25,0,,,,,0,
8,1958,1958-11-27,10,22.062,DET,,GNB,W 24-14,1,20,20.00,0,,,,,0,
9,1958,1958-12-14,12,22.079,DET,@,CHI,L 16-21,4,68,17.00,0,,,,,0,
10,1959,1959-09-27,1,23.001,DET,@,BAL,L 9-21,4,41,10.25,0,,,,,0,
11,1959,1959-10-04,2,23.008,DET,@,GNB,L 10-28,7,82,11.71,0,,,,,0,
12,1959,1959-11-01,6,23.036,DET,@,SFO,L 7-33,3,31,10.33,0,,,,,0,
13,1959,1959-11-08,7,23.043,DET,@,PIT,T 10-10,1,19,19.00,0,,,,,0,
14,1959,1959-11-15,8,23.050,DET,,RAM,W 23-17,3,48,16.00,0,,,,,0,
15,1959,1959-11-22,9,23.057,DET,,CHI,L 14-24,2,34,17.00,0,,,,,0,
16,1959,1959-11-26,10,23.061,DET,,GNB,L 17-24,7,103,14.71,0,,,,,0,
17,1959,1959-12-06,11,23.071,DET,,CRD,W 45-21,1,33,33.00,1,,,,,1,
18,1959,1959-12-13,12,23.078,DET,@,CHI,L 14-25,3,40,13.33,0,,,,,0,
19,1960,1960-10-02,1,24.006,DET,@,GNB,L 9-28,4,55,13.75,0,0,0,,0,0,0
20,1960,1960-10-09,2,24.013,DET,,SFO,L 10-14,2,23,11.50,0,0,0,,0,0,0
21,1960,1960-10-16,3,24.020,DET,@,PHI,L 10-28,3,37,12.33,0,0,0,,0,0,0
22,1960,1960-10-23,4,24.027,DET,,BAL,W 30-17,1,35,35.00,0,0,0,,0,0,0
23,1960,1960-10-30,5,24.034,DET,@,RAM,L 35-48,9,96,10.67,0,0,0,,0,0,0
24,1960,1960-11-06,6,24.041,DET,@,SFO,W 24-0,7,39,5.57,0,0,0,,0,0,0
25,1960,1960-11-13,7,24.048,DET,,RAM,W 12-10,7,58,8.29,0,0,0,,0,0,0
26,1960,1960-11-20,8,24.055,DET,@,CHI,L 7-28,3,30,10.00,0,0,0,,0,0,0
27,1960,1960-11-24,9,24.059,DET,,GNB,W 23-10,6,78,13.00,1,0,0,,0,1,6
28,1960,1960-12-04,10,24.069,DET,@,BAL,W 20-15,3,83,27.67,1,0,0,,0,1,6
29,1960,1960-12-11,11,24.076,DET,,DAL,W 23-14,4,54,13.50,0,0,0,,0,0,0
30,1960,1960-12-18,12,24.083,DET,,CHI,W 36-0,2,16,8.00,0,0,0,,0,0,0
31,1961,1961-09-24,2,24.363,DET,@,BAL,W 16-15,4,47,11.75,0,0,0,,0,0,0
32,1961,1961-10-01,3,25.005,DET,,SFO,L 0-49,7,96,13.71,0,0,0,,0,0,0
33,1961,1961-10-08,4,25.012,DET,,CHI,L 17-31,1,6,6.00,0,0,0,,0,0,0
34,1961,1961-10-15,5,25.019,DET,,RAM,W 14-13,5,58,11.60,0,0,0,,0,0,0
35,1961,1961-10-22,6,25.026,DET,,BAL,L 14-17,2,35,17.50,0,0,0,,0,0,0
36,1961,1961-10-29,7,25.033,DET,@,RAM,W 28-10,3,44,14.67,0,0,0,,0,0,0
37,1961,1961-11-05,8,25.040,DET,@,SFO,T 20-20,3,47,15.67,0,0,0,,0,0,0
38,1961,1961-11-12,9,25.047,DET,@,STL,W 45-14,2,8,4.00,0,0,0,,0,0,0
39,1961,1961-11-23,11,25.058,DET,,GNB,L 9-17,3,32,10.67,0,0,0,,0,0,0
40,1961,1961-12-03,12,25.068,DET,@,CHI,W 16-15,6,77,12.83,1,1,14,14.00,0,1,6
41,1961,1961-12-10,13,25.075,DET,,MIN,W 13-7,6,84,14.00,0,0,0,,0,0,0
42,1961,1961-12-17,14,25.082,DET,,PHI,L 24-27,3,32,10.67,0,0,0,,0,0,0
43,1962,1962-09-16,1,25.355,DET,,PIT,W 45-7,5,57,11.40,0,0,0,,0,0,0
44,1962,1962-09-23,2,25.362,DET,,SFO,W 45-24,2,31,15.50,0,0,0,,0,0,0
45,1962,1962-09-30,3,26.004,DET,@,BAL,W 29-20,2,12,6.00,0,0,0,,0,0,0
46,1962,1962-10-07,4,26.011,DET,@,GNB,L 7-9,3,41,13.67,0,0,0,,0,0,0
47,1962,1962-10-14,5,26.018,DET,,RAM,W 13-10,1,6,6.00,0,0,0,,0,0,0
48,1962,1962-10-21,6,26.025,DET,@,NYG,L 14-17,2,13,6.50,0,0,0,,0,0,0
49,1962,1962-10-28,7,26.032,DET,,CHI,W 11-3,3,18,6.00,0,0,0,,0,0,0
50,1962,1962-11-04,8,26.039,DET,@,RAM,W 12-3,1,22,22.00,0,0,0,,0,0,0
