ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1962,1962-10-14,5,24.217,OAK,,DEN,L 6-23,6,22,3.67,0,0,0,,0
2,1962,1962-11-11,9,24.245,OAK,,HOU,L 20-28,4,10,2.50,0,0,0,,0
3,1962,1962-12-02,12,24.266,OAK,@,SDG,L 21-31,0,0,,0,1,7,7.00,0
