ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1999,1999-10-03,4,22.030,CIN,,STL,L 10-38,,6,27,4.50,0,1,1,6,6.00,0,100.0%,6.00
2,1999,1999-10-10,5,22.037,CIN,@,CLE,W 18-17,,5,38,7.60,0,0,0,0,,0,0.0%,
3,1999,1999-10-17,6,22.044,CIN,,PIT,L 3-17,,1,-1,-1.00,0,0,0,0,,0,0.0%,
4,1999,1999-10-24,7,22.051,CIN,@,IND,L 10-31,,11,26,2.36,0,0,0,0,,0,0.0%,
5,1999,1999-10-31,8,22.058,CIN,,JAX,L 10-41,,4,11,2.75,0,4,3,47,15.67,0,75.0%,11.75
6,1999,1999-11-07,9,22.065,CIN,@,SEA,L 20-37,,1,1,1.00,0,4,2,7,3.50,0,50.0%,1.75
7,1999,1999-11-14,10,22.072,CIN,,TEN,L 14-24,,,,,,0,,,,,0.0%,
8,1999,1999-11-21,11,22.079,CIN,,BAL,L 31-34,,1,0,0.00,0,1,1,19,19.00,0,100.0%,19.00
9,1999,1999-11-28,12,22.086,CIN,@,PIT,W 27-20,,1,35,35.00,0,2,2,22,11.00,0,100.0%,11.00
10,1999,1999-12-05,13,22.093,CIN,,SFO,W 44-30,,0,0,,0,1,1,5,5.00,0,100.0%,5.00
11,1999,1999-12-12,14,22.100,CIN,,CLE,W 44-28,,12,44,3.67,0,1,1,4,4.00,0,100.0%,4.00
12,1999,1999-12-26,15,22.114,CIN,@,BAL,L 0-22,,10,41,4.10,0,2,2,4,2.00,0,100.0%,2.00
13,1999,2000-01-02,16,22.121,CIN,@,JAX,L 7-24,*,10,86,8.60,0,3,3,58,19.33,0,100.0%,19.33
