ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1995,1995-09-03,1,24.345,TAM,@,PHI,W 21-6,,,,,,0.0%,,,,,,,,,
2,1997,1997-08-31,1,26.342,SEA,,NYJ,L 3-41,,0,0,,0,0.0%,,0,0,,0,0,0,,0
3,1997,1997-09-07,2,26.349,SEA,,DEN,L 14-35,,0,0,,0,0.0%,,0,0,,0,0,0,,0
4,1997,1997-09-14,3,26.356,SEA,@,IND,W 31-3,,0,0,,0,0.0%,,0,0,,0,0,0,,0
5,1997,1997-09-21,4,26.363,SEA,,SDG,W 26-22,4,2,48,24.00,0,50.0%,12.00,0,0,,0,1,-3,-3.00,0
6,1997,1997-09-28,5,27.005,SEA,@,KAN,L 17-20,0,0,0,,0,0.0%,,0,0,,0,2,4,2.00,0
7,1997,1997-10-05,6,27.012,SEA,,TEN,W 16-13,0,0,0,,0,0.0%,,1,23,23.00,0,3,34,11.33,0
8,1997,1997-11-09,10,27.047,SEA,@,SDG,W 37-31,,0,0,,0,0.0%,,0,0,,0,0,0,,0
9,1997,1997-11-16,11,27.054,SEA,@,NOR,L 17-20,,0,0,,0,0.0%,,0,0,,0,0,0,,0
10,1997,1997-11-23,12,27.061,SEA,,KAN,L 14-19,,0,0,,0,0.0%,,0,0,,0,0,0,,0
11,1997,1997-11-30,13,27.068,SEA,,ATL,L 17-24,0,0,0,,0,0.0%,,0,0,,0,1,11,11.00,0
12,1997,1997-12-07,14,27.075,SEA,@,BAL,L 24-31,0,0,0,,0,0.0%,,1,2,2.00,0,3,30,10.00,0
13,1997,1997-12-14,15,27.082,SEA,@,OAK,W 22-21,0,0,0,,0,0.0%,,0,0,,0,3,17,5.67,0
14,1997,1997-12-21,16,27.089,SEA,,SFO,W 38-9,0,0,0,,0,0.0%,,0,0,,0,3,11,3.67,0
