ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,24.080,PHI,@,CLE,W 17-16,,,,,,,,,,,
2,2012,2012-09-16,2,24.087,PHI,,BAL,W 24-23,,,,,,,,,,,
3,2012,2012-09-23,3,24.094,PHI,@,ARI,L 6-27,,0,0,,0,,0,0,0.0,0,1
4,2012,2012-09-30,4,24.101,PHI,,NYG,W 19-17,,0,0,,0,,0,0,0.0,3,0
5,2012,2012-10-07,5,24.108,PHI,@,PIT,L 14-16,,0,0,,0,,0,0,0.0,1,2
6,2012,2012-10-14,6,24.115,PHI,,DET,L 23-26,,0,0,,0,,0,0,0.0,2,0
7,2012,2012-10-28,7,24.129,PHI,,ATL,L 17-30,,0,0,,0,,0,0,1.0,3,1
8,2012,2012-11-05,8,24.137,PHI,@,NOR,L 13-28,,0,0,,0,,0,0,0.0,0,1
9,2012,2012-11-11,9,24.143,PHI,,DAL,L 23-38,,,,,,,,,,,
10,2012,2012-11-18,10,24.150,PHI,@,WAS,L 6-31,,,,,,,,,,,
11,2012,2012-11-26,11,24.158,PHI,,CAR,L 22-30,,,,,,,,,,,
12,2012,2012-12-02,12,24.164,PHI,@,DAL,L 33-38,,0,0,,0,,0,0,0.0,1,1
13,2012,2012-12-09,13,24.171,PHI,@,TAM,W 23-21,,0,0,,0,,0,0,0.0,2,0
14,2012,2012-12-13,14,24.175,PHI,,CIN,L 13-34,,1,0,0.00,0,,0,0,0.0,4,0
15,2012,2012-12-23,15,24.185,PHI,,WAS,L 20-27,,0,0,,0,,0,0,0.0,2,0
16,2012,2012-12-30,16,24.192,PHI,@,NYG,L 7-42,,0,0,,0,,0,0,0.0,1,2
17,2013,2013-09-09,1,25.080,PHI,@,WAS,W 33-27,*,0,0,,0,,0,0,0.0,2,1
18,2013,2013-09-15,2,25.086,PHI,,SDG,L 30-33,*,0,0,,0,,0,0,0.0,1,1
19,2013,2013-09-19,3,25.090,PHI,,KAN,L 16-26,*,0,0,,0,,0,0,0.0,6,0
20,2013,2013-09-29,4,25.100,PHI,@,DEN,L 20-52,*,0,0,,0,,0,0,1.0,4,1
21,2013,2013-10-06,5,25.107,PHI,@,NYG,W 36-21,*,0,0,,0,,0,0,0.0,4,0
22,2013,2013-10-13,6,25.114,PHI,@,TAM,W 31-20,*,0,0,,0,,0,0,0.0,2,1
23,2013,2013-10-20,7,25.121,PHI,,DAL,L 3-17,*,0,0,,0,,0,0,0.0,5,0
24,2013,2013-10-27,8,25.128,PHI,,NYG,L 7-15,*,0,0,,0,,0,0,0.0,6,0
25,2013,2013-11-03,9,25.135,PHI,@,OAK,W 49-20,*,0,0,,0,,0,0,0.0,1,1
26,2013,2013-11-10,10,25.142,PHI,@,GNB,W 27-13,*,0,0,,0,,0,0,0.0,2,2
27,2013,2013-11-17,11,25.149,PHI,,WAS,W 24-16,*,0,0,,0,,0,0,0.0,5,0
28,2013,2013-12-01,12,25.163,PHI,,ARI,W 24-21,*,0,0,,0,,0,0,0.0,3,1
29,2013,2013-12-08,13,25.170,PHI,,DET,W 34-20,*,0,0,,0,,0,0,0.0,4,0
30,2013,2013-12-15,14,25.177,PHI,@,MIN,L 30-48,*,0,0,,0,,0,0,0.0,1,2
31,2013,2013-12-22,15,25.184,PHI,,CHI,W 54-11,*,0,0,,0,1,0,2,0.0,2,0
32,2013,2013-12-29,16,25.191,PHI,@,DAL,W 24-22,*,0,0,,0,,0,0,0.0,0,2
33,2014,2014-09-07,1,26.078,PHI,,JAX,W 34-17,*,0,0,,0,,0,0,0.0,2,0
34,2014,2014-09-15,2,26.086,PHI,@,IND,W 30-27,*,0,0,,0,,0,0,0.0,4,1
35,2014,2014-09-21,3,26.092,PHI,,WAS,W 37-34,*,0,0,,0,,0,0,0.0,4,0
36,2014,2014-09-28,4,26.099,PHI,@,SFO,L 21-26,*,0,0,,0,,0,0,0.0,6,0
37,2014,2014-10-05,5,26.106,PHI,,STL,W 34-28,*,0,0,,0,,0,6,0.0,0,2
38,2014,2014-10-12,6,26.113,PHI,,NYG,W 27-0,*,0,0,,0,,0,0,0.0,3,0
39,2014,2014-10-26,7,26.127,PHI,@,ARI,L 20-24,*,0,0,,0,,0,0,0.0,1,0
40,2014,2014-11-02,8,26.134,PHI,@,HOU,W 31-21,*,0,0,,0,,0,0,0.0,0,1
41,2014,2014-11-10,9,26.142,PHI,,CAR,W 45-21,*,0,0,,0,,0,0,0.0,0,3
42,2014,2014-11-16,10,26.148,PHI,@,GNB,L 20-53,*,0,0,,0,,0,0,0.0,1,0
43,2014,2014-11-23,11,26.155,PHI,,TEN,W 43-24,*,0,0,,0,,0,0,0.0,4,0
44,2014,2014-11-27,12,26.159,PHI,@,DAL,W 33-10,*,0,0,,0,,0,0,0.0,2,1
45,2014,2014-12-07,13,26.169,PHI,,SEA,L 14-24,*,0,0,,0,,0,0,0.0,2,1
46,2014,2014-12-14,14,26.176,PHI,,DAL,L 27-38,*,0,0,,0,,0,0,1.0,3,4
47,2014,2014-12-20,15,26.182,PHI,@,WAS,L 24-27,*,0,0,,0,,0,0,0.0,2,2
48,2014,2014-12-28,16,26.190,PHI,@,NYG,W 34-26,*,0,0,,0,,0,0,0.0,2,1
49,2015,2015-09-14,1,27.085,PHI,@,ATL,L 24-26,*,0,0,,0,,0,0,0.0,1,0
50,2015,2015-09-20,2,27.091,PHI,,DAL,L 10-20,*,0,0,,0,,0,0,1.0,4,0
51,2015,2015-10-11,5,27.112,PHI,,NOR,W 39-17,*,0,0,,0,,0,0,0.0,0,1
52,2015,2015-10-19,6,27.120,PHI,,NYG,W 27-7,*,0,0,,0,,0,0,0.0,1,1
53,2015,2015-10-25,7,27.126,PHI,@,CAR,L 16-27,*,0,0,,0,,0,0,0.0,1,5
54,2015,2015-11-08,8,27.140,PHI,@,DAL,W 33-27,*,0,0,,0,,0,0,0.0,3,0
55,2015,2015-11-15,9,27.147,PHI,,MIA,L 19-20,*,0,0,,0,,0,0,0.0,0,0
56,2015,2015-11-22,10,27.154,PHI,,TAM,L 17-45,*,0,0,,0,,0,0,0.0,5,0
57,2015,2015-11-26,11,27.158,PHI,@,DET,L 14-45,*,0,0,,0,,0,0,0.0,1,1
58,2015,2015-12-13,13,27.175,PHI,,BUF,W 23-20,*,0,0,,0,,0,0,0.0,0,0
59,2015,2015-12-20,14,27.182,PHI,,ARI,L 17-40,*,0,0,,0,,0,0,0.0,0,2
60,2015,2015-12-26,15,27.188,PHI,,WAS,L 24-38,*,0,0,,0,,0,0,0.0,1,0
61,2015,2016-01-03,16,27.196,PHI,@,NYG,W 35-30,*,0,0,,0,,0,0,0.0,0,5
62,2016,2016-09-11,1,28.082,DAL,,NYG,L 19-20,,0,0,,0,,0,0,0.0,2,2
63,2016,2016-09-18,2,28.089,DAL,@,WAS,W 27-23,,0,0,,0,,0,0,0.0,1,1
64,2016,2016-09-25,3,28.096,DAL,,CHI,W 31-17,,0,0,,0,,0,0,0.0,1,0
65,2016,2016-10-02,4,28.103,DAL,@,SFO,W 24-17,,0,0,,0,,0,0,0.0,1,1
66,2016,2016-10-09,5,28.110,DAL,,CIN,W 28-14,,0,0,,0,,0,0,1.0,1,1
67,2016,2016-10-16,6,28.117,DAL,@,GNB,W 30-16,,0,0,,0,,0,0,0.0,0,2
68,2016,2016-10-30,7,28.131,DAL,,PHI,W 29-23,,0,0,,0,,0,0,0.5,0,1
69,2016,2016-11-06,8,28.138,DAL,@,CLE,W 35-10,,0,0,,0,,0,0,0.0,1,0
70,2016,2016-11-13,9,28.145,DAL,@,PIT,W 35-30,,0,0,,0,,0,0,0.0,0,0
71,2016,2016-11-20,10,28.152,DAL,,BAL,W 27-17,,0,0,,0,,0,0,0.0,1,0
72,2016,2016-11-24,11,28.156,DAL,,WAS,W 31-26,,0,0,,0,,0,0,0.0,3,0
73,2016,2016-12-01,12,28.163,DAL,@,MIN,W 17-15,,0,0,,0,,0,0,0.0,0,0
74,2016,2016-12-11,13,28.173,DAL,@,NYG,L 7-10,,0,0,,0,,0,0,0.0,1,2
75,2017,2017-09-10,1,29.081,BUF,,NYJ,W 21-12,,0,0,,0,,0,0,0.0,0,0
76,2017,2017-09-17,2,29.088,BUF,@,CAR,L 3-9,,0,0,,0,,0,0,0.0,1,2
77,2017,2017-09-24,3,29.095,BUF,,DEN,W 26-16,*,0,0,,0,,0,0,0.0,1,1
78,2017,2017-10-01,4,29.102,BUF,@,ATL,W 23-17,*,0,0,,0,,0,0,0.0,1,0
79,2017,2017-10-08,5,29.109,BUF,@,CIN,L 16-20,,0,0,,0,,0,0,0.0,2,1
80,2017,2017-10-29,7,29.130,BUF,,OAK,W 34-14,,0,0,,0,,0,0,0.0,2,0
