ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1975,1975-09-21,1,23.331,HOU,@,NWE,W 7-0,,,,,,,,,,,,,,,
2,1975,1975-09-28,2,23.338,HOU,,SDG,W 33-17,,,,,,,,,,,,,,,
3,1975,1975-10-26,6,24.001,HOU,,DET,W 24-8,,,,,,,,,,,,,,,
4,1975,1975-11-02,7,24.008,HOU,@,KAN,W 17-13,,,,,,,,,,,,,,,
5,1975,1975-11-09,8,24.015,HOU,@,PIT,L 17-24,,,,,,,,,,,,,,,
6,1975,1975-11-16,9,24.022,HOU,,MIA,W 20-19,,,,,,,,,,,,,,,
7,1975,1975-11-24,10,24.030,HOU,,PIT,L 9-32,,,,,,,,,,,,,,,
8,1975,1975-11-30,11,24.036,HOU,@,CIN,L 19-23,,,,,,,,,,,,,,,
9,1975,1975-12-07,12,24.043,HOU,@,SFO,W 27-13,,,,,,,,,,,,,,,
10,1975,1975-12-14,13,24.050,HOU,@,OAK,W 27-26,,,,,,,,,,,,,,,
11,1975,1975-12-21,14,24.057,HOU,,CLE,W 21-10,,,,,,,,,,,,,,,
12,1976,1976-09-12,1,24.323,HOU,,TAM,W 20-0,,,,,,,,,,,,,,,
13,1976,1976-09-19,2,24.330,HOU,@,BUF,W 13-3,,,,,,,,,,,,,,,
14,1976,1976-09-26,3,24.337,HOU,,OAK,L 13-14,,,,,,,,,,,,,,,
15,1976,1976-10-03,4,24.344,HOU,@,NOR,W 31-26,,,,,,,,,,,,,,,
16,1976,1976-10-10,5,24.351,HOU,,DEN,W 17-3,,,,,,,,,,,,,,,
17,1976,1976-10-17,6,24.358,HOU,@,SDG,L 27-30,,,,,,,,,,,,,,,
18,1976,1976-10-24,7,24.365,HOU,,CIN,L 7-27,,,,,,,,,,,,,,,
19,1976,1976-11-01,8,25.007,HOU,@,BAL,L 14-38,1,10,10.00,0,0,0,,0,0,0,,0,0,0,0
20,1976,1976-11-07,9,25.013,HOU,,CLE,L 7-21,,,,,,,,,,,,,,,
21,1976,1976-11-14,10,25.020,HOU,@,CIN,L 27-31,,,,,,,,,,,,,,,
22,1976,1976-11-21,11,25.027,HOU,@,PIT,L 16-32,,,,,,,,,,,,,,,
23,1976,1976-11-28,12,25.034,HOU,,ATL,W 20-14,,,,,,,,,,,,,,,
24,1976,1976-12-05,13,25.041,HOU,@,CLE,L 10-13,0,0,,0,0,0,,0,0,0,,0,1,0,0
25,1976,1976-12-11,14,25.047,HOU,,PIT,L 0-21,,,,,,,,,,,,,,,
26,1977,1977-09-18,1,25.328,HOU,,NYJ,W 20-0,,,,,,,,,,,,,,,
27,1977,1977-09-25,2,25.335,HOU,@,GNB,W 16-10,,,,,,,,,,,,,,,
28,1977,1977-10-02,3,25.342,HOU,@,MIA,L 7-27,,,,,,,,,,,,,,,
29,1977,1977-10-09,4,25.349,HOU,,PIT,W 27-10,0,0,,0,0,0,,0,0,0,,0,1,18,0
30,1977,1977-11-20,10,26.026,HOU,@,SEA,W 22-10,,,,,,,,,,,,,,,
31,1977,1977-11-27,11,26.033,HOU,,KAN,W 34-20,,,,,,,,,,,,,,,
32,1977,1977-12-04,12,26.040,HOU,,DEN,L 14-24,,,,,,,,,,,,,,,
33,1977,1977-12-11,13,26.047,HOU,@,CLE,W 19-15,,,,,,,,,,,,,,,
34,1977,1977-12-18,14,26.054,HOU,,CIN,W 21-16,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0
35,1978,1978-09-03,1,26.313,HOU,@,ATL,L 14-20,,,,,,,,,,,,,,,
36,1978,1978-09-10,2,26.320,HOU,@,KAN,W 20-17,,,,,,,,,,,,,,,
37,1978,1978-09-17,3,26.327,HOU,,SFO,W 20-19,,,,,,,,,,,,,,,
38,1978,1978-09-24,4,26.334,HOU,,RAM,L 6-10,,,,,,,,,,,,,,,
39,1978,1978-10-01,5,26.341,HOU,@,CLE,W 16-13,,,,,,,,,,,,,,,
40,1978,1978-10-08,6,26.348,HOU,@,OAK,L 17-21,,,,,,,,,,,,,,,
41,1978,1978-10-15,7,26.355,HOU,,BUF,W 17-10,,,,,,,,,,,,,,,
42,1978,1978-10-23,8,26.363,HOU,@,PIT,W 24-17,,,,,,,,,,,,,,,
43,1978,1978-10-29,9,27.004,HOU,@,CIN,L 13-28,,,,,,,,,,,,,,,
44,1978,1978-11-05,10,27.011,HOU,,CLE,W 14-10,0,0,,0,0,0,,0,0,0,,0,1,27,0
45,1978,1978-11-12,11,27.018,HOU,@,NWE,W 26-23,,,,,,,,,,,,,,,
46,1978,1978-11-20,12,27.026,HOU,,MIA,W 35-30,,,,,,,,,,,,,,,
47,1978,1978-11-26,13,27.032,HOU,,CIN,W 17-10,,,,,,,,,,,,,,,
48,1978,1978-12-03,14,27.039,HOU,,PIT,L 3-13,,,,,,,,,,,,,,,
49,1978,1978-12-10,15,27.046,HOU,@,NOR,W 17-12,0,0,,0,0,0,,0,0,0,,0,1,0,0
50,1978,1978-12-17,16,27.053,HOU,,SDG,L 24-45,0,0,,0,0,0,,0,0,0,,0,1,38,0
51,1979,1979-09-02,1,27.312,HOU,@,WAS,W 29-27,,,,,,,,,,,,,,,
52,1979,1979-09-09,2,27.319,HOU,@,PIT,L 7-38,,,,,,,,,,,,,,,
53,1979,1979-09-16,3,27.326,HOU,,KAN,W 20-6,,,,,,,,,,,,,,,
54,1979,1979-09-23,4,27.333,HOU,@,CIN,W 30-27,,,,,,,,,,,,,,,
