ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1994,1994-09-04,1,22.089,BUF,,NYJ,L 3-23,,0,0,,0,2,20,10.00,0,0,0,0.0,0,0,0
2,1994,1994-09-11,2,22.096,BUF,@,NWE,W 38-35,,0,0,,0,2,1,0.50,0,0,0,0.0,0,0,0
3,1994,1994-09-18,3,22.103,BUF,@,HOU,W 15-7,,0,0,,0,3,45,15.00,0,0,0,0.0,0,0,0
4,1994,1994-09-26,4,22.111,BUF,,DEN,W 27-20,,0,0,,0,2,11,5.50,0,0,0,0.0,0,0,0
5,1994,1994-10-02,5,22.117,BUF,@,CHI,L 13-20,,0,0,,0,2,57,28.50,0,0,0,0.0,0,0,0
6,1994,1994-10-09,6,22.124,BUF,,MIA,W 21-11,,0,0,,0,3,34,11.33,0,0,0,0.0,0,0,0
7,1994,1994-10-16,7,22.131,BUF,,IND,L 17-27,,,,,,0,0,,0,,,,,,
8,1994,1994-10-30,8,22.145,BUF,,KAN,W 44-10,,0,0,,0,3,20,6.67,0,0,0,0.0,1,0,0
9,1994,1994-11-06,9,22.152,BUF,@,NYJ,L 17-22,,,,,,0,0,,0,,,,,,
10,1994,1994-11-14,10,22.160,BUF,@,PIT,L 10-23,,0,0,,0,4,41,10.25,0,0,0,0.0,0,0,0
11,1994,1994-11-20,11,22.166,BUF,,GNB,W 29-20,,0,0,,0,1,8,8.00,0,0,0,0.0,0,0,0
12,1994,1994-11-24,12,22.170,BUF,@,DET,L 21-35,,0,0,,0,2,2,1.00,0,0,0,0.0,0,0,0
13,1994,1994-12-04,13,22.180,BUF,@,MIA,W 42-31,,0,0,,0,2,28,14.00,0,0,0,0.0,1,24,0
14,1994,1994-12-11,14,22.187,BUF,,MIN,L 17-21,,,,,,0,0,,0,,,,,,
15,1994,1994-12-18,15,22.194,BUF,,NWE,L 17-41,,0,0,,0,1,16,16.00,0,0,0,0.0,0,0,0
16,1994,1994-12-24,16,22.200,BUF,@,IND,L 9-10,,0,0,,0,5,49,9.80,0,0,0,0.0,0,0,0
17,1995,1995-09-03,1,23.088,BUF,@,DEN,L 7-22,,0,0,,0,2,15,7.50,0,0,0,0.0,0,0,0
18,1995,1995-09-10,2,23.095,BUF,,CAR,W 31-9,,0,0,,0,3,24,8.00,0,0,0,0.0,0,0,0
19,1995,1995-09-17,3,23.102,BUF,,IND,W 20-14,,0,0,,0,2,14,7.00,0,0,0,0.0,0,0,0
20,1995,1995-10-02,4,23.117,BUF,@,CLE,W 22-19,,0,0,,0,1,26,26.00,0,0,0,0.0,0,0,0
21,1995,1995-10-08,5,23.123,BUF,,NYJ,W 29-10,,0,0,,0,4,42,10.50,0,0,0,0.0,0,0,0
22,1995,1995-10-15,6,23.130,BUF,,SEA,W 27-21,,0,0,,0,1,10,10.00,0,0,0,0.0,1,19,0
23,1995,1995-10-23,7,23.138,BUF,@,NWE,L 14-27,,0,0,,0,2,4,2.00,0,0,0,0.0,0,0,0
24,1995,1995-10-29,8,23.144,BUF,@,MIA,L 6-23,,0,0,,0,3,39,13.00,0,0,0,0.0,0,0,0
25,1995,1995-11-05,9,23.151,BUF,@,IND,W 16-10,,0,0,,0,2,55,27.50,0,0,0,0.0,0,0,0
26,1996,1996-09-01,1,24.086,BUF,@,NYG,W 23-20,,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0
27,1996,1996-09-08,2,24.093,BUF,,NWE,W 17-10,,,,,,0,0,,0,,,,,,
28,1996,1996-09-22,4,24.107,BUF,,DAL,W 10-7,,,,,,0,0,,0,,,,,,
29,1996,1996-10-06,5,24.121,BUF,,IND,W 16-13,,0,0,,0,2,22,11.00,0,0,0,0.0,0,0,0
30,1996,1996-10-13,6,24.128,BUF,,MIA,L 7-21,,,,,,0,0,,0,,,,,,
31,1996,1996-10-20,7,24.135,BUF,@,NYJ,W 25-22,,0,0,,0,3,46,15.33,0,0,0,0.0,1,28,0
32,1996,1996-10-27,8,24.142,BUF,@,NWE,L 25-28,,0,0,,0,2,5,2.50,0,0,0,0.0,0,0,0
33,1996,1996-11-03,9,24.149,BUF,,WAS,W 38-13,,0,0,,0,1,28,28.00,0,0,0,0.0,0,0,0
34,1996,1996-11-10,10,24.156,BUF,@,PHI,W 24-17,,0,0,,0,1,12,12.00,0,0,0,0.0,0,0,0
35,1996,1996-11-17,11,24.163,BUF,,CIN,W 31-17,,0,0,,0,3,51,17.00,0,0,0,0.0,0,0,0
36,1996,1996-11-24,12,24.170,BUF,,NYJ,W 35-10,,0,0,,0,2,9,4.50,0,0,0,0.0,0,0,0
37,1996,1996-12-01,13,24.177,BUF,@,IND,L 10-13,,0,0,,0,4,20,5.00,0,0,0,0.0,0,0,0
38,1996,1996-12-08,14,24.184,BUF,@,SEA,L 18-26,,0,0,,0,4,67,16.75,0,0,0,0.0,0,0,0
39,1996,1996-12-16,15,24.192,BUF,@,MIA,L 14-16,,0,0,,0,1,10,10.00,0,0,0,0.0,0,0,0
40,1996,1996-12-22,16,24.198,BUF,,KAN,W 20-9,,0,0,,0,3,16,5.33,0,0,0,0.0,0,0,0
41,1997,1997-08-31,1,25.085,BUF,,MIN,L 13-34,,0,0,,0,0,0,,0,,,,,,
42,1997,1997-09-07,2,25.092,BUF,@,NYJ,W 28-22,,0,0,,0,0,0,,0,0,0,0.0,1,9,0
43,1997,1997-09-14,3,25.099,BUF,@,KAN,L 16-22,,0,0,,0,0,0,,0,,,,,,
44,1997,1997-10-05,5,25.120,BUF,,DET,W 22-13,,1,10,10.00,0,0,0,,0,0,0,0.0,0,0,0
45,1997,1997-10-20,7,25.135,BUF,@,IND,W 9-6,,0,0,,0,2,11,5.50,0,0,0,0.0,0,0,0
46,1997,1997-10-26,8,25.141,BUF,,DEN,L 20-23,,0,0,,0,2,19,9.50,0,0,0,0.0,0,0,0
47,1997,1997-11-02,9,25.148,BUF,,MIA,W 9-6,,0,0,,0,4,26,6.50,0,0,0,0.0,1,10,0
48,1997,1997-11-09,10,25.155,BUF,,NWE,L 10-31,,0,0,,0,1,20,20.00,0,0,0,0.0,0,0,0
49,1997,1997-11-17,11,25.163,BUF,@,MIA,L 13-30,,0,0,,0,2,20,10.00,0,0,0,0.0,0,0,0
50,1997,1997-11-23,12,25.169,BUF,@,TEN,L 14-31,,0,0,,0,2,16,8.00,0,0,0,0.0,0,0,0
51,1997,1997-11-30,13,25.176,BUF,,NYJ,W 20-10,,0,0,,0,6,49,8.17,0,0,0,0.0,0,0,0
52,1997,1997-12-07,14,25.183,BUF,@,CHI,L 3-20,,0,0,,0,0,0,,0,,,,,,
53,1997,1997-12-14,15,25.190,BUF,,JAX,L 14-20,,0,0,,0,0,0,,0,,,,,,
54,1997,1997-12-20,16,25.196,BUF,@,GNB,L 21-31,,0,0,,0,2,37,18.50,0,0,0,0.0,0,0,0
55,1998,1998-09-06,1,26.091,IND,,MIA,L 15-24,,,,,,,,,,,,,,,
56,1998,1998-09-13,2,26.098,IND,@,NWE,L 6-29,,,,,,,,,,,,,,,
57,1998,1998-09-20,3,26.105,IND,@,NYJ,L 6-44,,0,0,,0,0,0,,0,0,0,0.0,1,0,0
58,1998,1998-09-27,4,26.112,IND,,NOR,L 13-19,,,,,,,,,,,,,,,
59,1998,1998-10-04,5,26.119,IND,,SDG,W 17-12,,,,,,,,,,,,,,,
60,1998,1998-10-11,6,26.126,IND,,BUF,L 24-31,,,,,,,,,,,,,,,
