ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1999,1999-09-26,3,23.074,KAN,,DET,W 31-21,,,,,,,0.0%,,,,,,,,,,,,,,,
2,1999,1999-10-03,4,23.081,KAN,@,SDG,L 14-21,,,,,,,0.0%,,,,,,,,,,,,,,,
3,1999,1999-10-10,5,23.088,KAN,,NWE,W 16-14,,,,,,,0.0%,,,,,,,,,,,,,,,
4,1999,1999-10-31,7,23.109,KAN,,SDG,W 34-0,,0,0,0,,0,0.0%,,0,0,,0,1,24,24.00,0,4,16,4.00,0,0,0
5,1999,1999-11-07,8,23.116,KAN,@,IND,L 17-25,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,35,35.00,0,0,0
6,1999,1999-11-28,11,23.137,KAN,@,OAK,W 37-34,,0,,,,,0.0%,,,,,,,,,,,,,,,
7,1999,1999-12-05,12,23.144,KAN,@,DEN,W 16-10,,0,,,,,0.0%,,,,,,,,,,,,,,,
8,1999,1999-12-18,14,23.157,KAN,,PIT,W 35-19,,,,,,,0.0%,,,,,,,,,,,,,,,
9,1999,1999-12-26,15,23.165,KAN,@,SEA,L 14-23,,,,,,,0.0%,,,,,,,,,,,,,,,
10,1999,2000-01-02,16,23.172,KAN,,OAK,L 38-41,,0,,,,,0.0%,,,,,,,,,,,,,,,
11,2000,2000-09-03,1,24.051,KAN,,IND,L 14-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,18,9.00,0,0,0
12,2000,2000-09-10,2,24.058,KAN,@,TEN,L 14-17,,0,0,0,,0,0.0%,,0,0,,0,3,63,21.00,0,0,0,,0,0,0
13,2000,2000-09-17,3,24.065,KAN,,SDG,W 42-10,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,2,44,22.00,0,3,32,10.67,0,0,0
14,2000,2000-09-24,4,24.072,KAN,@,DEN,W 23-22,,0,,,,,0.0%,,,,,,,,,,,,,,,
15,2000,2000-10-02,5,24.080,KAN,,SEA,W 24-17,,,,,,,0.0%,,,,,,,,,,,,,,,
16,2000,2000-10-15,6,24.093,KAN,,OAK,L 17-20,,,,,,,0.0%,,,,,,,,,,,,,,,
17,2000,2000-10-22,7,24.100,KAN,,STL,W 54-34,,0,,,,,0.0%,,,,,,,,,,,,,,,
18,2000,2000-10-29,8,24.107,KAN,@,SEA,W 24-19,,0,,,,,0.0%,,,,,,,,,,,,,,,
19,2000,2000-11-05,9,24.114,KAN,@,OAK,L 31-49,,0,0,0,,0,0.0%,,0,0,,0,5,90,18.00,0,0,0,,0,0,0
20,2000,2000-11-12,10,24.121,KAN,@,SFO,L 7-21,,0,0,0,,0,0.0%,,1,-7,-7.00,0,1,24,24.00,0,0,0,,0,0,0
21,2000,2000-11-19,11,24.128,KAN,,BUF,L 17-21,,3,2,33,16.50,0,66.7%,11.00,0,0,,0,1,17,17.00,0,0,0,,0,0,0
22,2000,2000-11-26,12,24.135,KAN,@,SDG,L 16-17,,,,,,,0.0%,,,,,,,,,,,,,,,
23,2000,2000-12-04,13,24.143,KAN,@,NWE,L 24-30,,,,,,,0.0%,,,,,,,,,,,,,,,
24,2000,2000-12-10,14,24.149,KAN,,CAR,W 15-14,,0,0,0,,0,0.0%,,0,0,,0,1,18,18.00,0,0,0,,0,0,0
25,2000,2000-12-17,15,24.156,KAN,,DEN,W 20-7,,0,,,,,0.0%,,,,,,,,,,,,,,,
26,2000,2000-12-24,16,24.163,KAN,@,ATL,L 13-29,,0,0,0,,0,0.0%,,0,0,,0,1,23,23.00,0,0,0,,0,0,0
27,2001,2001-09-23,2,25.071,KAN,,NYG,L 3-13,,5,2,12,6.00,0,40.0%,2.40,0,0,,0,0,0,,0,0,0,,0,0,0
28,2001,2001-09-30,3,25.078,KAN,@,WAS,W 45-13,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,0
29,2001,2001-10-07,4,25.085,KAN,@,DEN,L 6-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,2,2.00,0,0,0
30,2001,2001-10-14,5,25.092,KAN,,PIT,L 17-20,,0,0,0,,0,0.0%,,1,-2,-2.00,0,1,22,22.00,0,3,32,10.67,0,0,0
31,2001,2001-10-21,6,25.099,KAN,@,ARI,L 16-24,,2,1,44,44.00,0,50.0%,22.00,1,7,7.00,0,0,0,,0,3,26,8.67,0,0,0
32,2001,2001-10-25,7,25.103,KAN,,IND,L 28-35,*,14,6,76,12.67,2,42.9%,5.43,1,1,1.00,0,0,0,,0,4,31,7.75,0,2,12
