ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2015,2015-09-10,1,25.002,NWE,,PIT,W 28-21,,0,0,0,,0,0.0%,,1,8,8.00,0
2,2015,2015-09-20,2,25.012,NWE,@,BUF,W 40-32,,1,1,15,15.00,0,100.0%,15.00,0,0,,0
3,2015,2015-09-27,3,25.019,NWE,,JAX,W 51-17,,0,0,0,,0,0.0%,,0,0,,0
4,2015,2015-10-11,4,25.033,NWE,@,DAL,W 30-6,*,0,0,0,,0,0.0%,,0,0,,0
5,2015,2015-10-18,5,25.040,NWE,@,IND,W 34-27,*,0,0,0,,0,0.0%,,0,0,,0
6,2015,2015-10-25,6,25.047,NWE,,NYJ,W 30-23,,2,1,4,4.00,0,50.0%,2.00,0,0,,0
7,2015,2015-10-29,7,25.051,NWE,,MIA,W 36-7,*,0,0,0,,0,0.0%,,0,0,,0
8,2015,2015-11-08,8,25.061,NWE,,WAS,W 27-10,,0,0,0,,0,0.0%,,0,0,,0
9,2015,2015-11-15,9,25.068,NWE,@,NYG,W 27-26,*,1,0,0,,0,0.0%,0.00,0,0,,0
10,2015,2015-11-23,10,25.076,NWE,,BUF,W 20-13,*,0,0,0,,0,0.0%,,1,10,10.00,0
11,2015,2015-12-06,12,25.089,NWE,,PHI,L 28-35,*,0,0,0,,0,0.0%,,1,0,0.00,0
12,2015,2015-12-13,13,25.096,NWE,@,HOU,W 27-6,,0,0,0,,0,0.0%,,0,0,,0
13,2015,2015-12-20,14,25.103,NWE,,TEN,W 33-16,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0
14,2015,2015-12-27,15,25.110,NWE,@,NYJ,L 20-26,*,1,0,0,,0,0.0%,0.00,0,0,,0
15,2015,2016-01-03,16,25.117,NWE,@,MIA,L 10-20,*,0,0,0,,0,0.0%,,0,0,,0
