ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1976,1976-09-12,1,23.094,DEN,@,CIN,L 7-17,,,,,,,,,,,,
2,1976,1976-09-19,2,23.101,DEN,,NYJ,W 46-3,1,16,16.00,0,0,0,,0,0,0,,0
3,1976,1976-09-26,3,23.108,DEN,,CLE,W 44-13,0,0,,0,1,20,20.00,0,0,0,,0
4,1976,1976-10-03,4,23.115,DEN,,SDG,W 26-0,,,,,,,,,,,,
5,1976,1976-10-10,5,23.122,DEN,@,HOU,L 3-17,0,0,,0,0,0,,0,1,2,2.00,0
6,1976,1976-10-17,6,23.129,DEN,,OAK,L 10-17,,,,,,,,,,,,
7,1976,1976-10-24,7,23.136,DEN,@,KAN,W 35-26,,,,,,,,,,,,
8,1976,1976-10-31,8,23.143,DEN,@,OAK,L 6-19,,,,,,,,,,,,
9,1976,1976-11-07,9,23.150,DEN,,TAM,W 48-13,,,,,,,,,,,,
10,1976,1976-11-14,10,23.157,DEN,@,SDG,W 17-0,0,0,,0,1,24,24.00,0,0,0,,0
11,1976,1976-11-21,11,23.164,DEN,,NYG,W 14-13,,,,,,,,,,,,
12,1976,1976-11-28,12,23.171,DEN,@,NWE,L 14-38,,,,,,,,,,,,
13,1976,1976-12-05,13,23.178,DEN,,KAN,W 17-16,1,13,13.00,0,1,38,38.00,0,0,0,,0
14,1976,1976-12-12,14,23.185,DEN,@,CHI,W 28-14,,,,,,,,,,,,
15,1977,1977-09-18,1,24.100,DEN,,STL,W 7-0,,,,,,,,,,,,
16,1977,1977-09-25,2,24.107,DEN,,BUF,W 26-6,,,,,,,,,,,,
17,1977,1977-10-02,3,24.114,DEN,@,SEA,W 24-13,,,,,,,,,,,,
18,1977,1977-10-09,4,24.121,DEN,,KAN,W 23-7,,,,,,,,,,,,
19,1977,1977-10-16,5,24.128,DEN,@,OAK,W 30-7,0,0,,0,0,0,,0,1,11,11.00,0
20,1977,1977-10-23,6,24.135,DEN,@,CIN,W 24-13,0,0,,0,1,33,33.00,0,0,0,,0
21,1977,1977-10-30,7,24.142,DEN,,OAK,L 14-24,,,,,,,,,,,,
22,1977,1977-11-06,8,24.149,DEN,,PIT,W 21-7,,,,,,,,,,,,
23,1977,1977-11-13,9,24.156,DEN,@,SDG,W 17-14,0,0,,0,1,15,15.00,0,0,0,,0
24,1977,1977-11-20,10,24.163,DEN,@,KAN,W 14-7,,,,,,,,,,,,
25,1977,1977-11-27,11,24.170,DEN,,BAL,W 27-13,0,0,,0,3,71,23.67,0,0,0,,0
26,1977,1977-12-04,12,24.177,DEN,@,HOU,W 24-14,0,0,,0,1,16,16.00,0,0,0,,0
27,1977,1977-12-11,13,24.184,DEN,,SDG,W 17-9,,,,,,,,,,,,
28,1977,1977-12-18,14,24.191,DEN,@,DAL,L 6-14,,,,,,,,,,,,
29,1978,1978-09-03,1,25.085,DEN,,OAK,W 14-6,,,,,,,,,,,,
30,1978,1978-09-11,2,25.093,DEN,@,MIN,L 9-12,0,0,,0,1,20,20.00,0,0,0,,0
31,1978,1978-09-17,3,25.099,DEN,,SDG,W 27-14,,,,,,,,,,,,
32,1978,1978-10-08,6,25.120,DEN,@,SDG,L 0-23,,,,,,,,,,,,
