ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2004,2004-09-11,1,23.282,MIA,,TEN,L 7-17,,1,1,4,4.00,0,100.0%,4.00
2,2004,2004-09-19,2,23.290,MIA,@,CIN,L 13-16,*,,,,,,0.0%,
3,2004,2004-09-26,3,23.297,MIA,,PIT,L 3-13,,1,,,,,0.0%,
