ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2002,2002-09-08,1,21.354,OAK,,SEA,W 31-17,,0,0,,0,1,22,22.00,0,0,0,0.0,,,0,0,0
2,2002,2002-09-15,2,21.361,OAK,@,PIT,W 30-17,,0,0,,0,3,17,5.67,0,0,0,0.0,,,0,0,0
3,2002,2002-09-29,3,22.010,OAK,,TEN,W 52-25,*,0,0,,0,2,78,39.00,1,1,6,0.0,,,1,0,0
4,2002,2002-10-06,4,22.017,OAK,@,BUF,W 49-31,*,0,0,,0,3,0,0.00,0,1,6,0.0,,,1,81,1
5,2002,2002-10-13,5,22.024,OAK,@,STL,L 13-28,,0,0,,0,5,55,11.00,0,0,0,0.0,,,0,0,0
6,2002,2002-10-20,6,22.031,OAK,,SDG,L 21-27,,0,0,,0,1,6,6.00,0,0,0,0.0,,,0,0,0
7,2002,2002-10-27,7,22.038,OAK,@,KAN,L 10-20,,,,,,0,,,,,,,,,,,
8,2003,2003-09-07,1,22.353,OAK,@,TEN,L 20-25,,0,0,,0,2,-1,-0.50,0,0,0,0.0,,,0,0,0
9,2003,2003-09-14,2,22.360,OAK,,CIN,W 23-20,*,0,0,,0,5,81,16.20,0,1,6,0.0,,,1,83,1
10,2003,2003-09-22,3,23.003,OAK,@,DEN,L 10-31,*,0,0,,0,4,74,18.50,0,0,0,0.0,,,0,0,0
11,2003,2003-09-28,4,23.009,OAK,,SDG,W 34-31,,,,,,,,,,,,,,,,,
12,2003,2003-10-05,5,23.016,OAK,@,CHI,L 21-24,,0,0,,0,2,2,1.00,0,0,0,0.0,,,0,0,0
13,2003,2003-10-12,6,23.023,OAK,@,CLE,L 7-13,,,,,,,,,,,,,,,,,
14,2003,2003-10-20,7,23.031,OAK,,KAN,L 10-17,,0,0,,0,2,11,5.50,0,0,0,0.0,,,1,0,0
15,2003,2003-11-02,8,23.044,OAK,@,DET,L 13-23,*,0,0,,0,2,6,3.00,0,0,0,0.0,,,0,0,0
16,2003,2003-11-09,9,23.051,OAK,,NYJ,L 24-27,*,0,0,,0,3,96,32.00,1,1,6,0.0,,,0,0,0
17,2003,2003-11-16,10,23.058,OAK,,MIN,W 28-18,*,0,0,,0,1,5,5.00,0,1,6,0.0,,,2,64,1
18,2003,2003-11-23,11,23.065,OAK,@,KAN,L 24-27,*,1,8,8.00,0,3,58,19.33,0,0,0,0.0,,,0,0,0
19,2003,2003-11-30,12,23.072,OAK,,DEN,L 8-22,*,1,17,17.00,0,3,61,20.33,0,0,0,0.0,,,1,0,0
20,2003,2003-12-07,13,23.079,OAK,@,PIT,L 7-27,*,0,0,,0,1,-3,-3.00,0,0,0,0.0,,,0,0,0
21,2003,2003-12-14,14,23.086,OAK,,BAL,W 20-12,,0,0,,0,4,-2,-0.50,0,0,0,0.0,,,1,29,0
22,2003,2003-12-22,15,23.094,OAK,,GNB,L 7-41,*,0,0,,0,1,11,11.00,0,0,0,0.0,,,0,0,0
23,2003,2003-12-28,16,23.100,OAK,@,SDG,L 14-21,*,0,0,,0,3,92,30.67,1,1,6,0.0,,,0,0,0
24,2004,2004-09-12,1,23.359,OAK,@,PIT,L 21-24,*,0,0,,0,1,13,13.00,0,0,0,0.0,,,0,0,0
25,2004,2004-09-19,2,24.000,OAK,,BUF,W 13-10,*,0,0,,0,1,15,15.00,0,0,0,0.0,,,0,0,0
26,2004,2004-09-26,3,24.007,OAK,,TAM,W 30-20,*,0,0,,0,2,4,2.00,0,1,6,0.0,,,1,32,1
27,2004,2004-10-03,4,24.014,OAK,@,HOU,L 17-30,*,0,0,,0,1,7,7.00,0,0,0,0.0,,,0,0,0
28,2004,2004-10-10,5,24.021,OAK,@,IND,L 14-35,*,0,0,,0,2,13,6.50,0,0,0,0.0,,,1,0,0
29,2004,2004-10-17,6,24.028,OAK,,DEN,L 3-31,*,,,,,,,,,,,,,,,,
30,2004,2004-10-24,7,24.035,OAK,,NOR,L 26-31,*,0,0,,0,5,26,5.20,0,0,0,0.0,,,0,0,0
31,2004,2004-10-31,8,24.042,OAK,@,SDG,L 14-42,*,0,0,,0,1,18,18.00,0,0,0,0.0,,,0,0,0
32,2004,2004-11-07,9,24.049,OAK,@,CAR,W 27-24,*,0,0,,0,2,8,4.00,0,0,0,0.0,,,0,0,0
33,2004,2004-11-21,10,24.063,OAK,,SDG,L 17-23,*,0,0,,0,2,9,4.50,0,0,0,0.0,,,0,0,0
34,2004,2004-11-28,11,24.070,OAK,@,DEN,W 25-24,*,0,0,,0,3,10,3.33,0,0,0,0.0,,,1,37,0
35,2004,2004-12-05,12,24.077,OAK,,KAN,L 27-34,*,,,,,,,,,,,,,,,,
36,2004,2004-12-12,13,24.084,OAK,@,ATL,L 10-35,*,,,,,,,,,,,,,,,,
37,2004,2004-12-19,14,24.091,OAK,,TEN,W 40-35,*,0,0,,0,1,-2,-2.00,0,0,0,0.0,,,0,0,0
38,2005,2005-09-11,1,24.357,HOU,@,BUF,L 7-22,*,0,0,,0,1,6,6.00,0,0,0,0.0,,,0,0,0
39,2005,2005-09-18,2,24.364,HOU,,PIT,L 7-27,*,0,0,,0,1,6,6.00,0,0,0,0.0,,,0,0,0
40,2005,2005-10-02,3,25.013,HOU,@,CIN,L 10-16,*,0,0,,0,1,4,4.00,0,0,0,0.0,,,0,0,0
41,2005,2005-10-09,4,25.020,HOU,,TEN,L 20-34,,0,0,,0,2,19,9.50,0,0,0,0.0,,,0,0,0
42,2005,2005-10-16,5,25.027,HOU,@,SEA,L 10-42,,,,,,,,,,,,,,,,,
43,2005,2005-10-23,6,25.034,HOU,,IND,L 20-38,*,,,,,,,,,,,,,,,,
44,2005,2005-10-30,7,25.041,HOU,,CLE,W 19-16,,0,0,,0,1,20,20.00,0,0,0,0.0,,,0,0,0
45,2005,2005-11-06,8,25.048,HOU,@,JAX,L 14-21,,0,0,,0,2,0,0.00,0,0,0,0.0,,,0,0,0
46,2005,2005-11-13,9,25.055,HOU,@,IND,L 17-31,*,0,0,,0,3,9,3.00,0,0,0,0.0,,,0,0,0
47,2005,2005-11-20,10,25.062,HOU,,KAN,L 17-45,*,0,0,,0,1,37,37.00,0,0,0,0.0,,,0,0,0
48,2006,2006-09-10,1,25.356,HOU,,PHI,L 10-24,,2,41,20.50,0,1,0,0.00,0,0,0,0.0,,,0,0,0
49,2006,2006-09-24,3,26.005,HOU,,WAS,L 15-31,,3,65,21.67,0,2,16,8.00,0,0,0,0.0,,,0,0,0
