ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1999,1999-09-19,2,24.090,DEN,@,KAN,L 10-26,,1,,,,,0.0%,
2,1999,1999-09-26,3,24.097,DEN,@,TAM,L 10-13,,2,1,21,21.00,0,50.0%,10.50
3,1999,1999-10-03,4,24.104,DEN,,NYJ,L 13-21,,2,,,,,0.0%,
4,1999,1999-10-10,5,24.111,DEN,@,OAK,W 16-13,,,,,,,0.0%,
5,1999,1999-10-17,6,24.118,DEN,,GNB,W 31-10,,1,,,,,0.0%,
6,1999,1999-10-24,7,24.125,DEN,@,NWE,L 23-24,,2,2,21,10.50,0,100.0%,10.50
7,1999,1999-10-31,8,24.132,DEN,,MIN,L 20-23,,4,4,38,9.50,0,100.0%,9.50
8,1999,1999-11-07,9,24.139,DEN,@,SDG,W 33-17,*,5,2,18,9.00,0,40.0%,3.60
9,1999,1999-11-14,10,24.146,DEN,@,SEA,L 17-20,,,,,,,0.0%,
10,1999,1999-11-22,11,24.154,DEN,,OAK,W 27-21,,,,,,,0.0%,
