ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2008,2008-11-09,9,23.326,KAN,@,SDG,L 19-20,,4,105,26.25,0,1,-1,-1.00,0
2,2008,2008-11-16,10,23.333,KAN,,NOR,L 20-30,,0,0,,0,2,19,9.50,0
3,2008,2008-11-23,11,23.340,KAN,,BUF,L 31-54,,5,91,18.20,0,1,18,18.00,0
4,2008,2008-11-30,12,23.347,KAN,@,OAK,W 20-13,,2,39,19.50,0,1,2,2.00,0
5,2008,2008-12-07,13,23.354,KAN,@,DEN,L 17-24,,3,82,27.33,0,1,32,32.00,0
6,2008,2008-12-14,14,23.361,KAN,,SDG,L 21-22,,2,45,22.50,0,2,0,0.00,0
7,2008,2008-12-21,15,24.002,KAN,,MIA,L 31-38,,3,58,19.33,0,1,9,9.00,0
8,2008,2008-12-28,16,24.009,KAN,@,CIN,L 6-16,,0,0,,0,2,15,7.50,0
