ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2010,2010-09-12,1,22.356,CAR,@,NYG,L 18-31,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0.0,0,0
2,2010,2010-09-19,2,22.363,CAR,,TAM,L 7-20,,7,13,53.85,59,0,1,33.8,0,0,4.54,1.08,1,0,0.00,0,0.0,0,0
3,2010,2010-09-26,3,23.005,CAR,,CIN,L 7-20,*,16,33,48.48,188,0,1,53.6,1,8,5.70,4.33,6,10,1.67,0,0.0,0,0
4,2010,2010-10-03,4,23.012,CAR,@,NOR,L 14-16,*,11,21,52.38,146,1,0,90.6,3,13,6.95,7.90,2,11,5.50,0,0.0,0,0
5,2010,2010-10-10,5,23.019,CAR,,CHI,L 6-23,*,9,22,40.91,61,0,1,29.7,5,34,2.77,0.73,2,0,0.00,0,0.0,1,0
6,2010,2010-11-07,8,23.047,CAR,,NOR,L 3-34,,8,18,44.44,47,0,1,28.5,2,21,2.61,0.11,1,11,11.00,0,0.0,0,0
7,2010,2010-11-14,9,23.054,CAR,@,TAM,L 16-31,*,16,29,55.17,191,0,0,75.5,2,9,6.59,6.59,5,11,2.20,0,0.0,0,0
8,2010,2010-11-28,11,23.068,CAR,@,CLE,L 23-24,*,16,28,57.14,195,0,1,63.8,3,20,6.96,5.36,0,0,,0,0.0,0,0
9,2010,2010-12-05,12,23.075,CAR,@,SEA,L 14-31,*,18,34,52.94,169,0,1,54.7,3,17,4.97,3.65,1,0,0.00,0,0.0,0,0
10,2010,2010-12-12,13,23.082,CAR,,ATL,L 10-31,*,14,24,58.33,107,0,1,51.9,5,31,4.46,2.58,0,0,,0,0.0,0,0
11,2010,2010-12-19,14,23.089,CAR,,ARI,W 19-12,*,13,19,68.42,141,1,0,107.6,2,15,7.42,8.47,5,14,2.80,0,0.0,0,0
12,2010,2010-12-23,15,23.093,CAR,@,PIT,L 3-27,*,10,23,43.48,72,0,1,33.2,4,27,3.13,1.17,0,0,,0,0.0,0,0
13,2010,2011-01-02,16,23.103,CAR,@,ATL,L 10-31,*,19,33,57.58,182,1,1,70.5,3,28,5.52,4.76,0,0,,0,0.0,0,0
14,2014,2014-09-28,4,27.007,CHI,,GNB,L 17-38,,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,0,0,,0,0.0,0,0
15,2014,2014-10-26,8,27.035,CHI,@,NWE,L 23-51,,1,5,20.00,22,0,0,45.4,0,0,4.40,4.40,0,0,,0,0.0,0,0
16,2014,2014-11-09,9,27.049,CHI,@,GNB,L 14-55,,1,3,33.33,11,0,0,45.1,1,9,3.67,3.67,0,0,,0,0.0,0,0
17,2014,2014-12-21,15,27.091,CHI,,DET,L 14-20,*,23,39,58.97,181,2,1,77.0,2,11,4.64,4.51,3,9,3.00,0,0.0,0,0
18,2015,2015-09-20,2,27.364,CHI,,ARI,L 23-48,,14,23,60.87,121,0,1,56.6,2,15,5.26,3.30,2,-5,-2.50,0,0.0,0,0
19,2015,2015-09-27,3,28.006,CHI,@,SEA,L 0-26,*,9,17,52.94,63,0,0,61.6,2,15,3.71,3.71,3,13,4.33,0,0.0,0,0
20,2015,2015-11-30,11,28.070,BAL,@,CLE,W 33-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
21,2015,2015-12-13,13,28.083,BAL,,SEA,L 6-35,*,23,40,57.50,274,0,1,68.1,1,0,6.85,5.73,1,-2,-2.00,0,0.0,0,0
22,2015,2015-12-20,14,28.090,BAL,,KAN,L 14-34,*,26,45,57.78,281,2,2,72.5,2,8,6.24,5.13,5,30,6.00,0,0.0,0,0
