ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1975,1975-09-21,1,23.015,NWE,,HOU,L 0-7,0,0,,0,7,321,45.86,0
2,1975,1975-09-28,2,23.022,NWE,,MIA,L 14-22,0,0,,0,5,212,42.40,0
3,1975,1975-10-05,3,23.029,NWE,@,NYJ,L 7-36,0,0,,0,6,228,38.00,0
4,1975,1975-10-12,4,23.036,NWE,@,CIN,L 10-27,0,0,,0,7,291,41.57,0
5,1975,1975-10-19,5,23.043,NWE,,BAL,W 21-10,0,0,,0,9,310,34.44,0
6,1975,1975-10-26,6,23.050,NWE,,SFO,W 24-16,0,0,,0,6,181,30.17,0
7,1975,1975-11-02,7,23.057,NWE,@,STL,L 17-24,0,0,,0,9,384,42.67,0
8,1975,1975-11-09,8,23.064,NWE,@,SDG,W 33-19,0,0,,0,2,79,39.50,0
9,1975,1975-11-16,9,23.071,NWE,,DAL,L 31-34,0,0,,0,6,210,35.00,0
10,1975,1975-11-23,10,23.078,NWE,@,BUF,L 31-45,0,0,,0,4,164,41.00,0
11,1975,1975-12-01,11,23.086,NWE,@,MIA,L 7-20,0,0,,0,6,260,43.33,0
12,1975,1975-12-07,12,23.092,NWE,,NYJ,L 28-30,0,0,,0,4,107,26.75,0
13,1975,1975-12-14,13,23.099,NWE,,BUF,L 14-34,0,0,,0,6,223,37.17,0
14,1975,1975-12-21,14,23.106,NWE,@,BAL,L 21-34,0,0,,0,6,253,42.17,0
15,1976,1976-09-12,1,24.006,NWE,,BAL,L 13-27,0,0,,0,2,66,33.00,0
16,1976,1976-09-19,2,24.013,NWE,,MIA,W 30-14,0,0,,0,4,184,46.00,0
17,1976,1976-09-26,3,24.020,NWE,@,PIT,W 30-27,0,0,,0,5,209,41.80,0
18,1976,1976-10-03,4,24.027,NWE,,OAK,W 48-17,0,0,,0,4,184,46.00,0
19,1976,1976-10-10,5,24.034,NWE,@,DET,L 10-30,0,0,,0,5,210,42.00,0
20,1976,1976-10-18,6,24.042,NWE,,NYJ,W 41-7,0,0,,0,3,136,45.33,0
21,1976,1976-10-24,7,24.048,NWE,@,BUF,W 26-22,1,-16,-16.00,0,4,154,38.50,0
22,1976,1976-10-31,8,24.055,NWE,@,MIA,L 3-10,0,0,,0,8,345,43.13,0
23,1976,1976-11-07,9,24.062,NWE,,BUF,W 20-10,0,0,,0,5,177,35.40,0
24,1976,1976-11-14,10,24.069,NWE,@,BAL,W 21-14,0,0,,0,5,182,36.40,0
25,1976,1976-11-21,11,24.076,NWE,@,NYJ,W 38-24,0,0,,0,7,267,38.14,0
26,1976,1976-11-28,12,24.083,NWE,,DEN,W 38-14,0,0,,0,2,57,28.50,0
27,1976,1976-12-05,13,24.090,NWE,,NOR,W 27-6,0,0,,0,6,225,37.50,0
28,1976,1976-12-12,14,24.097,NWE,@,TAM,W 31-14,0,0,,0,7,292,41.71,0
29,1977,1977-09-18,1,25.012,NWE,,KAN,W 21-17,0,0,,0,4,182,45.50,0
30,1977,1977-09-26,2,25.020,NWE,@,CLE,L 27-30,0,0,,0,6,229,38.17,0
31,1977,1977-10-02,3,25.026,NWE,@,NYJ,L 27-30,0,0,,0,7,250,35.71,0
32,1977,1977-10-09,4,25.033,NWE,,SEA,W 31-0,0,0,,0,4,124,31.00,0
33,1977,1977-10-16,5,25.040,NWE,@,SDG,W 24-20,0,0,,0,6,240,40.00,0
34,1977,1977-10-23,6,25.047,NWE,,BAL,W 17-3,0,0,,0,4,135,33.75,1
35,1977,1977-10-30,7,25.054,NWE,,NYJ,W 24-13,0,0,,0,4,155,38.75,0
36,1977,1977-11-06,8,25.061,NWE,,BUF,L 14-24,0,0,,0,5,225,45.00,1
37,1977,1977-11-13,9,25.068,NWE,@,MIA,L 5-17,0,0,,0,4,114,28.50,0
38,1977,1977-11-20,10,25.075,NWE,@,BUF,W 20-7,0,0,,0,3,100,33.33,0
39,1977,1977-11-27,11,25.082,NWE,,PHI,W 14-6,0,0,,0,6,188,31.33,0
40,1977,1977-12-04,12,25.089,NWE,@,ATL,W 16-10,0,0,,0,3,111,37.00,1
41,1977,1977-12-11,13,25.096,NWE,,MIA,W 14-10,0,0,,0,4,129,32.25,0
42,1977,1977-12-18,14,25.103,NWE,@,BAL,L 24-30,0,0,,0,5,172,34.40,0
43,1978,1978-09-03,1,25.362,NWE,,WAS,L 14-16,0,0,,0,7,216,30.86,0
