ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1977,1977-09-18,1,24.361,NYJ,@,HOU,L 0-20,,,,,,,,,,,,,,
2,1977,1977-09-25,2,25.003,NYJ,,BAL,L 12-20,,,,,,,,,,,,,,
3,1977,1977-10-02,3,25.010,NYJ,,NWE,W 30-27,,,,,,,,,,,,,,
4,1977,1977-10-09,4,25.017,NYJ,@,BUF,W 24-19,,,,,,,,,,,,,,
5,1977,1977-10-16,5,25.024,NYJ,@,MIA,L 17-21,0,0,,0,1,6,6.00,0,0,0,0.0,0,0,0
6,1977,1977-10-23,6,25.031,NYJ,,OAK,L 27-28,,,,,,,,,,,,,,
7,1977,1977-10-30,7,25.038,NYJ,@,NWE,L 13-24,,,,,,,,,,,,,,
8,1977,1977-11-06,8,25.045,NYJ,,MIA,L 10-14,,,,,,,,,,,,,,
9,1977,1977-11-13,9,25.052,NYJ,,SEA,L 0-17,,,,,,,,,,,,,,
10,1977,1977-11-20,10,25.059,NYJ,@,BAL,L 12-33,0,0,,0,1,15,15.00,0,0,0,0.0,0,0,0
11,1977,1977-11-27,11,25.066,NYJ,,PIT,L 20-23,0,0,,0,1,17,17.00,0,0,0,0.0,0,0,0
12,1977,1977-12-04,12,25.073,NYJ,@,NOR,W 16-13,,,,,,,,,,,,,,
13,1977,1977-12-11,13,25.080,NYJ,,BUF,L 10-14,,,,,,,,,,,,,,
14,1977,1977-12-18,14,25.087,NYJ,@,PHI,L 0-27,,,,,,,,,,,,,,
15,1978,1978-09-03,1,25.346,NYJ,,MIA,W 33-20,,,,,,,,,,,,,,
16,1978,1978-09-10,2,25.353,NYJ,@,BUF,W 21-20,,,,,,,,,,,,,,
17,1978,1978-09-17,3,25.360,NYJ,,SEA,L 17-24,,,,,,,,,,,,,,
18,1978,1978-09-24,4,26.002,NYJ,@,WAS,L 3-23,,,,,,,,,,,,,,
19,1978,1978-10-01,5,26.009,NYJ,,PIT,L 17-28,,,,,,,,,,,,,,
20,1978,1978-10-08,6,26.016,NYJ,,BUF,W 45-14,,,,,,,,,,,,,,
21,1978,1978-10-15,7,26.023,NYJ,@,BAL,W 33-10,,,,,,,,,,,,,,
22,1978,1978-10-22,8,26.030,NYJ,,STL,W 23-10,,,,,,,,,,,,,,
23,1978,1978-10-29,9,26.037,NYJ,@,NWE,L 21-55,,,,,,,,,,,,,,
24,1978,1978-11-05,10,26.044,NYJ,@,DEN,W 31-28,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0
25,1978,1978-11-12,11,26.051,NYJ,@,PHI,L 9-17,,,,,,,,,,,,,,
26,1978,1978-11-19,12,26.058,NYJ,,NWE,L 17-19,0,0,,0,1,30,30.00,0,0,0,0.0,0,0,0
27,1978,1978-11-26,13,26.065,NYJ,@,MIA,W 24-13,,,,,,,,,,,,,,
28,1978,1978-12-03,14,26.072,NYJ,,BAL,W 24-16,0,0,,0,1,5,5.00,0,0,0,0.0,0,0,0
29,1978,1978-12-10,15,26.079,NYJ,@,CLE,L 34-37,,,,,,,,,,,,,,
30,1978,1978-12-17,16,26.086,NYJ,,DAL,L 7-30,0,26,,0,,,,,,,,,,
31,1979,1979-09-02,1,26.345,NYJ,,CLE,L 22-25,,,,,,,,,,,,,,
32,1979,1979-09-09,2,26.352,NYJ,@,NWE,L 3-56,1,14,14.00,0,0,0,,0,0,0,0.0,1,4,0
33,1979,1979-09-16,3,26.359,NYJ,,DET,W 31-10,3,72,24.00,0,0,0,,0,0,0,0.0,0,0,0
34,1979,1979-09-23,4,27.001,NYJ,@,BUF,L 31-46,1,19,19.00,0,0,0,,0,0,0,0.0,0,0,0
35,1979,1979-09-30,5,27.008,NYJ,,MIA,W 33-27,,,,,,,,,,,,,,
36,1979,1979-10-07,6,27.015,NYJ,@,BAL,L 8-10,0,0,,0,1,5,5.00,0,0,0,0.0,0,0,0
37,1979,1979-10-15,7,27.023,NYJ,,MIN,W 14-7,,,,,,,,,,,,,,
38,1979,1979-10-21,8,27.029,NYJ,,OAK,W 28-19,,,,,,,,,,,,,,
39,1979,1979-10-28,9,27.036,NYJ,@,HOU,L 24-27,,,,,,,,,,,,,,
40,1979,1979-11-04,10,27.043,NYJ,@,GNB,W 27-22,,,,,,,,,,,,,,
41,1979,1979-11-11,11,27.050,NYJ,,BUF,L 12-14,1,51,51.00,0,1,19,19.00,0,0,0,0.0,0,0,0
42,1979,1979-11-18,12,27.057,NYJ,@,CHI,L 13-23,,,,,,,,,,,,,,
43,1979,1979-11-26,13,27.065,NYJ,@,SEA,L 7-30,,,,,,,,,,,,,,
44,1979,1979-12-02,14,27.071,NYJ,,BAL,W 30-17,,,,,,,,,,,,,,
45,1979,1979-12-09,15,27.078,NYJ,,NWE,W 27-26,0,23,,0,,,,,,,,,,
46,1979,1979-12-15,16,27.084,NYJ,@,MIA,W 27-24,,,,,,,,,,,,,,
47,1980,1980-09-07,1,27.351,NYJ,,BAL,L 14-17,,,,,,,,,,,,,,
48,1980,1980-09-14,2,27.358,NYJ,@,BUF,L 10-20,,,,,,,,,,,,,,
49,1980,1980-09-21,3,27.365,NYJ,,SFO,L 27-37,0,0,,0,1,-1,-1.00,0,0,0,0.0,0,0,0
50,1980,1980-09-28,4,28.006,NYJ,@,BAL,L 21-35,0,0,,0,0,0,,0,0,0,0.0,1,0,0
