ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1980,1980-09-07,1,23.050,BAL,@,NYJ,W 17-14,,,,,,,,,,,,,,,,,,
2,1980,1980-09-14,2,23.057,BAL,,PIT,L 17-20,0,0,,0,1,23,23.00,0,1,0,0.00,0,0,0,0.0,0,0,0
3,1980,1980-09-21,3,23.064,BAL,@,HOU,L 16-21,,,,,,,,,,,,,,,,,,
4,1980,1980-09-28,4,23.071,BAL,,NYJ,W 35-21,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,17,0
5,1980,1980-10-05,5,23.078,BAL,@,MIA,W 30-17,0,0,,0,1,19,19.00,0,0,0,,0,0,0,0.0,0,0,0
6,1980,1980-10-12,6,23.085,BAL,@,BUF,W 17-12,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,18,0
7,1980,1980-10-19,7,23.092,BAL,,NWE,L 21-37,0,0,,0,2,35,17.50,0,0,0,,0,0,0,0.0,0,0,0
8,1980,1980-10-26,8,23.099,BAL,,STL,L 10-17,,,,,,,,,,,,,,,,,,
9,1980,1980-11-02,9,23.106,BAL,@,KAN,W 31-24,,,,,,,,,,,,,,,,,,
10,1980,1980-11-09,10,23.113,BAL,,CLE,L 27-28,0,0,,0,4,63,15.75,0,0,0,,0,0,0,0.0,0,0,0
11,1980,1980-11-16,11,23.120,BAL,@,DET,W 10-9,0,0,,0,2,44,22.00,0,0,0,,0,0,0,0.0,0,0,0
12,1980,1980-11-23,12,23.127,BAL,@,NWE,L 21-47,0,0,,0,4,98,24.50,0,0,0,,0,0,0,0.0,0,0,0
13,1980,1980-11-30,13,23.134,BAL,,BUF,W 28-24,0,0,,0,1,23,23.00,0,0,0,,0,0,0,0.0,0,0,0
14,1980,1980-12-07,14,23.141,BAL,@,CIN,L 33-34,0,0,,0,4,59,14.75,0,0,0,,0,0,0,0.0,0,0,0
15,1980,1980-12-14,15,23.148,BAL,,MIA,L 14-24,0,0,,0,1,22,22.00,0,1,1,1.00,0,0,0,0.0,0,0,0
16,1980,1980-12-21,16,23.155,BAL,,KAN,L 28-38,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0
17,1981,1981-09-06,1,24.049,BAL,@,NWE,W 29-28,0,0,,0,1,11,11.00,0,0,0,,0,0,0,0.0,0,0,0
18,1981,1981-09-13,2,24.056,BAL,,BUF,L 3-35,0,0,,0,1,24,24.00,0,0,0,,0,0,0,0.0,0,0,0
19,1981,1981-09-20,3,24.063,BAL,@,DEN,L 10-28,0,0,,0,2,41,20.50,0,0,0,,0,0,0,0.0,0,0,0
20,1981,1981-09-27,4,24.070,BAL,,MIA,L 28-31,1,0,0.00,0,4,87,21.75,0,0,0,,0,0,0,0.0,0,0,0
21,1981,1981-10-04,5,24.077,BAL,@,BUF,L 17-23,0,0,,0,1,30,30.00,0,0,0,,0,0,0,0.0,0,0,0
22,1981,1981-10-11,6,24.084,BAL,,CIN,L 19-41,0,0,,0,2,38,19.00,0,0,0,,0,0,0,0.0,0,0,0
23,1981,1981-10-18,7,24.091,BAL,,SDG,L 14-43,0,0,,0,2,39,19.50,0,0,0,,0,0,0,0.0,0,0,0
24,1981,1981-10-25,8,24.098,BAL,@,CLE,L 28-42,0,0,,0,0,0,,0,0,0,,0,,,,,,
25,1981,1981-11-01,9,24.105,BAL,@,MIA,L 10-27,0,0,,0,0,0,,0,0,0,,0,,,,,,
26,1981,1981-11-08,10,24.112,BAL,,NYJ,L 14-41,0,0,,0,1,21,21.00,0,0,0,,0,0,0,0.0,0,0,0
27,1981,1981-11-15,11,24.119,BAL,@,PHI,L 13-38,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,49,0
28,1981,1981-11-22,12,24.126,BAL,,STL,L 24-35,0,0,,0,1,15,15.00,0,1,6,6.00,0,0,0,0.0,0,0,0
29,1981,1981-11-29,13,24.133,BAL,@,NYJ,L 0-25,0,0,,0,3,68,22.67,0,0,0,,0,0,0,0.0,0,0,0
30,1981,1981-12-06,14,24.140,BAL,,DAL,L 13-37,0,0,,0,2,19,9.50,0,1,0,0.00,0,0,0,0.0,0,0,0
31,1982,1982-09-12,1,25.055,BAL,,NWE,L 13-24,,,,,,,,,,,,,,,,,,
32,1982,1982-09-19,2,25.062,BAL,@,MIA,L 20-24,,,,,,,,,,,,,,,,,,
33,1982,1982-11-21,3,25.125,BAL,@,NYJ,L 0-37,,,,,,,,,,,,,,,,,,
34,1982,1982-11-28,4,25.132,BAL,@,BUF,L 0-20,,,,,,,,,,,,,,,,,,
35,1982,1982-12-05,5,25.139,BAL,,CIN,L 17-20,,,,,,,,,,,,,,,,,,
36,1982,1982-12-12,6,25.146,BAL,@,MIN,L 10-13,,,,,,,,,,,,,,,,,,
37,1982,1982-12-19,7,25.153,BAL,,GNB,T 20-20,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
38,1982,1982-12-26,8,25.160,BAL,@,SDG,L 26-44,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,25,0
39,1982,1983-01-02,9,25.167,BAL,,MIA,L 7-34,,,,,,,,,,,,,,,,,,
40,1983,1983-09-04,1,26.047,BAL,@,NWE,W 29-23,,,,,,,,,,,,,,,,,,
41,1983,1983-09-11,2,26.054,BAL,,DEN,L 10-17,0,0,,0,0,0,,0,0,0,,0,0,0,0.5,0,0,0
42,1983,1983-09-18,3,26.061,BAL,@,BUF,L 23-28,,,,,,,,,,,,,,,,,,
43,1983,1983-09-25,4,26.068,BAL,,CHI,W 22-19,,,,,,,,,,,,,,,,,,
44,1983,1983-10-02,5,26.075,BAL,@,CIN,W 34-31,,,,,,,,,,,,,,,,,,
45,1983,1983-10-09,6,26.082,BAL,,NWE,W 12-7,,,,,,,,,,,,,,,,,,
46,1983,1983-10-16,7,26.089,BAL,,BUF,L 7-30,,,,,,,,,,,,,,,,,,
47,1983,1983-10-23,8,26.096,BAL,,MIA,L 7-21,,,,,,,,,,,,,,,,,,
48,1983,1983-10-30,9,26.103,BAL,@,PHI,W 22-21,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,10,0
49,1983,1983-11-06,10,26.110,BAL,@,NYJ,W 17-14,,,,,,,,,,,,,,,,,,
50,1983,1983-11-13,11,26.117,BAL,,PIT,L 13-24,,,,,,,,,,,,,,,,,,
51,1983,1983-11-20,12,26.124,BAL,@,MIA,L 0-37,,,,,,,,,,,,,,,,,,
52,1983,1983-11-27,13,26.131,BAL,@,CLE,L 23-41,,,,,,,,,,,,,,,,,,
53,1983,1983-12-04,14,26.138,BAL,,NYJ,L 6-10,,,,,,,,,,,,,,,,,,
54,1983,1983-12-11,15,26.145,BAL,@,DEN,L 19-21,,,,,,,,,,,,,,,,,,
55,1983,1983-12-18,16,26.152,BAL,,HOU,W 20-10,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,1,71,1
56,1984,1984-09-02,1,27.045,IND,,NYJ,L 14-23,,,,,,,,,,,,,,,,,,
