ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1994,1994-12-24,16,24.075,NYJ,@,HOU,L 10-24,,5,8,62.50,45,0,1,38.0,0,0,5.63,0.00,0,0,,0,0,0,0,,0,0.0%,
2,1995,1995-11-05,10,25.026,NYJ,,NWE,L 7-20,,16,29,55.17,128,0,1,52.1,4,21,4.41,2.86,1,9,9.00,0,1,1,-9,-9.00,0,100.0%,-9.00
3,1996,1996-10-13,7,26.003,NYJ,@,JAX,L 17-21,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,,0,0.0%,
4,1996,1996-12-01,13,26.052,NYJ,,HOU,L 10-35,,6,12,50.00,36,0,1,21.5,1,4,3.00,-0.75,0,0,,0,0,0,0,,0,0.0%,
5,1996,1996-12-08,14,26.059,NYJ,@,NWE,L 10-34,*,22,45,48.89,227,1,2,52.7,4,25,5.04,3.49,1,11,11.00,0,0,0,0,,0,0.0%,
6,1996,1996-12-14,15,26.065,NYJ,,PHI,L 20-21,*,16,26,61.54,186,1,4,56.4,2,13,7.15,1.00,5,25,5.00,0,0,0,0,,0,0.0%,
7,1996,1996-12-22,16,26.073,NYJ,,MIA,L 28-31,*,10,26,38.46,110,1,0,64.6,2,23,4.23,5.00,1,4,4.00,0,0,0,0,,0,0.0%,
8,1997,1997-08-31,1,26.325,NYJ,@,SEA,W 41-3,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,
9,1997,1997-10-12,7,27.002,NYJ,,MIA,L 20-31,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,
10,1997,1997-10-19,8,27.009,NYJ,,NWE,W 24-19,,17,23,73.91,200,1,0,114.4,0,0,8.70,9.57,2,-4,-2.00,0,0,0,0,,0,0.0%,
11,1997,1997-11-02,9,27.023,NYJ,,BAL,W 19-16,,6,13,46.15,72,0,0,63.6,0,0,5.54,5.54,0,0,,0,0,0,0,,0,0.0%,
12,1997,1997-11-09,10,27.030,NYJ,@,MIA,L 17-24,*,25,48,52.08,322,1,1,71.7,2,19,6.71,6.19,1,-1,-1.00,0,0,0,0,,0,0.0%,
13,1997,1997-11-16,11,27.037,NYJ,@,CHI,W 23-15,*,8,13,61.54,111,1,0,114.6,1,5,8.54,10.08,0,0,,0,0,0,0,,0,0.0%,
14,1998,1998-09-06,1,27.331,NYJ,@,SFO,L 30-36,*,30,58,51.72,415,3,1,85.1,1,9,7.16,7.41,0,0,,0,0,0,0,,0,0.0%,
15,1998,1998-09-13,2,27.338,NYJ,,BAL,L 10-24,*,22,32,68.75,247,1,3,62.9,4,29,7.72,4.13,1,-6,-6.00,0,0,0,0,,0,0.0%,
16,1998,1998-10-11,5,28.001,NYJ,@,STL,L 10-30,*,5,15,33.33,76,0,2,11.4,1,17,5.07,-0.93,1,-1,-1.00,0,0,0,0,,0,0.0%,
17,1998,1998-10-25,7,28.015,NYJ,,ATL,W 28-3,,0,0,,0,0,0,,0,0,,,3,-4,-1.33,0,0,0,0,,0,0.0%,
18,1998,1998-12-27,16,28.078,NYJ,,NWE,W 31-10,,1,3,33.33,11,0,0,45.1,0,0,3.67,3.67,0,0,,0,0,0,0,,0,0.0%,
19,1999,1999-09-19,2,28.344,SEA,@,CHI,W 14-13,*,18,30,60.00,283,2,0,113.6,6,34,9.43,10.77,3,-1,-0.33,0,0,0,0,,0,0.0%,
20,1999,1999-11-01,7,29.022,SEA,@,GNB,W 27-7,,,,,,,,,0,,,,,,,,,,,,,0.0%,
21,1999,1999-11-07,8,29.028,SEA,,CIN,W 37-20,,,,,,,,,0,,,,,,,,,,,,,0.0%,
