ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,21.301,JAX,,KAN,L 2-28,,9,3,14,4.67,0,33.3%,1.56,0,0,,0,0,0,,0,0,0,,0,0,,,1,23,23.00,0,0,0,,0,0,0,0.0,0,0
2,2013,2013-09-15,2,21.308,JAX,@,OAK,L 9-19,*,7,5,64,12.80,0,71.4%,9.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0
3,2013,2013-09-22,3,21.315,JAX,@,SEA,L 17-45,,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
4,2013,2013-09-29,4,21.322,JAX,,IND,L 3-37,*,8,4,59,14.75,0,50.0%,7.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,10,10.00,0,0,0,0.0,0,0
5,2013,2013-10-06,5,21.329,JAX,@,STL,L 20-34,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,5,1.25,0,0,0,0.0,0,0
6,2013,2013-10-13,6,21.336,JAX,@,DEN,L 19-35,,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,1.00,0,0,0,0.0,1,0
7,2013,2013-10-27,8,21.350,JAX,,SFO,L 10-42,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,16,16.00,0,0,0,0.0,0,0
8,2013,2013-11-10,9,21.364,JAX,@,TEN,W 29-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,2,6,3.00,0,0,0,0.0,0,0
9,2013,2013-11-17,10,22.006,JAX,,ARI,L 14-27,,10,8,61,7.63,0,80.0%,6.10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,48,8.00,0,0,0,0.0,0,0
10,2013,2013-11-24,11,22.013,JAX,@,HOU,W 13-6,,5,4,61,15.25,0,80.0%,12.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,14,4.67,0,0,0,0.0,0,0
11,2013,2013-12-01,12,22.020,JAX,@,CLE,W 32-28,,11,8,67,8.38,0,72.7%,6.09,1,4,4.00,0,0,0,,0,0,0,,0,0,,,1,31,31.00,0,0,0,,0,0,0,0.0,0,0
12,2013,2013-12-05,13,22.024,JAX,,HOU,W 27-20,,6,3,26,8.67,0,50.0%,4.33,1,0,0.00,0,1,1,100.00,21,1,0,158.3,0,0,21.00,41.00,0,0,,0,2,25,12.50,0,0,0,0.0,0,0
13,2013,2013-12-15,14,22.034,JAX,,BUF,L 20-27,*,3,2,17,8.50,1,66.7%,5.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,10,3.33,0,1,6,0.0,0,0
14,2013,2013-12-22,15,22.041,JAX,,TEN,L 16-20,,5,4,20,5.00,0,80.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,0,0,0.0,0,0
15,2013,2013-12-29,16,22.048,JAX,@,IND,L 10-30,,14,6,50,8.33,0,42.9%,3.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
16,2014,2014-10-05,5,22.328,JAX,,PIT,L 9-17,,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,14,4.67,0,0,0,0.0,0,0
17,2014,2014-10-12,6,22.335,JAX,@,TEN,L 14-16,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,10,5.00,0,0,0,0.0,0,0
18,2014,2014-10-19,7,22.342,JAX,,CLE,W 24-6,,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,41,10.25,0,0,0,0.0,0,0
19,2014,2014-10-26,8,22.349,JAX,,MIA,L 13-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,28,5.60,0,0,0,0.0,0,0
20,2014,2014-11-02,9,22.356,JAX,@,CIN,L 23-33,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,10,5.00,0,0,0,0.0,0,0
21,2014,2014-11-09,10,22.363,JAX,,DAL,L 17-31,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,16,16.00,0,4,45,11.25,0,0,0,0.0,0,0
22,2014,2014-11-23,11,23.012,JAX,@,IND,L 3-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,3,1.50,0,0,0,0.0,0,0
23,2014,2014-11-30,12,23.019,JAX,,NYG,W 25-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,20,6.67,0,0,0,0.0,0,0
24,2014,2014-12-07,13,23.026,JAX,,HOU,L 13-27,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,15,7.50,0,0,0,0.0,0,0
25,2014,2014-12-14,14,23.033,JAX,@,BAL,L 12-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,14,7.00,0,0,0,0.0,0,0
26,2014,2014-12-18,15,23.037,JAX,,TEN,W 21-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,11,5.50,0,0,0,0.0,0,0
27,2014,2014-12-28,16,23.047,JAX,@,HOU,L 17-23,,1,1,24,24.00,0,100.0%,24.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,16,16.00,0,0,0,0.0,0,0
