ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1983,1983-11-06,10,24.247,SDG,@,PIT,L 3-26,1,-1,-1.00,0
2,1983,1983-11-13,11,24.254,SDG,,DAL,W 24-23,2,8,4.00,0
3,1983,1983-11-27,13,24.268,SDG,,DEN,W 31-7,1,9,9.00,0
4,1983,1983-12-11,15,24.282,SDG,,KAN,W 41-38,0,0,,0
