ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1977,1977-09-25,2,21.317,SFO,,MIA,L 15-19,,,,
2,1977,1977-10-02,3,21.324,SFO,@,RAM,L 14-34,,,,
3,1977,1977-10-09,4,21.331,SFO,,ATL,L 0-7,,,,
4,1977,1977-10-16,5,21.338,SFO,@,NYG,L 17-20,,,,
5,1977,1977-10-23,6,21.345,SFO,,DET,W 28-7,,,,
6,1977,1977-10-30,7,21.352,SFO,,TAM,W 20-10,,,,
7,1977,1977-11-06,8,21.359,SFO,@,ATL,W 10-3,1,5,5.00,0
8,1977,1977-11-13,9,22.001,SFO,@,NOR,W 10-7,,,,
9,1977,1977-11-20,10,22.008,SFO,,RAM,L 10-23,1,4,4.00,0
10,1977,1977-11-27,11,22.015,SFO,,NOR,W 20-17,4,13,3.25,0
11,1977,1977-12-04,12,22.022,SFO,@,MIN,L 27-28,3,10,3.33,0
12,1977,1977-12-12,13,22.030,SFO,,DAL,L 35-42,3,3,1.00,0
13,1977,1977-12-18,14,22.036,SFO,@,GNB,L 14-16,1,3,3.00,0
