ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1975,1975-09-21,1,23.087,HOU,@,NWE,W 7-0,1,12,12.00,0,0,0,,0,0.0,0,0,0
2,1975,1975-09-28,2,23.094,HOU,,SDG,W 33-17,1,21,21.00,0,0,0,,0,0.0,0,0,0
3,1975,1975-10-05,3,23.101,HOU,,CIN,L 19-21,1,18,18.00,0,0,0,,0,0.0,0,0,0
4,1975,1975-10-12,4,23.108,HOU,@,CLE,W 40-10,,,,,,,,,,,,
5,1975,1975-10-19,5,23.115,HOU,,WAS,W 13-10,,,,,,,,,,,,
6,1975,1975-10-26,6,23.122,HOU,,DET,W 24-8,2,35,17.50,0,0,0,,0,0.0,0,0,0
7,1975,1975-11-02,7,23.129,HOU,@,KAN,W 17-13,,,,,,,,,,,,
8,1975,1975-11-09,8,23.136,HOU,@,PIT,L 17-24,,,,,,,,,,,,
9,1975,1975-11-16,9,23.143,HOU,,MIA,W 20-19,1,28,28.00,0,0,0,,0,0.0,0,0,0
10,1975,1975-11-24,10,23.151,HOU,,PIT,L 9-32,0,0,,0,2,8,4.00,0,0.0,0,0,0
11,1975,1975-11-30,11,23.157,HOU,@,CIN,L 19-23,2,36,18.00,0,0,0,,0,0.0,0,0,0
12,1975,1975-12-07,12,23.164,HOU,@,SFO,W 27-13,1,18,18.00,0,0,0,,0,0.0,0,0,0
13,1975,1975-12-14,13,23.171,HOU,@,OAK,W 27-26,1,21,21.00,0,0,0,,0,0.0,0,0,0
14,1975,1975-12-21,14,23.178,HOU,,CLE,W 21-10,,,,,,,,,,,,
15,1976,1976-09-12,1,24.078,TAM,@,HOU,L 0-20,0,0,,0,1,8,8.00,0,0.0,0,0,0
16,1976,1976-09-19,2,24.085,TAM,,SDG,L 0-23,,,,,,,,,,,,
17,1976,1976-09-26,3,24.092,TAM,,BUF,L 9-14,,,,,,,,,,,,
18,1976,1976-10-03,4,24.099,TAM,@,BAL,L 17-42,0,0,,0,1,9,9.00,0,0.0,0,0,0
19,1976,1976-10-10,5,24.106,TAM,@,CIN,L 0-21,,,,,,,,,,,,
20,1976,1976-10-17,6,24.113,TAM,,SEA,L 10-13,0,0,,0,1,9,9.00,0,0.0,1,0,0
21,1976,1976-10-24,7,24.120,TAM,,MIA,L 20-23,0,0,,0,0,0,,0,0.0,1,0,0
22,1976,1976-10-31,8,24.127,TAM,,KAN,L 19-28,0,0,,0,0,0,,0,0.0,1,25,0
23,1976,1976-11-07,9,24.134,TAM,@,DEN,L 13-48,,,,,,,,,,,,
24,1976,1976-11-14,10,24.141,TAM,@,NYJ,L 0-34,,,,,,,,,,,,
25,1976,1976-11-21,11,24.148,TAM,,CLE,L 7-24,,,,,,,,,,,,
26,1976,1976-11-28,12,24.155,TAM,@,OAK,L 16-49,,,,,,,,,,,,
27,1976,1976-12-05,13,24.162,TAM,@,PIT,L 0-42,,,,,,,,,,,,
28,1976,1976-12-12,14,24.169,TAM,,NWE,L 14-31,,,,,,,,,,,,
29,1977,1977-09-18,1,25.084,TAM,@,PHI,L 3-13,,,,,,,,,,,,
30,1977,1977-09-24,2,25.090,TAM,,MIN,L 3-9,,,,,,,,,,,,
31,1977,1977-10-02,3,25.098,TAM,@,DAL,L 7-23,,,,,,,,,,,,
32,1977,1977-10-09,4,25.105,TAM,,WAS,L 0-10,,,,,,,,,,,,
33,1977,1977-10-16,5,25.112,TAM,@,SEA,L 23-30,,,,,,,,,,,,
34,1977,1977-10-23,6,25.119,TAM,,GNB,L 0-13,,,,,,,,,,,,
35,1977,1977-10-30,7,25.126,TAM,@,SFO,L 10-20,,,,,,,,,,,,
36,1977,1977-11-06,8,25.133,TAM,@,RAM,L 0-31,,,,,,,,,,,,
37,1977,1977-11-13,9,25.140,TAM,,NYG,L 0-10,,,,,,,,,,,,
38,1977,1977-11-20,10,25.147,TAM,@,DET,L 7-16,,,,,,,,,,,,
39,1977,1977-11-27,11,25.154,TAM,,ATL,L 0-17,,,,,,,,,,,,
40,1977,1977-12-04,12,25.161,TAM,,CHI,L 0-10,,,,,,,,,,,,
41,1977,1977-12-11,13,25.168,TAM,@,NOR,W 33-14,,,,,,,,,,,,
42,1977,1977-12-18,14,25.175,TAM,,STL,W 17-7,0,0,,0,0,0,,0,0.0,1,0,0
43,1978,1978-09-02,1,26.068,TAM,,NYG,L 13-19,,,,,,,,,,,,
