ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,2018,2018-09-09,1,21.235,BAL,,BUF,W 47-3,,7,39,5.57,0,1,4,25.00,24,0,0,52.1,1,8,6.00,6.00
2,2018,2018-09-13,2,21.239,BAL,@,CIN,L 23-34,,2,6,3.00,0,0,0,,0,0,0,,0,0,,
3,2018,2018-09-23,3,21.249,BAL,,DEN,W 27-14,,0,0,,0,0,0,,0,0,0,,0,0,,
