ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1958,1958-09-28,1,23.324,NYG,@,CRD,W 37-7,2,11,5.50,0,0,0,,0,,,,,0,
2,1958,1958-11-23,9,24.015,NYG,,WAS,W 30-0,2,19,9.50,0,0,0,,0,,,,,0,
3,1960,1960-09-11,1,25.308,OAK,,HOU,L 22-37,7,20,2.86,0,2,13,6.50,0,0,0,,0,0,0
4,1960,1960-09-16,2,25.313,OAK,,DTX,L 16-34,5,7,1.40,0,5,36,7.20,0,0,0,,0,0,0
5,1960,1960-09-25,3,25.322,OAK,@,HOU,W 14-13,8,6,0.75,0,6,90,15.00,0,0,0,,0,0,0
6,1960,1960-10-02,4,25.329,OAK,@,DEN,L 14-31,6,17,2.83,1,5,39,7.80,0,0,0,,0,1,6
7,1960,1960-10-09,5,25.336,OAK,@,DTX,W 20-19,10,70,7.00,0,2,38,19.00,0,0,0,,0,0,0
8,1960,1960-10-16,6,25.343,OAK,,BOS,W 27-14,9,63,7.00,1,2,13,6.50,0,0,0,,0,1,6
9,1960,1960-10-23,7,25.350,OAK,@,BUF,L 9-38,2,4,2.00,0,1,28,28.00,0,0,0,,0,0,0
10,1960,1960-10-28,8,25.355,OAK,@,NYT,W 28-27,8,61,7.63,0,2,32,16.00,1,0,0,,0,1,6
11,1960,1960-11-04,9,25.362,OAK,@,BOS,L 28-34,5,13,2.60,0,1,28,28.00,0,0,0,,0,0,0
12,1960,1960-11-13,10,26.005,OAK,,BUF,W 20-7,5,21,4.20,1,6,73,12.17,0,0,0,,0,1,6
13,1960,1960-11-27,11,26.019,OAK,@,LAC,L 28-52,8,77,9.63,1,5,51,10.20,0,0,0,,0,1,6
14,1960,1960-12-04,12,26.026,OAK,,LAC,L 17-41,10,47,4.70,1,6,32,5.33,0,0,0,,0,1,6
15,1960,1960-12-11,13,26.033,OAK,,NYT,L 28-31,7,27,3.86,0,2,4,2.00,0,0,0,,0,0,0
16,1960,1960-12-17,14,26.039,OAK,,DEN,W 48-10,9,87,9.67,0,4,47,11.75,0,0,0,,0,0,0
17,1961,1961-09-09,1,26.305,BOS,,NYT,L 20-21,11,51,4.64,0,3,11,3.67,0,0,0,,0,0,0
18,1961,1961-09-16,2,26.312,BOS,,DEN,W 45-17,4,8,2.00,0,1,28,28.00,1,0,0,,0,1,6
19,1961,1961-09-23,3,26.319,BOS,@,BUF,W 23-21,3,15,5.00,0,0,0,,0,0,0,,0,0,0
20,1961,1961-10-01,4,26.327,BOS,@,NYT,L 30-37,3,33,11.00,0,1,1,1.00,0,1,8,8.00,0,0,0
21,1961,1961-10-07,5,26.333,BOS,,SDG,L 27-38,6,61,10.17,1,2,12,6.00,0,0,0,,0,1,6
22,1961,1961-10-13,6,26.339,BOS,,HOU,T 31-31,8,36,4.50,0,2,56,28.00,0,0,0,,0,0,0
23,1961,1961-10-22,7,26.348,BOS,,BUF,W 52-21,10,51,5.10,0,6,108,18.00,3,0,0,,0,3,18
