ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2003,2003-09-07,1,23.144,IND,@,CLE,W 9-6,,0,0,0,,0,0.0%,,2,49,24.50,0,1,2,2.00,0
2,2003,2003-09-14,2,23.151,IND,,TEN,W 33-7,,0,0,0,,0,0.0%,,1,38,38.00,0,3,41,13.67,0
3,2003,2003-09-21,3,23.158,IND,,JAX,W 23-13,,0,0,0,,0,0.0%,,3,73,24.33,0,3,35,11.67,0
4,2003,2003-09-28,4,23.165,IND,@,NOR,W 55-21,,0,0,0,,0,0.0%,,1,50,50.00,0,2,12,6.00,0
5,2003,2003-10-06,5,23.173,IND,@,TAM,W 38-35,,0,0,0,,0,0.0%,,5,177,35.40,0,1,9,9.00,0
6,2003,2003-10-12,6,23.179,IND,,CAR,L 20-23,,0,0,0,,0,0.0%,,5,114,22.80,0,0,0,,0
7,2003,2003-10-26,7,23.193,IND,,HOU,W 30-21,,1,1,2,2.00,0,100.0%,2.00,2,43,21.50,0,1,0,0.00,0
8,2003,2003-11-02,8,23.200,IND,@,MIA,W 23-17,,0,0,0,,0,0.0%,,0,0,,0,1,11,11.00,0
9,2004,2004-09-09,1,24.146,IND,@,NWE,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,2,20,10.00,0
10,2004,2004-09-19,2,24.156,IND,@,TEN,W 31-17,,0,0,0,,0,0.0%,,0,0,,0,1,3,3.00,0
11,2004,2004-09-26,3,24.163,IND,,GNB,W 45-31,,0,0,0,,0,0.0%,,4,110,27.50,0,2,10,5.00,0
12,2004,2004-10-03,4,24.170,IND,@,JAX,W 24-17,,0,0,0,,0,0.0%,,3,69,23.00,0,0,0,,0
13,2004,2004-10-10,5,24.177,IND,,OAK,W 35-14,,,,,,,0.0%,,,,,,,,,
14,2004,2004-11-08,8,24.206,IND,,MIN,W 31-28,,0,0,0,,0,0.0%,,3,51,17.00,0,1,-2,-2.00,0
15,2004,2004-12-26,15,24.254,IND,,SDG,W 34-31,,0,,,,,0.0%,,,,,,,,,
16,2004,2005-01-02,16,24.261,IND,@,DEN,L 14-33,,2,2,12,6.00,0,100.0%,6.00,0,0,,0,2,16,8.00,0
