ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1974,1974-09-15,1,23.360,MIN,@,GNB,W 32-17,,,,,,,,,,,,
2,1974,1974-09-22,2,24.002,MIN,@,DET,W 7-6,,,,,,,,,,,,
3,1974,1974-09-29,3,24.009,MIN,,CHI,W 11-7,,,,,,,,,,,,
4,1974,1974-10-06,4,24.016,MIN,@,DAL,W 23-21,,,,,,,,,,,,
5,1974,1974-10-13,5,24.023,MIN,,HOU,W 51-10,,,,,,,,,,,,
6,1974,1974-10-20,6,24.030,MIN,,DET,L 16-20,,,,,,,,,,,,
7,1974,1974-10-27,7,24.037,MIN,,NWE,L 14-17,,,,,,,,,,,,
8,1974,1974-11-03,8,24.044,MIN,@,CHI,W 17-0,0,0,,0,0,0,,0,0.0,1,-3,0
9,1974,1974-11-11,9,24.052,MIN,@,STL,W 28-24,,,,,,,,,,,,
10,1974,1974-11-17,10,24.058,MIN,,GNB,L 7-19,,,,,,,,,,,,
11,1974,1974-11-24,11,24.065,MIN,@,RAM,L 17-20,,,,,,,,,,,,
12,1974,1974-12-01,12,24.072,MIN,,NOR,W 29-9,,,,,,,,,,,,
13,1974,1974-12-07,13,24.078,MIN,,ATL,W 23-10,,,,,,,,,,,,
14,1974,1974-12-14,14,24.085,MIN,@,KAN,W 35-15,,,,,,,,,,,,
15,1975,1975-09-21,1,25.001,MIN,,SFO,W 27-17,,,,,,,,,,,,
16,1975,1975-09-28,2,25.008,MIN,@,CLE,W 42-10,,,,,,,,,,,,
17,1975,1975-10-05,3,25.015,MIN,,CHI,W 28-3,,,,,,,,,,,,
18,1975,1975-10-12,4,25.022,MIN,,NYJ,W 29-21,,,,,,,,,,,,
19,1975,1975-10-19,5,25.029,MIN,,DET,W 25-19,,,,,,,,,,,,
20,1975,1975-10-27,6,25.037,MIN,@,CHI,W 13-9,0,0,,0,1,2,2.00,0,0.0,0,0,0
21,1975,1975-11-02,7,25.043,MIN,@,GNB,W 28-17,0,0,,0,1,-4,-4.00,0,0.0,0,0,0
22,1975,1975-11-09,8,25.050,MIN,,ATL,W 38-0,0,0,,0,0,0,,0,0.0,1,18,0
23,1975,1975-11-16,9,25.057,MIN,@,NOR,W 20-7,,,,,,,,,,,,
24,1975,1975-11-23,10,25.064,MIN,,SDG,W 28-13,,,,,,,,,,,,
25,1975,1975-11-30,11,25.071,MIN,@,WAS,L 30-31,,,,,,,,,,,,
26,1975,1975-12-07,12,25.078,MIN,,GNB,W 24-3,,,,,,,,,,,,
27,1975,1975-12-14,13,25.085,MIN,@,DET,L 10-17,,,,,,,,,,,,
28,1975,1975-12-20,14,25.091,MIN,@,BUF,W 35-13,,,,,,,,,,,,
29,1976,1976-09-12,1,25.358,MIN,@,NOR,W 40-9,,,,,,,,,,,,
30,1976,1976-09-19,2,25.365,MIN,,RAM,T 10-10,0,0,,0,0,0,,0,0.0,1,5,0
31,1976,1976-09-26,3,26.006,MIN,@,DET,W 10-9,,,,,,,,,,,,
32,1976,1976-10-04,4,26.014,MIN,,PIT,W 17-6,,,,,,,,,,,,
33,1976,1976-10-10,5,26.020,MIN,,CHI,W 20-19,,,,,,,,,,,,
34,1976,1976-10-17,6,26.027,MIN,,NYG,W 24-7,,,,,,,,,,,,
35,1976,1976-10-24,7,26.034,MIN,@,PHI,W 31-12,,,,,,,,,,,,
36,1976,1976-10-31,8,26.041,MIN,@,CHI,L 13-14,,,,,,,,,,,,
37,1976,1976-11-07,9,26.048,MIN,,DET,W 31-23,1,0,0.00,0,0,0,,0,0.0,0,0,0
38,1976,1976-11-14,10,26.055,MIN,,SEA,W 27-21,,,,,,,,,,,,
39,1976,1976-11-21,11,26.062,MIN,@,GNB,W 17-10,,,,,,,,,,,,
40,1976,1976-11-29,12,26.070,MIN,@,SFO,L 16-20,,,,,,,,,,,,
41,1976,1976-12-05,13,26.076,MIN,,GNB,W 20-9,,,,,,,,,,,,
42,1976,1976-12-11,14,26.082,MIN,@,MIA,W 29-7,0,0,,0,0,0,,0,0.0,1,20,0
43,1977,1977-09-18,1,26.363,MIN,,DAL,L 10-16,,,,,,,,,,,,
