ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-09-09,1,23.289,PIT,@,CLE,W 34-7,,1,1,5,5.00,1,100.0%,5.00,0,0,,0,,1,6,0.0,,
2,2007,2007-09-16,2,23.296,PIT,,BUF,W 26-3,*,2,2,10,5.00,1,100.0%,5.00,0,0,,0,,1,6,0.0,,
3,2007,2007-10-07,5,23.317,PIT,,SEA,W 21-0,,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
4,2007,2007-10-21,6,23.331,PIT,@,DEN,L 28-31,,1,1,13,13.00,1,100.0%,13.00,0,0,,0,,1,6,0.0,,
5,2007,2007-10-28,7,23.338,PIT,@,CIN,W 24-13,,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
6,2007,2007-11-05,8,23.346,PIT,,BAL,W 38-7,,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
7,2007,2007-11-11,9,23.352,PIT,,CLE,W 31-28,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
8,2007,2007-11-18,10,23.359,PIT,@,NYJ,L 16-19,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,,
9,2007,2007-11-26,11,24.002,PIT,,MIA,W 3-0,,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
10,2007,2007-12-02,12,24.008,PIT,,CIN,W 24-10,*,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
11,2007,2007-12-09,13,24.015,PIT,@,NWE,L 13-34,*,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
12,2007,2007-12-16,14,24.022,PIT,,JAX,L 22-29,,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
13,2007,2007-12-20,15,24.026,PIT,@,STL,W 41-24,,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
14,2007,2007-12-30,16,24.036,PIT,@,BAL,L 21-27,*,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
15,2008,2008-09-07,1,24.288,PIT,,HOU,W 38-17,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0
16,2008,2008-09-14,2,24.295,PIT,@,CLE,W 10-6,*,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
17,2008,2008-09-21,3,24.302,PIT,@,PHI,L 6-15,*,,,,,,0.0%,,,,,,,,,,,
18,2008,2008-09-29,4,24.310,PIT,,BAL,W 23-20,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,1,0
19,2008,2008-10-05,5,24.316,PIT,@,JAX,W 26-21,*,2,,,,,0.0%,,,,,,,,,,,
20,2008,2008-10-19,6,24.330,PIT,@,CIN,W 38-10,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0
21,2008,2008-10-26,7,24.337,PIT,,NYG,L 14-21,*,,,,,,0.0%,,,,,,,,,,,
22,2008,2008-11-03,8,24.345,PIT,@,WAS,W 23-6,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,,0,0,0.0,0,0
23,2008,2008-11-09,9,24.351,PIT,,IND,L 20-24,*,7,6,53,8.83,0,85.7%,7.57,1,3,3.00,0,,0,0,0.0,0,0
