ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2001,2001-09-09,1,24.215,KAN,,OAK,L 24-27,*,6,1,30,30.00,1,16.7%,5.00,1,6
2,2001,2001-09-23,2,24.229,KAN,,NYG,L 3-13,*,6,2,48,24.00,0,33.3%,8.00,0,0
3,2001,2001-10-07,4,24.243,KAN,@,DEN,L 6-20,*,8,5,56,11.20,0,62.5%,7.00,0,0
4,2001,2001-10-14,5,24.250,KAN,,PIT,L 17-20,*,6,1,14,14.00,0,16.7%,2.33,0,0
5,2001,2001-10-21,6,24.257,KAN,@,ARI,L 16-24,,7,4,54,13.50,0,57.1%,7.71,0,0
6,2001,2001-10-25,7,24.261,KAN,,IND,L 28-35,,5,4,64,16.00,0,80.0%,12.80,0,0
7,2001,2001-11-04,8,24.271,KAN,@,SDG,W 25-20,*,3,2,44,22.00,0,66.7%,14.67,0,0
8,2001,2001-11-11,9,24.278,KAN,@,NYJ,L 7-27,*,2,1,4,4.00,0,50.0%,2.00,0,0
9,2001,2001-12-09,12,24.306,KAN,@,OAK,L 26-28,*,1,,,,,0.0%,,,
10,2001,2001-12-16,13,24.313,KAN,,DEN,W 26-23,*,6,5,89,17.80,0,83.3%,14.83,0,0
11,2001,2001-12-23,14,24.320,KAN,,SDG,W 20-17,*,7,6,80,13.33,0,85.7%,11.43,0,0
12,2001,2001-12-30,15,24.327,KAN,@,JAX,W 30-26,*,3,1,7,7.00,0,33.3%,2.33,0,0
13,2001,2002-01-06,16,24.334,KAN,@,SEA,L 18-21,*,7,1,21,21.00,0,14.3%,3.00,0,0
14,2002,2002-12-15,14,25.312,KAN,@,DEN,L 24-31,,4,1,4,4.00,0,25.0%,1.00,0,0
15,2002,2002-12-22,15,25.319,KAN,,SDG,W 24-22,,,,,,,0.0%,,,
