ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks
1,1995,1995-09-03,1,23.007,PIT,,DET,W 23-20,,,,,,
2,1995,1995-09-10,2,23.014,PIT,@,HOU,W 34-17,,,,,,
3,1995,1995-09-18,3,23.022,PIT,@,MIA,L 10-23,,,,,,
4,1995,1995-09-24,4,23.028,PIT,,MIN,L 24-44,,,,,,
5,1995,1995-10-01,5,23.035,PIT,,SDG,W 31-16,,,,,,
6,1995,1995-10-08,6,23.042,PIT,@,JAX,L 16-20,,,,,,
7,1995,1995-10-19,7,23.053,PIT,,CIN,L 9-27,,,,,,
8,1995,1995-10-29,8,23.063,PIT,,JAX,W 24-7,,,,,,
9,1995,1995-11-05,9,23.070,PIT,@,CHI,W 37-34,,,,,,
10,1995,1995-11-13,10,23.078,PIT,,CLE,W 20-3,,,,,,
11,1995,1995-11-19,11,23.084,PIT,@,CIN,W 49-31,,,,,,
12,1995,1995-11-26,12,23.091,PIT,@,CLE,W 20-17,,,,,,
13,1995,1995-12-03,13,23.098,PIT,,HOU,W 21-7,,,,,,
14,1995,1995-12-10,14,23.105,PIT,@,OAK,W 29-10,,,,,,
15,1995,1995-12-16,15,23.111,PIT,,NWE,W 41-27,,,,,,
16,1995,1995-12-24,16,23.119,PIT,@,GNB,L 19-24,,,,,,
17,1996,1996-09-08,2,24.012,PIT,,BAL,W 31-17,,0,0,,0,
18,1996,1996-09-16,3,24.020,PIT,,BUF,W 24-6,,0,0,,0,
19,1996,1996-09-29,4,24.033,PIT,,HOU,W 30-16,,0,0,,0,
20,1996,1996-10-07,5,24.041,PIT,@,KAN,W 17-7,,0,0,,0,
21,1996,1996-10-13,6,24.047,PIT,,CIN,W 20-10,,1,3,3.00,0,0.0
22,1996,1996-10-20,7,24.054,PIT,@,HOU,L 13-23,,0,0,,0,
23,1996,1996-10-27,8,24.061,PIT,@,ATL,W 20-17,,0,0,,0,
24,1996,1996-11-03,9,24.068,PIT,,STL,W 42-6,,0,0,,0,
25,1996,1996-11-10,10,24.075,PIT,@,CIN,L 24-34,,0,0,,0,
26,1996,1996-11-17,11,24.082,PIT,,JAX,W 28-3,,0,0,,0,
27,1996,1996-11-25,12,24.090,PIT,@,MIA,W 24-17,,0,0,,0,
28,1996,1996-12-01,13,24.096,PIT,@,BAL,L 17-31,,0,0,,0,1.0
29,1996,1996-12-08,14,24.103,PIT,,SDG,W 16-3,,0,0,,0,
30,1996,1996-12-15,15,24.110,PIT,,SFO,L 15-25,,0,0,,0,
31,1996,1996-12-22,16,24.117,PIT,@,CAR,L 14-18,,0,0,,0,
32,1997,1997-08-31,1,25.004,PIT,,DAL,L 7-37,,,,,,
33,1997,1997-09-07,2,25.011,PIT,,WAS,W 14-13,,,,,,
34,1997,1997-09-22,3,25.026,PIT,@,JAX,L 21-30,,,,,,
35,1997,1997-09-28,4,25.032,PIT,,TEN,W 37-24,,,,,,
36,1997,1997-10-05,6,25.039,NYJ,@,IND,W 16-12,,,,,,
37,1997,1997-10-12,6,25.046,PIT,,IND,W 24-22,,,,,,
38,1997,1997-10-19,7,25.053,PIT,@,CIN,W 26-10,,,,,,
39,1997,1997-10-26,8,25.060,PIT,,JAX,W 23-17,,,,,,
40,1997,1997-11-03,9,25.068,PIT,@,KAN,L 10-13,,,,,,
41,1997,1997-11-09,10,25.074,CIN,@,IND,W 28-13,,,,,,
42,1997,1997-11-16,11,25.081,PIT,,CIN,W 20-3,,,,,,
43,1997,1997-11-23,12,25.088,PIT,@,PHI,L 20-23,,,,,,
44,1997,1997-11-30,13,25.095,PIT,@,ARI,W 26-20,,,,,,
45,1997,1997-12-07,14,25.102,PIT,,DEN,W 35-24,,,,,,
46,1997,1997-12-13,15,25.108,PIT,@,NWE,W 24-21,,,,,,
47,1997,1997-12-21,16,25.116,PIT,@,TEN,L 6-16,,,,,,
48,1998,1998-09-13,2,26.017,PIT,,CHI,W 17-12,,,,,,
49,1998,1998-09-20,3,26.024,PIT,@,MIA,L 0-21,,,,,,
50,1998,1998-09-27,4,26.031,PIT,,SEA,W 13-10,,,,,,
51,1998,1998-10-11,5,26.045,PIT,@,CIN,L 20-25,,,,,,
52,1998,1998-10-18,6,26.052,PIT,,BAL,W 16-6,,0,0,,0,0.5
53,1998,1998-10-26,7,26.060,PIT,@,KAN,W 20-13,,,,,,
54,1998,1998-11-01,8,26.066,PIT,,TEN,L 31-41,,,,,,
