ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1979,1979-09-02,1,23.121,MIA,@,BUF,W 9-7,,,,,,,,,,,
2,1979,1979-09-09,2,23.128,MIA,,SEA,W 19-10,,,,,,,,,,,
3,1979,1979-09-16,3,23.135,MIA,@,MIN,W 27-12,,,,,,,,,,,
4,1979,1979-09-23,4,23.142,MIA,,CHI,W 31-16,,,,,,,,,,,
5,1979,1979-09-30,5,23.149,MIA,@,NYJ,L 27-33,,,,,,,,,,,
6,1979,1979-10-08,6,23.157,MIA,@,OAK,L 3-13,,,,,,,,,,,
7,1979,1979-10-14,7,23.163,MIA,,BUF,W 17-7,0,20,,0,,,,,,,
8,1979,1979-10-21,8,23.170,MIA,@,NWE,L 13-28,,,,,,,,,,,
9,1979,1979-10-28,9,23.177,MIA,,GNB,W 27-7,,,,,,,,,,,
10,1979,1979-11-05,10,23.185,MIA,,HOU,L 6-9,,,,,,,,,,,
11,1979,1979-11-11,11,23.191,MIA,,BAL,W 19-0,,,,,,,,,,,
12,1979,1979-11-18,12,23.198,MIA,@,CLE,L 24-30,,,,,,,,,,,
13,1979,1979-11-25,13,23.205,MIA,@,BAL,W 28-24,,,,,,,,,,,
14,1979,1979-11-29,14,23.209,MIA,,NWE,W 39-24,,,,,,,,,,,
15,1979,1979-12-09,15,23.219,MIA,@,DET,W 28-10,,,,,,,,,,,
16,1979,1979-12-15,16,23.225,MIA,,NYJ,L 24-27,,,,,,,,,,,
17,1980,1980-09-07,1,24.126,MIA,@,BUF,L 7-17,1,7,7.00,0,0,0,,0,0,0,0
18,1980,1980-09-14,2,24.133,MIA,,CIN,W 17-16,1,26,26.00,0,1,0,0.00,0,0,0,0
19,1980,1980-09-21,3,24.140,MIA,@,ATL,W 20-17,2,120,60.00,0,0,0,,0,0,0,0
20,1980,1980-09-28,4,24.147,MIA,,NOR,W 21-16,4,52,13.00,0,0,0,,0,0,0,0
21,1980,1980-10-05,5,24.154,MIA,,BAL,L 17-30,3,66,22.00,0,0,0,,0,0,0,0
22,1980,1980-10-12,6,24.161,MIA,@,NWE,L 0-34,7,143,20.43,0,0,0,,0,1,12,0
23,1980,1980-10-19,7,24.168,MIA,,BUF,W 17-14,,,,,,,,,,,
24,1980,1980-10-27,8,24.176,MIA,@,NYJ,L 14-17,0,0,,0,0,0,,0,1,0,0
25,1980,1980-11-02,9,24.182,MIA,@,OAK,L 10-16,2,50,25.00,0,0,0,,0,0,0,0
26,1980,1980-11-09,10,24.189,MIA,@,RAM,W 35-14,1,20,20.00,0,0,0,,0,2,1,0
27,1980,1980-11-16,11,24.196,MIA,,SFO,W 17-13,2,30,15.00,0,0,0,,0,0,0,0
28,1980,1980-11-20,12,24.200,MIA,,SDG,L 24-27,2,65,32.50,0,0,0,,0,0,0,0
29,1980,1980-11-30,13,24.210,MIA,@,PIT,L 10-23,5,123,24.60,0,0,0,,0,0,0,0
30,1980,1980-12-08,14,24.218,MIA,,NWE,W 16-13,5,74,14.80,0,0,0,,0,0,0,0
31,1980,1980-12-14,15,24.224,MIA,@,BAL,W 24-14,1,24,24.00,0,0,0,,0,0,0,0
32,1980,1980-12-20,16,24.230,MIA,,NYJ,L 17-24,4,90,22.50,0,0,0,,0,0,0,0
33,1981,1981-09-06,1,25.125,MIA,@,STL,W 20-7,0,0,,0,0,0,,0,,,
34,1981,1981-09-10,2,25.129,MIA,,PIT,W 30-10,0,0,,0,1,12,12.00,0,0,0,0
35,1981,1981-09-20,3,25.139,MIA,@,HOU,W 16-10,0,0,,0,0,0,,0,,,
36,1981,1981-09-27,4,25.146,MIA,@,BAL,W 31-28,0,0,,0,0,0,,0,,,
37,1981,1981-10-04,5,25.153,MIA,,NYJ,T 28-28,0,0,,0,0,0,,0,,,
38,1981,1981-10-12,6,25.161,MIA,@,BUF,L 21-31,0,0,,0,0,0,,0,,,
39,1981,1981-10-18,7,25.167,MIA,,WAS,W 13-10,3,71,23.67,0,0,0,,0,0,0,0
40,1981,1981-10-25,8,25.174,MIA,@,DAL,L 27-28,0,0,,0,0,0,,0,,,
41,1981,1981-11-01,9,25.181,MIA,,BAL,W 27-10,0,0,,0,0,0,,0,1,0,0
42,1981,1981-11-08,10,25.188,MIA,@,NWE,W 30-27,0,0,,0,0,0,,0,,,
43,1981,1981-11-15,11,25.195,MIA,,OAK,L 17-33,1,20,20.00,0,0,0,,0,0,0,0
44,1981,1981-11-22,12,25.202,MIA,@,NYJ,L 15-16,2,16,8.00,0,0,0,,0,0,0,0
45,1981,1981-11-30,13,25.210,MIA,,PHI,W 13-10,0,0,,0,0,0,,0,,,
46,1981,1981-12-06,14,25.216,MIA,,NWE,W 24-14,0,0,,0,0,0,,0,,,
47,1981,1981-12-13,15,25.223,MIA,@,KAN,W 17-7,0,0,,0,0,0,,0,,,
48,1981,1981-12-19,16,25.229,MIA,,BUF,W 16-6,1,7,7.00,0,0,0,,0,0,0,0
49,1982,1982-12-19,7,26.229,STL,@,CHI,W 10-7,,,,,,,,,,,
50,1982,1982-12-26,8,26.236,STL,,NYG,W 24-21,,,,,,,,,,,
51,1982,1983-01-02,9,26.243,STL,@,WAS,L 0-28,,,,,,,,,,,
52,1983,1983-10-23,8,27.172,RAI,@,DAL,W 40-38,,,,,,,,,,,
