ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1978,1978-09-03,1,22.082,SEA,,SDG,L 20-24,,,,,,,,,,,,,,
2,1978,1978-09-10,2,22.089,SEA,@,PIT,L 10-21,0,0,,0,3,47,15.67,0,0,0,0.0,0,0,0
3,1978,1978-09-17,3,22.096,SEA,@,NYJ,W 24-17,0,0,,0,2,11,5.50,0,0,0,0.0,1,24,0
4,1978,1978-09-24,4,22.103,SEA,,DET,W 28-16,,,,,,,,,,,,,,
5,1978,1978-10-01,5,22.110,SEA,@,DEN,L 7-28,,,,,,,,,,,,,,
6,1978,1978-10-08,6,22.117,SEA,,MIN,W 29-28,,,,,,,,,,,,,,
7,1978,1978-10-15,7,22.124,SEA,@,GNB,L 28-45,,,,,,,,,,,,,,
8,1978,1978-10-22,8,22.131,SEA,,OAK,W 27-7,0,0,,0,0,0,,0,0,0,0.0,1,7,0
9,1978,1978-10-29,9,22.138,SEA,,DEN,L 17-20,,,,,,,,,,,,,,
10,1978,1978-11-05,10,22.145,SEA,@,CHI,W 31-29,,,,,,,,,,,,,,
11,1978,1978-11-12,11,22.152,SEA,,BAL,L 14-17,,,,,,,,,,,,,,
12,1978,1978-11-19,12,22.159,SEA,@,KAN,W 13-10,,,,,,,,,,,,,,
13,1978,1978-11-26,13,22.166,SEA,@,OAK,W 17-16,,,,,,,,,,,,,,
14,1978,1978-12-03,14,22.173,SEA,,CLE,W 47-24,0,0,,0,0,0,,0,0,0,0.0,1,28,0
15,1978,1978-12-10,15,22.180,SEA,@,SDG,L 10-37,,,,,,,,,,,,,,
16,1978,1978-12-17,16,22.187,SEA,,KAN,W 23-19,0,0,,0,0,0,,0,0,0,0.0,1,6,0
17,1979,1979-09-02,1,23.081,SEA,,SDG,L 16-33,,,,,,,,,,,,,,
18,1979,1979-09-09,2,23.088,SEA,@,MIA,L 10-19,,,,,,,,,,,,,,
19,1979,1979-09-16,3,23.095,SEA,,OAK,W 27-10,,,,,,,,,,,,,,
20,1979,1979-09-23,4,23.102,SEA,@,DEN,L 34-37,0,0,,0,0,0,,0,0,0,0.0,1,25,0
21,1979,1979-09-30,5,23.109,SEA,,KAN,L 6-24,,,,,,,,,,,,,,
22,1979,1979-10-07,6,23.116,SEA,@,SFO,W 35-24,,,,,,,,,,,,,,
23,1979,1979-10-21,8,23.130,SEA,,HOU,W 34-14,,,,,,,,,,,,,,
24,1979,1979-10-29,9,23.138,SEA,@,ATL,W 31-28,,,,,,,,,,,,,,
25,1979,1979-11-04,10,23.144,SEA,,RAM,L 0-24,,,,,,,,,,,,,,
26,1979,1979-11-18,12,23.158,SEA,,NOR,W 38-24,0,0,,0,2,28,14.00,0,0,0,0.0,0,0,0
27,1979,1979-11-26,13,23.166,SEA,,NYJ,W 30-7,,,,,,,,,,,,,,
28,1979,1979-12-02,14,23.172,SEA,@,KAN,L 21-37,0,0,,0,1,7,7.00,0,0,0,0.0,0,0,0
29,1979,1979-12-08,15,23.178,SEA,,DEN,W 28-23,0,0,,0,5,35,7.00,0,0,0,0.0,1,5,0
30,1979,1979-12-16,16,23.186,SEA,@,OAK,W 29-24,1,21,21.00,0,0,0,,0,0,0,0.0,0,0,0
31,1980,1980-09-07,1,24.086,SEA,,SDG,L 13-34,,,,,,,,,,,,,,
32,1980,1980-09-14,2,24.093,SEA,@,KAN,W 17-16,,,,,,,,,,,,,,
33,1980,1980-09-21,3,24.100,SEA,,NWE,L 31-37,,,,,,,,,,,,,,
34,1980,1980-09-28,4,24.107,SEA,@,WAS,W 14-0,,,,,,,,,,,,,,
35,1980,1980-10-05,5,24.114,SEA,@,HOU,W 26-7,,,,,,,,,,,,,,
36,1980,1980-10-12,6,24.121,SEA,,CLE,L 3-27,,,,,,,,,,,,,,
37,1980,1980-10-19,7,24.128,SEA,@,NYJ,W 27-17,0,0,,0,0,0,,0,0,0,0.0,1,15,0
38,1980,1980-10-26,8,24.135,SEA,@,OAK,L 14-33,,,,,,,,,,,,,,
39,1980,1980-11-02,9,24.142,SEA,,PHI,L 20-27,0,0,,0,0,0,,0,0,0,0.0,1,3,0
40,1980,1980-11-09,10,24.149,SEA,,KAN,L 30-31,,,,,,,,,,,,,,
41,1980,1980-11-17,11,24.157,SEA,,OAK,L 17-19,,,,,,,,,,,,,,
42,1980,1980-11-23,12,24.163,SEA,@,DEN,L 20-36,0,0,,0,0,0,,0,0,0,0.0,1,0,0
43,1980,1980-11-27,13,24.167,SEA,@,DAL,L 7-51,0,0,,0,0,0,,0,0,0,0.0,1,0,0
44,1980,1980-12-07,14,24.177,SEA,,NYG,L 21-27,0,0,,0,0,0,,0,0,0,0.0,1,10,0
45,1980,1980-12-13,15,24.183,SEA,@,SDG,L 14-21,0,0,,0,0,0,,0,0,0,0.0,1,0,0
46,1980,1980-12-21,16,24.191,SEA,,DEN,L 17-25,,,,,,,,,,,,,,
47,1981,1981-09-06,1,25.085,SEA,@,CIN,L 21-27,0,0,,0,0,0,,0,1,6,0.0,1,29,1
48,1981,1981-09-13,2,25.092,SEA,,DEN,W 13-10,,,,,,,,,,,,,,
49,1981,1981-09-20,3,25.099,SEA,@,OAK,L 10-20,0,0,,0,0,0,,0,0,0,0.0,2,30,0
50,1981,1981-09-27,4,25.106,SEA,,KAN,L 14-20,,,,,,,,,,,,,,
51,1981,1981-10-04,5,25.113,SEA,@,SDG,L 10-24,,,,,,,,,,,,,,
52,1981,1981-10-11,6,25.120,SEA,@,HOU,L 17-35,,,,,,,,,,,,,,
53,1981,1981-10-18,7,25.127,SEA,,NYG,L 0-32,0,0,,0,0,0,,0,0,0,0.0,1,0,0
54,1981,1981-10-25,8,25.134,SEA,@,NYJ,W 19-3,0,0,,0,0,0,,0,0,0,0.0,1,0,0
55,1981,1981-11-01,9,25.141,SEA,@,GNB,L 24-34,0,0,,0,0,0,,0,1,6,0.0,2,60,1
56,1981,1981-11-08,10,25.148,SEA,,PIT,W 24-21,,,,,,,,,,,,,,
57,1981,1981-11-16,11,25.156,SEA,,SDG,W 44-23,,,,,,,,,,,,,,
58,1981,1981-11-22,12,25.162,SEA,@,KAN,L 13-40,,,,,,,,,,,,,,
59,1981,1981-11-29,13,25.169,SEA,,OAK,L 31-32,0,0,,0,0,0,,0,0,0,0.0,1,0,0
60,1981,1981-12-06,14,25.176,SEA,,NYJ,W 27-23,0,0,,0,0,0,,0,0,0,0.0,1,14,0
61,1981,1981-12-13,15,25.183,SEA,@,DEN,L 13-23,0,0,,0,0,0,,0,0,0,0.0,1,22,0
62,1981,1981-12-20,16,25.190,SEA,,CLE,W 42-21,,,,,,,,,,,,,,
63,1982,1982-09-12,1,26.091,SEA,,CLE,L 7-21,,,,,,,,,,,,,,
