ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1976,1976-09-12,1,22.095,SDG,@,KAN,W 30-16,,,,,,
2,1976,1976-09-19,2,22.102,SDG,@,TAM,W 23-0,0,0,0.0,1,8,0
3,1976,1976-09-26,3,22.109,SDG,,STL,W 43-24,,,,,,
4,1976,1976-10-03,4,22.116,SDG,@,DEN,L 0-26,,,,,,
5,1976,1976-10-10,5,22.123,SDG,,OAK,L 17-27,,,,,,
6,1976,1976-10-17,6,22.130,SDG,,HOU,W 30-27,,,,,,
7,1976,1976-10-24,7,22.137,SDG,@,CLE,L 17-21,,,,,,
8,1976,1976-10-31,8,22.144,SDG,@,PIT,L 0-23,,,,,,
9,1976,1976-11-07,9,22.151,SDG,,BAL,L 21-37,,,,,,
10,1976,1976-11-14,10,22.158,SDG,,DEN,L 0-17,,,,,,
11,1976,1976-11-21,11,22.165,SDG,@,BUF,W 34-13,,,,,,
12,1976,1976-11-28,12,22.172,SDG,,KAN,L 20-23,,,,,,
13,1976,1976-12-05,13,22.179,SDG,,SFO,W 13-7,,,,,,
14,1976,1976-12-12,14,22.186,SDG,@,OAK,L 0-24,,,,,,
15,1977,1977-09-18,1,23.101,SDG,@,OAK,L 0-24,,,,,,
16,1977,1977-09-25,2,23.108,SDG,@,KAN,W 23-7,,,,,,
17,1977,1977-10-02,3,23.115,SDG,,CIN,W 24-3,,,,,,
18,1977,1977-10-09,4,23.122,SDG,@,NOR,W 14-0,,,,,,
19,1977,1977-10-16,5,23.129,SDG,,NWE,L 20-24,,,,,,
20,1977,1977-10-23,6,23.136,SDG,,KAN,L 16-21,,,,,,
21,1977,1977-10-30,7,23.143,SDG,@,MIA,W 14-13,,,,,,
22,1977,1977-11-06,8,23.150,SDG,@,DET,L 0-20,,,,,,
23,1977,1977-11-13,9,23.157,SDG,,DEN,L 14-17,,,,,,
24,1977,1977-11-20,10,23.164,SDG,,OAK,W 12-7,,,,,,
25,1977,1977-11-27,11,23.171,SDG,@,SEA,W 30-28,,,,,,
26,1977,1977-12-04,12,23.178,SDG,,CLE,W 37-14,,,,,,
27,1977,1977-12-11,13,23.185,SDG,@,DEN,L 9-17,0,0,0.0,1,28,0
28,1977,1977-12-18,14,23.192,SDG,,PIT,L 9-10,,,,,,
29,1978,1978-09-03,1,24.086,SDG,@,SEA,W 24-20,,,,,,
30,1978,1978-09-10,2,24.093,SDG,,OAK,L 20-21,,,,,,
31,1978,1978-09-17,3,24.100,SDG,@,DEN,L 14-27,,,,,,
32,1978,1978-09-24,4,24.107,SDG,,GNB,L 3-24,,,,,,
33,1978,1978-10-01,5,24.114,SDG,@,NWE,L 23-28,,,,,,
34,1978,1978-10-08,6,24.121,SDG,,DEN,W 23-0,,,,,,
