ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-09-23,3,22.331,CLE,@,OAK,L 24-26,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,,0,0.0%,,0,0,0.0,,
2,2007,2007-12-30,16,23.064,CLE,,SFO,W 20-7,,3,8,37.50,45,0,0,56.8,0,0,5.63,5.63,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,
3,2008,2008-11-06,9,24.010,CLE,,DEN,L 30-34,*,23,35,65.71,239,2,0,104.3,0,0,6.83,7.97,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
4,2008,2008-11-17,10,24.021,CLE,@,BUF,W 29-27,*,14,36,38.89,185,0,0,55.9,1,9,5.14,5.14,4,18,4.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
5,2008,2008-11-23,11,24.027,CLE,,HOU,L 6-16,*,8,18,44.44,94,0,2,21.3,0,0,5.22,0.22,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,1,0
6,2009,2009-09-13,1,24.321,CLE,,MIN,L 20-34,*,21,35,60.00,205,1,1,74.1,5,26,5.86,5.14,2,21,10.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
7,2009,2009-09-20,2,24.328,CLE,@,DEN,L 6-27,*,18,31,58.06,161,0,1,58.7,4,15,5.19,3.74,3,4,1.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
8,2009,2009-09-27,3,24.335,CLE,@,BAL,L 3-34,*,6,8,75.00,34,0,1,42.7,1,5,4.25,-1.38,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,0.0,1,0
9,2009,2009-11-01,8,25.005,CLE,@,CHI,L 6-30,,1,3,33.33,9,0,0,42.4,0,0,3.00,3.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
10,2009,2009-11-16,9,25.020,CLE,,BAL,L 0-16,*,13,31,41.94,99,0,2,23.5,4,25,3.19,0.29,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
11,2009,2009-11-22,10,25.026,CLE,@,DET,L 37-38,*,21,33,63.64,304,4,0,133.1,1,6,9.21,11.64,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
12,2009,2009-11-29,11,25.033,CLE,@,CIN,L 7-16,*,15,34,44.12,100,0,0,51.3,1,7,2.94,2.94,2,10,5.00,1,1,1,18,18.00,0,100.0%,18.00,1,6,0.0,0,0
13,2009,2009-12-06,12,25.040,CLE,,SDG,L 23-30,*,25,45,55.56,271,3,0,95.7,2,14,6.02,7.36,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
14,2009,2009-12-10,13,25.044,CLE,,PIT,W 13-6,*,6,19,31.58,90,0,0,48.1,1,6,4.74,4.74,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
15,2009,2009-12-20,14,25.054,CLE,@,KAN,W 41-34,*,10,17,58.82,66,0,2,27.7,0,0,3.88,-1.41,4,39,9.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
16,2012,2012-10-07,5,27.346,KAN,,BAL,L 6-9,,2,2,100.00,32,0,0,118.7,0,0,16.00,16.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
17,2012,2012-10-14,6,27.353,KAN,@,TAM,L 10-38,*,22,38,57.89,180,0,2,48.1,0,0,4.74,2.37,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
18,2012,2012-10-28,7,28.001,KAN,,OAK,L 16-26,*,2,4,50.00,1,0,1,16.7,1,7,0.25,-11.00,2,18,9.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
19,2012,2012-11-18,10,28.022,KAN,,CIN,L 6-28,,9,14,64.29,95,0,0,83.9,3,16,6.79,6.79,3,7,2.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
20,2012,2012-11-25,11,28.029,KAN,,DEN,L 9-17,*,13,25,52.00,126,0,1,49.7,2,10,5.04,3.24,1,-1,-1.00,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
21,2012,2012-12-02,12,28.036,KAN,,CAR,W 27-21,*,19,23,82.61,201,2,0,132.1,1,4,8.74,10.48,3,12,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
22,2012,2012-12-09,13,28.043,KAN,@,CLE,L 7-30,*,10,21,47.62,159,0,1,53.5,5,29,7.57,5.43,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
23,2012,2012-12-16,14,28.050,KAN,@,OAK,L 0-15,*,18,32,56.25,136,0,1,53.6,4,27,4.25,2.84,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
24,2012,2012-12-23,15,28.057,KAN,,IND,L 13-20,*,10,22,45.45,162,0,2,32.8,1,7,7.36,3.27,5,11,2.20,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
25,2012,2012-12-30,16,28.064,KAN,@,DEN,L 3-38,*,7,16,43.75,49,0,0,51.3,4,23,3.06,3.06,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
