ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1997,1997-08-31,1,22.357,KAN,@,DEN,L 3-19,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,,
2,1997,1997-10-05,6,23.027,KAN,@,MIA,L 14-17,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
3,1997,1997-10-16,7,23.038,KAN,,SDG,W 31-3,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
4,1997,1997-10-26,8,23.048,KAN,@,STL,W 28-20,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
5,1997,1997-11-03,9,23.056,KAN,,PIT,W 13-10,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
6,1997,1997-11-09,10,23.062,KAN,@,JAX,L 10-24,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
7,1997,1997-11-16,11,23.069,KAN,,DEN,W 24-22,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
8,1997,1997-11-23,12,23.076,KAN,@,SEA,W 19-14,,1,1,35,35.00,0,100.0%,35.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
9,1997,1997-11-30,13,23.083,KAN,,SFO,W 44-9,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
10,1998,1998-09-06,1,23.363,KAN,,OAK,W 28-8,,6,2,27,13.50,0,33.3%,4.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
11,1998,1998-09-13,2,24.005,KAN,@,JAX,L 16-21,,3,3,49,16.33,0,100.0%,16.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
12,1998,1998-09-20,3,24.012,KAN,,SDG,W 23-7,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
13,1998,1998-09-27,4,24.019,KAN,@,PHI,W 24-21,,7,4,74,18.50,0,57.1%,10.57,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
14,1998,1998-10-04,5,24.026,KAN,,SEA,W 17-6,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
15,1998,1998-10-11,6,24.033,KAN,@,NWE,L 10-40,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
16,1998,1998-10-26,7,24.048,KAN,,PIT,L 13-20,,4,2,28,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
