ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1994,1994-09-04,1,22.247,GNB,,MIN,W 16-10,,0,0,,0,0.0%,
2,1994,1994-09-11,2,22.254,GNB,,MIA,L 14-24,3,3,20,6.67,0,100.0%,6.67
3,1994,1994-09-18,3,22.261,GNB,@,PHI,L 7-13,1,0,0,,0,0.0%,0.00
4,1994,1994-09-25,4,22.268,GNB,,TAM,W 30-3,1,1,2,2.00,0,100.0%,2.00
5,1994,1994-10-02,5,22.275,GNB,@,NWE,L 16-17,,0,0,,0,0.0%,
6,1994,1994-10-09,6,22.282,GNB,,RAM,W 24-17,,0,0,,0,0.0%,
7,1994,1994-11-20,11,22.324,GNB,@,BUF,L 20-29,,0,0,,0,0.0%,
8,1994,1994-12-04,13,22.338,GNB,@,DET,L 31-34,1,1,9,9.00,0,100.0%,9.00
9,1994,1994-12-11,14,22.345,GNB,,CHI,W 40-3,,0,0,,0,0.0%,
10,1994,1994-12-18,15,22.352,GNB,,ATL,W 21-17,,0,0,,0,0.0%,
11,1994,1994-12-24,16,22.358,GNB,@,TAM,W 34-19,,0,0,,0,0.0%,
12,1995,1995-10-08,5,23.281,GNB,@,DAL,L 24-34,,,,,,0.0%,
13,1995,1995-10-15,6,23.288,GNB,,DET,W 30-21,,,,,,0.0%,
