ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1989,1989-09-10,1,23.113,RAI,,SDG,W 40-14,,1,17,17.00,0,,,0,0
2,1989,1989-09-17,2,23.120,RAI,@,KAN,L 19-24,,1,10,10.00,0,,,0,0
3,1989,1989-09-24,3,23.127,RAI,@,DEN,L 21-31,,1,9,9.00,0,,,0,0
4,1989,1989-10-01,4,23.134,RAI,,SEA,L 20-24,,2,35,17.50,0,,,0,0
5,1989,1989-10-09,5,23.142,RAI,@,NYJ,W 14-7,,,,,,,,,
6,1989,1989-10-15,6,23.148,RAI,,KAN,W 20-14,,2,50,25.00,0,,,0,0
7,1989,1989-10-22,7,23.155,RAI,@,PHI,L 7-10,,2,48,24.00,0,,,0,0
8,1989,1989-10-29,8,23.162,RAI,,WAS,W 37-24,,1,5,5.00,0,,,0,0
9,1989,1989-11-05,9,23.169,RAI,,CIN,W 28-7,,2,26,13.00,0,,,0,0
10,1989,1989-11-12,10,23.176,RAI,@,SDG,L 12-14,,1,14,14.00,0,,,0,0
11,1989,1989-11-19,11,23.183,RAI,@,HOU,L 7-23,,1,22,22.00,1,,,1,6
12,1989,1989-11-26,12,23.190,RAI,,NWE,W 24-21,,2,15,7.50,0,,,0,0
13,1989,1989-12-03,13,23.197,RAI,,DEN,W 16-13,,4,134,33.50,1,,,1,6
14,1989,1989-12-10,14,23.204,RAI,,PHO,W 16-14,,5,71,14.20,0,,,0,0
15,1989,1989-12-17,15,23.211,RAI,@,SEA,L 17-23,,2,43,21.50,0,,,0,0
16,1989,1989-12-24,16,23.218,RAI,@,NYG,L 17-34,,,,,,,,,
17,1990,1990-09-09,1,24.112,RAI,,DEN,W 14-9,,2,33,16.50,0,,,0,0
18,1990,1990-09-16,2,24.119,RAI,@,SEA,W 17-13,,1,18,18.00,0,,,0,0
19,1990,1990-12-02,12,24.196,RAI,@,DEN,W 23-20,,,,,,,,,
20,1992,1992-10-18,7,26.151,KAN,@,DAL,L 10-17,,0,0,,0,0.0%,,,
21,1992,1992-10-25,8,26.158,KAN,,PIT,L 3-27,,0,0,,0,0.0%,,,
22,1992,1992-11-08,9,26.172,KAN,,SDG,W 16-14,1,1,7,7.00,0,100.0%,7.00,0,0
23,1993,1993-09-05,1,27.108,KAN,@,TAM,W 27-3,1,1,7,7.00,0,100.0%,7.00,0,0
24,1993,1993-09-12,2,27.115,KAN,@,HOU,L 0-30,6,3,31,10.33,0,50.0%,5.17,0,0
25,1993,1993-09-20,3,27.123,KAN,,DEN,W 15-7,2,2,14,7.00,0,100.0%,7.00,0,0
26,1993,1993-10-03,4,27.136,KAN,,RAI,W 24-9,2,1,31,31.00,0,50.0%,15.50,0,0
27,1993,1993-10-10,5,27.143,KAN,,CIN,W 17-15,2,0,0,,0,0.0%,0.00,,
28,1993,1993-10-17,6,27.150,KAN,@,SDG,W 17-14,2,0,0,,0,0.0%,0.00,,
29,1993,1993-12-12,13,27.206,SDG,,GNB,L 13-20,,,,,,0.0%,,,
30,1993,1993-12-19,14,27.213,SDG,@,KAN,L 24-28,,,,,,0.0%,,,
31,1993,1993-12-27,15,27.221,SDG,,MIA,W 45-20,,,,,,0.0%,,,
32,1993,1994-01-02,16,27.227,SDG,@,TAM,W 32-17,,,,,,0.0%,,,
