ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2016,2016-09-12,1,23.356,PIT,@,WAS,W 38-16,,0,0,0,,0,0.0%,,0,0,,0,0,0
2,2016,2016-09-18,2,23.362,PIT,,CIN,W 24-16,,4,2,26,13.00,1,50.0%,6.50,0,0,,0,1,6
3,2016,2016-09-25,3,24.003,PIT,@,PHI,L 3-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0
4,2016,2016-10-02,4,24.010,PIT,,KAN,W 43-14,,2,1,19,19.00,0,50.0%,9.50,0,0,,0,0,0
5,2016,2016-10-09,5,24.017,PIT,,NYJ,W 31-13,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0
6,2016,2016-10-16,6,24.024,PIT,@,MIA,L 15-30,,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0
7,2016,2016-10-23,7,24.031,PIT,,NWE,L 16-27,,5,2,14,7.00,0,40.0%,2.80,0,0,,0,0,0
8,2016,2016-11-06,8,24.045,PIT,@,BAL,L 14-21,*,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0
9,2016,2016-11-13,9,24.052,PIT,,DAL,L 30-35,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0
10,2016,2016-12-11,13,24.080,PIT,@,BUF,W 27-20,,0,0,0,,0,0.0%,,0,0,,0,0,0
11,2016,2016-12-18,14,24.087,PIT,@,CIN,W 24-20,,0,0,0,,0,0.0%,,0,0,,0,0,0
12,2016,2016-12-25,15,24.094,PIT,,BAL,W 31-27,,2,1,20,20.00,1,50.0%,10.00,0,0,,0,1,6
13,2017,2017-09-10,1,24.353,PIT,@,CLE,W 21-18,,0,0,0,,0,0.0%,,0,0,,0,0,0
14,2017,2017-09-17,2,24.360,PIT,,MIN,W 26-9,,0,0,0,,0,0.0%,,0,0,,0,0,0
15,2017,2017-09-24,3,25.002,PIT,@,CHI,L 17-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0
16,2017,2017-10-01,4,25.009,PIT,@,BAL,W 26-9,,0,0,0,,0,0.0%,,0,0,,0,0,0
17,2017,2017-10-08,5,25.016,PIT,,JAX,L 9-30,,0,0,0,,0,0.0%,,0,0,,0,0,0
18,2017,2017-10-22,7,25.030,PIT,,CIN,W 29-14,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0
19,2017,2017-10-29,8,25.037,PIT,@,DET,W 20-15,,0,0,0,,0,0.0%,,0,0,,0,0,0
20,2017,2017-11-12,9,25.051,PIT,@,IND,W 20-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0
21,2017,2017-11-16,10,25.055,PIT,,TEN,W 40-17,,0,0,0,,0,0.0%,,0,0,,0,0,0
22,2017,2017-11-26,11,25.065,PIT,,GNB,W 31-28,,1,1,1,1.00,1,100.0%,1.00,0,0,,0,1,6
23,2017,2017-12-04,12,25.073,PIT,@,CIN,W 23-20,,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0
24,2017,2017-12-10,13,25.079,PIT,,BAL,W 39-38,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
25,2017,2017-12-17,14,25.086,PIT,,NWE,L 24-27,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0
26,2017,2017-12-25,15,25.094,PIT,@,HOU,W 34-6,,0,0,0,,0,0.0%,,1,0,0.00,0,0,0
27,2017,2017-12-31,16,25.100,PIT,,CLE,W 28-24,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0
28,2018,2018-09-09,1,25.352,PIT,@,CLE,T 21-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0
29,2018,2018-09-16,2,25.359,PIT,,KAN,L 37-42,,0,0,0,,0,0.0%,,0,0,,0,0,0
30,2018,2018-09-24,3,26.002,PIT,@,TAM,W 30-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
