ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1976,1976-09-12,1,21.228,TAM,@,HOU,L 0-20,0,0,,0,0,0,,0,2,4,2.00,0,0,0,0
2,1976,1976-09-19,2,21.235,TAM,,SDG,L 0-23,0,0,,0,1,30,30.00,0,2,31,15.50,0,0,0,0
3,1976,1976-09-26,3,21.242,TAM,,BUF,L 9-14,0,0,,0,0,0,,0,2,29,14.50,0,0,0,0
4,1976,1976-10-03,4,21.249,TAM,@,BAL,L 17-42,0,0,,0,0,0,,0,2,4,2.00,0,0,0,0
5,1976,1976-10-10,5,21.256,TAM,@,CIN,L 0-21,0,0,,0,0,0,,0,1,-4,-4.00,0,0,0,0
6,1976,1976-10-17,6,21.263,TAM,,SEA,L 10-13,0,0,,0,0,0,,0,3,46,15.33,0,0,0,0
7,1976,1976-10-24,7,21.270,TAM,,MIA,L 20-23,0,0,,0,0,0,,0,1,-3,-3.00,0,0,0,0
8,1976,1976-10-31,8,21.277,TAM,,KAN,L 19-28,0,0,,0,0,0,,0,2,3,1.50,0,0,0,0
9,1976,1976-11-07,9,21.284,TAM,@,DEN,L 13-48,0,0,,0,0,0,,0,1,4,4.00,0,0,0,0
10,1976,1976-11-14,10,21.291,TAM,@,NYJ,L 0-34,0,0,,0,0,0,,0,2,7,3.50,0,0,0,0
11,1976,1976-11-21,11,21.298,TAM,,CLE,L 7-24,0,0,,0,0,0,,0,2,22,11.00,0,0,0,0
12,1977,1977-09-18,1,22.233,TAM,@,PHI,L 3-13,0,0,,0,0,0,,0,3,23,7.67,0,0,0,0
13,1977,1977-09-24,2,22.239,TAM,,MIN,L 3-9,0,0,,0,0,0,,0,2,19,9.50,0,0,0,0
14,1977,1977-10-02,3,22.247,TAM,@,DAL,L 7-23,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0
15,1977,1977-10-09,4,22.254,TAM,,WAS,L 0-10,0,0,,0,2,48,24.00,0,4,4,1.00,0,0,0,0
