ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1972,1972-09-17,1,21.245,NYG,@,DET,L 16-30,,,,,,,,,,,
2,1972,1972-09-24,2,21.252,NYG,,DAL,L 14-23,,,,,,,,,,,
3,1972,1972-10-02,3,21.260,NYG,@,PHI,W 27-12,,,,,,,,,,,
4,1972,1972-10-08,4,21.266,NYG,,NOR,W 45-21,0,0,,0,0,0,,0,1,14,0
5,1972,1972-10-15,5,21.273,NYG,@,SFO,W 23-17,,,,,,,,,,,
6,1972,1972-10-22,6,21.280,NYG,,STL,W 27-21,1,7,7.00,0,0,0,,0,0,0,0
7,1972,1972-10-29,7,21.287,NYG,,WAS,L 16-23,,,,,,,,,,,
8,1972,1972-11-05,8,21.294,NYG,,DEN,W 29-17,,,,,,,,,,,
9,1972,1972-11-12,9,21.301,NYG,@,WAS,L 13-27,,,,,,,,,,,
10,1972,1972-11-19,10,21.308,NYG,@,STL,W 13-7,,,,,,,,,,,
11,1972,1972-11-26,11,21.315,NYG,,PHI,W 62-10,,,,,,,,,,,
12,1972,1972-12-03,12,21.322,NYG,@,CIN,L 10-13,,,,,,,,,,,
13,1972,1972-12-10,13,21.329,NYG,,MIA,L 13-23,,,,,,,,,,,
14,1972,1972-12-17,14,21.336,NYG,@,DAL,W 23-3,,,,,,,,,,,
15,1973,1973-09-16,1,22.243,NYG,,HOU,W 34-14,,,,,,,,,,,
16,1973,1973-09-23,2,22.250,NYG,,PHI,T 23-23,,,,,,,,,,,
17,1973,1973-09-30,3,22.257,NYG,@,CLE,L 10-12,,,,,,,,,,,
18,1973,1973-10-07,4,22.264,NYG,,GNB,L 14-16,,,,,,,,,,,
19,1973,1973-10-14,5,22.271,NYG,,WAS,L 3-21,0,0,,0,0,0,,0,1,6,0
20,1973,1973-10-21,6,22.278,NYG,@,DAL,L 28-45,,,,,,,,,,,
21,1973,1973-10-28,7,22.285,NYG,@,STL,L 27-35,,,,,,,,,,,
22,1973,1973-11-04,8,22.292,NYG,@,OAK,L 0-42,0,0,,0,0,0,,0,1,0,0
23,1973,1973-11-11,9,22.299,NYG,,DAL,L 10-23,,,,,,,,,,,
24,1973,1973-11-18,10,22.306,NYG,,STL,W 24-13,,,,,,,,,,,
25,1973,1973-11-25,11,22.313,NYG,@,PHI,L 16-20,,,,,,,,,,,
26,1973,1973-12-02,12,22.320,NYG,@,WAS,L 24-27,,,,,,,,,,,
27,1973,1973-12-10,13,22.328,NYG,@,RAM,L 6-40,,,,,,,,,,,
28,1973,1973-12-16,14,22.334,NYG,,MIN,L 7-31,0,0,,0,1,7,7.00,0,0,0,0
29,1974,1974-09-15,1,23.242,NYG,,WAS,L 10-13,,,,,,,,,,,
30,1974,1974-09-22,2,23.249,NYG,,NWE,L 20-28,,,,,,,,,,,
31,1974,1974-09-29,3,23.256,NYG,@,DAL,W 14-6,0,0,,0,0,0,,0,1,20,0
32,1974,1974-10-06,4,23.263,NYG,,ATL,L 7-14,,,,,,,,,,,
33,1974,1974-10-13,5,23.270,NYG,@,PHI,L 7-35,,,,,,,,,,,
34,1974,1974-10-20,6,23.277,NYG,@,WAS,L 3-24,,,,,,,,,,,
35,1974,1974-10-27,7,23.284,NYG,,DAL,L 7-21,0,0,,0,0,0,,0,1,0,0
36,1974,1974-11-03,8,23.291,NYG,@,KAN,W 33-27,,,,,,,,,,,
37,1974,1974-11-10,9,23.298,NYG,,NYJ,L 20-26,,,,,,,,,,,
38,1974,1974-11-17,10,23.305,NYG,@,DET,L 19-20,,,,,,,,,,,
39,1974,1974-12-01,12,23.319,NYG,@,CHI,L 13-16,,,,,,,,,,,
